Timestamp: 1656016649.5540361, Acceleration: ['-0.18', ' 1.70', '12.09'], Velocity: ['-0.04', ' 0.37', ' 0.49'], Position: ['-0.01', ' 0.12', ' 0.16'] 
Timestamp: 1656016649.5612864, Acceleration: ['-0.09', ' 2.21', '10.87'], Velocity: ['-0.04', ' 0.39', ' 0.50'], Position: ['-0.01', ' 0.12', ' 0.16'] 
Timestamp: 1656016649.567971, Acceleration: ['-0.14', ' 1.16', ' 9.49'], Velocity: ['-0.04', ' 0.39', ' 0.50'], Position: ['-0.01', ' 0.13', ' 0.17'] 
Timestamp: 1656016649.5775366, Acceleration: ['-0.16', ' 0.95', ' 9.42'], Velocity: ['-0.04', ' 0.40', ' 0.50'], Position: ['-0.01', ' 0.13', ' 0.17'] 
Timestamp: 1656016649.587693, Acceleration: ['-0.19', ' 1.07', '10.10'], Velocity: ['-0.04', ' 0.41', ' 0.50'], Position: ['-0.01', ' 0.13', ' 0.18'] 
Timestamp: 1656016649.597541, Acceleration: ['-0.09', ' 1.02', '10.80'], Velocity: ['-0.05', ' 0.42', ' 0.51'], Position: ['-0.01', ' 0.14', ' 0.18'] 
Timestamp: 1656016649.609194, Acceleration: ['-0.37', ' 1.07', '11.31'], Velocity: ['-0.05', ' 0.44', ' 0.53'], Position: ['-0.02', ' 0.14', ' 0.19'] 
Timestamp: 1656016649.617775, Acceleration: ['-0.54', ' 0.76', '11.39'], Velocity: ['-0.05', ' 0.44', ' 0.54'], Position: ['-0.02', ' 0.15', ' 0.19'] 
Timestamp: 1656016649.632885, Acceleration: [' 0.22', ' 1.13', '10.30'], Velocity: ['-0.05', ' 0.46', ' 0.55'], Position: ['-0.02', ' 0.15', ' 0.20'] 
Timestamp: 1656016649.6393948, Acceleration: ['-1.09', ' 0.50', ' 9.90'], Velocity: ['-0.06', ' 0.46', ' 0.55'], Position: ['-0.02', ' 0.16', ' 0.21'] 
Timestamp: 1656016649.6473708, Acceleration: ['-1.04', ' 0.66', ' 9.56'], Velocity: ['-0.07', ' 0.47', ' 0.55'], Position: ['-0.02', ' 0.16', ' 0.21'] 
Timestamp: 1656016649.6578178, Acceleration: ['-0.86', ' 0.61', ' 9.44'], Velocity: ['-0.08', ' 0.47', ' 0.54'], Position: ['-0.02', ' 0.17', ' 0.22'] 
Timestamp: 1656016649.66754, Acceleration: ['-0.06', ' 0.86', ' 9.12'], Velocity: ['-0.08', ' 0.48', ' 0.54'], Position: ['-0.02', ' 0.17', ' 0.22'] 
Timestamp: 1656016649.6775396, Acceleration: ['-0.08', ' 0.73', '10.60'], Velocity: ['-0.08', ' 0.49', ' 0.54'], Position: ['-0.02', ' 0.18', ' 0.23'] 
