Timestamp: 1656014795.6460783, Acceleration: [' 0.14', ' 0.09', ' 9.86'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.6557128, Acceleration: [' 0.10', '-0.25', '10.10'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.665768, Acceleration: [' 0.03', '-0.19', '10.29'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.6757543, Acceleration: [' 0.15', '-0.26', ' 9.72'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.6857982, Acceleration: ['-0.00', '-0.04', ' 9.69'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.6958547, Acceleration: [' 0.18', ' 0.02', '10.17'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.705768, Acceleration: ['-0.05', ' 0.12', '10.19'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.715831, Acceleration: [' 0.18', ' 0.12', '10.09'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.7256634, Acceleration: [' 0.04', ' 0.07', ' 9.91'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.735819, Acceleration: [' 0.11', '-0.00', ' 9.90'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.7459195, Acceleration: [' 0.20', '-0.11', '10.21'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.7556171, Acceleration: [' 0.09', '-0.16', '10.21'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.765626, Acceleration: [' 0.16', '-0.19', ' 9.74'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.7759585, Acceleration: ['-0.02', '-0.05', ' 9.70'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.7855587, Acceleration: [' 0.13', '-0.03', ' 9.96'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.7956445, Acceleration: ['-0.06', ' 0.18', ' 9.97'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.8058398, Acceleration: [' 0.19', ' 0.09', '10.21'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.8157964, Acceleration: ['-0.01', '-0.00', '10.11'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.8257015, Acceleration: [' 0.19', '-0.01', ' 9.76'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.8359048, Acceleration: [' 0.04', '-0.08', ' 9.99'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.8456233, Acceleration: [' 0.05', '-0.15', ' 9.92'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.856503, Acceleration: [' 0.10', '-0.18', ' 9.89'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.865715, Acceleration: ['-0.02', '-0.09', ' 9.81'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.8756294, Acceleration: [' 0.15', '-0.07', ' 9.92'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.885702, Acceleration: ['-0.01', ' 0.23', ' 9.69'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.895601, Acceleration: [' 0.18', ' 0.15', '10.20'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.9068797, Acceleration: [' 0.02', '-0.02', '10.11'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.9155924, Acceleration: [' 0.19', '-0.08', '10.06'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.925709, Acceleration: [' 0.03', '-0.15', ' 9.91'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.9361312, Acceleration: [' 0.06', '-0.02', ' 9.80'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.945774, Acceleration: [' 0.09', '-0.17', '10.19'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.9566174, Acceleration: [' 0.02', ' 0.01', ' 9.88'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.9658275, Acceleration: [' 0.12', '-0.01', '10.20'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.9759336, Acceleration: [' 0.02', ' 0.24', ' 9.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.9858038, Acceleration: [' 0.16', ' 0.10', '10.14'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.9960148, Acceleration: [' 0.03', ' 0.08', ' 9.97'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.0067868, Acceleration: [' 0.26', '-0.00', '10.10'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.016073, Acceleration: [' 0.10', '-0.10', '10.08'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.0257494, Acceleration: [' 0.10', '-0.15', ' 9.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.0361223, Acceleration: [' 0.13', '-0.22', ' 9.90'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.045538, Acceleration: [' 0.09', ' 0.02', ' 9.82'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.0567915, Acceleration: [' 0.12', ' 0.04', '10.26'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.065865, Acceleration: [' 0.02', ' 0.18', ' 9.88'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.075913, Acceleration: [' 0.15', ' 0.13', '10.11'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.085586, Acceleration: ['-0.07', ' 0.11', ' 9.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.0969477, Acceleration: [' 0.02', '-0.12', '10.03'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.1058066, Acceleration: [' 0.17', '-0.10', '10.01'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.1159031, Acceleration: [' 0.06', '-0.17', ' 9.91'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
