Timestamp: 1656015208.391432, Acceleration: [' 0.01', ' 0.06', ' 8.88'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', '-0.06'] 
Timestamp: 1656015208.4018455, Acceleration: [' 0.25', ' 0.18', ' 9.53'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', '-0.06'] 
Timestamp: 1656015208.4085643, Acceleration: [' 0.11', ' 0.20', ' 9.32'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', '-0.06'] 
Timestamp: 1656015208.4148896, Acceleration: [' 0.73', ' 0.48', ' 9.71'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', '-0.06'] 
Timestamp: 1656015208.4248347, Acceleration: [' 0.28', ' 0.29', ' 9.20'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', '-0.06'] 
Timestamp: 1656015208.4348779, Acceleration: [' 0.27', ' 0.16', ' 9.20'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', '-0.06'] 
Timestamp: 1656015208.4450436, Acceleration: [' 0.06', ' 0.10', ' 9.57'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', '-0.06'] 
Timestamp: 1656015208.454928, Acceleration: [' 0.27', ' 0.17', ' 9.36'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', '-0.07'] 
Timestamp: 1656015208.4649024, Acceleration: [' 0.17', ' 0.03', ' 9.71'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', '-0.07'] 
Timestamp: 1656015208.4749105, Acceleration: ['-0.10', '-0.03', ' 8.93'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', '-0.07'] 
Timestamp: 1656015208.4856837, Acceleration: ['-0.15', ' 0.11', ' 8.99'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', '-0.07'] 
