Timestamp: 1656016316.2232122, Acceleration: [' 0.37', '-0.59', ' 7.02'], Velocity: [' 0.08', '-0.13', '-0.61'], Position: [' 0.03', '-0.04', '-0.20'] 
Timestamp: 1656016316.2321994, Acceleration: [' 0.53', ' 0.52', ' 8.32'], Velocity: [' 0.09', '-0.13', '-0.63'], Position: [' 0.03', '-0.04', '-0.21'] 
Timestamp: 1656016316.2384539, Acceleration: [' 2.09', ' 0.81', ' 9.31'], Velocity: [' 0.10', '-0.12', '-0.63'], Position: [' 0.03', '-0.04', '-0.21'] 
Timestamp: 1656016316.2464137, Acceleration: [' 2.14', ' 0.66', ' 9.28'], Velocity: [' 0.12', '-0.12', '-0.63'], Position: [' 0.03', '-0.05', '-0.22'] 
Timestamp: 1656016316.2566552, Acceleration: [' 1.86', ' 0.62', ' 8.82'], Velocity: [' 0.14', '-0.11', '-0.64'], Position: [' 0.03', '-0.05', '-0.22'] 
Timestamp: 1656016316.2663994, Acceleration: [' 1.26', ' 0.14', ' 7.37'], Velocity: [' 0.15', '-0.11', '-0.67'], Position: [' 0.03', '-0.05', '-0.23'] 
Timestamp: 1656016316.2789466, Acceleration: [' 1.08', ' 0.03', ' 8.71'], Velocity: [' 0.16', '-0.11', '-0.68'], Position: [' 0.03', '-0.05', '-0.24'] 
Timestamp: 1656016316.286966, Acceleration: [' 0.50', '-0.04', ' 7.88'], Velocity: [' 0.16', '-0.11', '-0.70'], Position: [' 0.04', '-0.05', '-0.24'] 
Timestamp: 1656016316.2969413, Acceleration: [' 1.27', ' 0.29', ' 9.36'], Velocity: [' 0.18', '-0.10', '-0.70'], Position: [' 0.04', '-0.05', '-0.25'] 
Timestamp: 1656016316.306681, Acceleration: [' 0.51', '-0.05', ' 8.30'], Velocity: [' 0.18', '-0.11', '-0.72'], Position: [' 0.04', '-0.05', '-0.26'] 
Timestamp: 1656016316.3165765, Acceleration: [' 1.40', ' 0.35', ' 9.94'], Velocity: [' 0.20', '-0.10', '-0.71'], Position: [' 0.04', '-0.05', '-0.27'] 
Timestamp: 1656016316.3292034, Acceleration: [' 1.77', ' 0.34', ' 8.22'], Velocity: [' 0.22', '-0.10', '-0.73'], Position: [' 0.04', '-0.05', '-0.27'] 
