Timestamp: 1647980840.5145643, Acceleration: [' 0.06', ' 0.20', ' 9.74'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.5246654, Acceleration: [' 0.01', ' 0.23', ' 9.80'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.534562, Acceleration: [' 0.03', ' 0.20', ' 9.85'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.5445435, Acceleration: ['-0.00', ' 0.27', ' 9.59'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.5546002, Acceleration: [' 0.14', ' 0.21', ' 9.59'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.564517, Acceleration: [' 0.02', ' 0.24', ' 9.72'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.5745523, Acceleration: [' 0.02', ' 0.33', ' 9.88'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.5847147, Acceleration: [' 0.03', ' 0.15', ' 9.78'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.5946085, Acceleration: ['-0.08', ' 0.12', ' 9.85'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.6051562, Acceleration: [' 0.04', ' 0.19', ' 9.70'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.6146266, Acceleration: [' 0.06', ' 0.25', ' 9.71'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.6245012, Acceleration: [' 0.13', ' 0.26', ' 9.71'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.6345627, Acceleration: ['-0.01', ' 0.25', ' 9.83'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.644568, Acceleration: [' 0.02', ' 0.19', ' 9.72'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.6545582, Acceleration: [' 0.05', ' 0.11', ' 9.68'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.6711278, Acceleration: [' 0.13', ' 0.20', ' 9.72'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.6776495, Acceleration: [' 0.01', ' 0.21', ' 9.74'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.6846273, Acceleration: [' 0.00', ' 0.23', ' 9.76'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.6945431, Acceleration: [' 0.03', ' 0.15', ' 9.69'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.7047014, Acceleration: [' 0.15', ' 0.08', ' 9.66'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.7146356, Acceleration: [' 0.01', ' 0.19', ' 9.69'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.7246447, Acceleration: [' 0.03', ' 0.27', ' 9.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.7345986, Acceleration: [' 0.00', ' 0.24', ' 9.87'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.7447033, Acceleration: ['-0.01', ' 0.19', ' 9.68'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
