Timestamp: 1656013888.2880013, Acceleration: ['-0.01', ' 0.06', ' 9.53'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.2981064, Acceleration: ['-0.27', ' 0.05', ' 9.31'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.3084552, Acceleration: ['-0.15', '-0.12', ' 9.21'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.3181705, Acceleration: ['-0.14', '-0.00', ' 9.94'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.3294928, Acceleration: ['-0.14', ' 0.36', ' 9.12'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.3491497, Acceleration: ['-0.24', ' 0.36', ' 9.50'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.3558173, Acceleration: [' 0.37', ' 0.62', '10.10'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.3626266, Acceleration: ['-0.02', ' 0.21', '10.04'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.369091, Acceleration: ['-0.02', '-0.01', ' 9.22'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.381994, Acceleration: ['-0.12', ' 0.36', ' 8.87'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.3884976, Acceleration: ['-0.37', '-0.06', ' 9.79'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.3981028, Acceleration: ['-0.34', '-0.20', ' 8.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.4078858, Acceleration: [' 0.11', ' 0.11', ' 9.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.417936, Acceleration: ['-0.36', '-0.01', ' 9.05'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.4281657, Acceleration: [' 0.38', ' 0.39', '10.08'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.4379704, Acceleration: ['-0.04', ' 0.65', ' 9.41'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.4479468, Acceleration: [' 0.26', ' 0.32', ' 9.38'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.4580092, Acceleration: [' 0.11', ' 0.23', ' 9.52'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.4680436, Acceleration: [' 0.01', '-0.05', ' 8.63'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.4782023, Acceleration: ['-0.38', '-0.08', ' 9.87'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.4894989, Acceleration: [' 0.12', ' 0.01', ' 9.15'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.4980211, Acceleration: ['-0.35', ' 0.26', ' 9.96'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.5101707, Acceleration: [' 0.34', ' 0.26', ' 9.02'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.518175, Acceleration: [' 0.00', ' 0.51', ' 9.60'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.5280428, Acceleration: [' 0.20', ' 0.45', ' 9.82'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.5380611, Acceleration: [' 0.31', ' 0.40', ' 9.16'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.5481687, Acceleration: ['-0.13', ' 0.29', '10.03'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.558073, Acceleration: [' 0.25', '-0.15', ' 8.59'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.5679762, Acceleration: ['-0.48', '-0.22', ' 9.60'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.5783072, Acceleration: [' 0.11', '-0.02', ' 9.96'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.588413, Acceleration: ['-0.13', ' 0.25', ' 9.56'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.5984442, Acceleration: [' 0.23', ' 0.36', ' 9.30'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
