Timestamp: 1656014027.8615265, Acceleration: [' 0.40', '-0.52', ' 9.48'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.02'] 
Timestamp: 1656014027.8687975, Acceleration: [' 0.93', ' 0.13', ' 9.16'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.02'] 
Timestamp: 1656014027.8753285, Acceleration: [' 0.53', '-0.08', ' 9.18'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.02'] 
Timestamp: 1656014027.8850982, Acceleration: [' 0.86', '-0.19', ' 9.50'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.02'] 
Timestamp: 1656014027.8956513, Acceleration: [' 0.89', '-0.08', ' 8.87'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.02'] 
Timestamp: 1656014027.9043255, Acceleration: [' 0.42', '-0.38', ' 9.00'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.02'] 
Timestamp: 1656014027.9150243, Acceleration: [' 0.50', '-0.34', ' 9.64'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.02'] 
Timestamp: 1656014027.9244635, Acceleration: [' 0.69', ' 0.10', ' 9.75'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.02'] 
Timestamp: 1656014027.9343915, Acceleration: [' 0.86', ' 0.21', ' 9.53'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.02'] 
Timestamp: 1656014027.9450657, Acceleration: [' 0.60', '-0.14', ' 8.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.02'] 
Timestamp: 1656014027.954561, Acceleration: [' 0.45', '-0.28', ' 8.92'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.02'] 
Timestamp: 1656014027.964348, Acceleration: [' 0.75', '-0.27', ' 9.68'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.02'] 
Timestamp: 1656014027.9742048, Acceleration: [' 0.45', '-0.10', ' 9.21'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.02'] 
Timestamp: 1656014027.9841785, Acceleration: [' 0.85', ' 0.02', ' 9.82'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.02'] 
Timestamp: 1656014027.9944038, Acceleration: [' 0.45', '-0.01', ' 8.86'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.03'] 
Timestamp: 1656014028.0042114, Acceleration: [' 0.82', '-0.25', ' 9.54'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.03'] 
Timestamp: 1656014028.014405, Acceleration: [' 0.35', '-0.16', ' 9.21'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.03'] 
Timestamp: 1656014028.0243807, Acceleration: [' 0.95', ' 0.13', ' 9.74'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.03'] 
Timestamp: 1656014028.0343623, Acceleration: [' 0.73', ' 0.39', ' 9.70'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.03'] 
Timestamp: 1656014028.04427, Acceleration: [' 0.74', ' 0.16', ' 9.01'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.03'] 
Timestamp: 1656014028.0544045, Acceleration: [' 0.58', '-0.22', ' 9.41'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.03'] 
Timestamp: 1656014028.0642626, Acceleration: [' 0.40', '-0.46', ' 8.90'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.03'] 
Timestamp: 1656014028.0742154, Acceleration: [' 0.87', '-0.23', '10.00'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.03'] 
Timestamp: 1656014028.0842538, Acceleration: [' 0.51', ' 0.38', ' 9.01'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.03'] 
Timestamp: 1656014028.0943675, Acceleration: [' 0.87', ' 0.00', ' 9.67'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.03'] 
Timestamp: 1656014028.1046865, Acceleration: [' 0.24', ' 0.01', ' 8.96'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.03'] 
Timestamp: 1656014028.114251, Acceleration: [' 0.93', '-0.21', ' 9.83'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.03'] 
Timestamp: 1656014028.1249988, Acceleration: [' 0.84', ' 0.15', ' 9.55'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.03'] 
Timestamp: 1656014028.1341758, Acceleration: [' 0.90', ' 0.32', ' 9.56'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.03'] 
Timestamp: 1656014028.1456926, Acceleration: [' 0.59', ' 0.11', ' 9.36'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.03'] 
Timestamp: 1656014028.1575956, Acceleration: [' 0.52', ' 0.29', ' 9.40'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.03'] 
Timestamp: 1656014028.1644137, Acceleration: [' 0.37', '-0.10', ' 9.06'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', '-0.04', '-0.03'] 
