Timestamp: 1656014277.7717717, Acceleration: ['-0.09', '-0.85', '10.64'], Velocity: ['-0.02', '-0.18', ' 0.18'], Position: ['-0.01', '-0.06', ' 0.06'] 
Timestamp: 1656014277.7793121, Acceleration: [' 0.28', '-0.47', '10.40'], Velocity: ['-0.02', '-0.19', ' 0.19'], Position: ['-0.01', '-0.06', ' 0.06'] 
Timestamp: 1656014277.7859526, Acceleration: [' 0.09', '-0.57', '10.14'], Velocity: ['-0.02', '-0.19', ' 0.19'], Position: ['-0.01', '-0.06', ' 0.06'] 
Timestamp: 1656014277.7958682, Acceleration: [' 0.28', '-0.42', '10.33'], Velocity: ['-0.01', '-0.20', ' 0.19'], Position: ['-0.01', '-0.06', ' 0.06'] 
Timestamp: 1656014277.8052676, Acceleration: [' 0.50', '-0.46', '10.78'], Velocity: ['-0.01', '-0.20', ' 0.20'], Position: ['-0.01', '-0.07', ' 0.07'] 
Timestamp: 1656014277.8152478, Acceleration: [' 0.28', '-0.36', '10.12'], Velocity: ['-0.01', '-0.20', ' 0.21'], Position: ['-0.01', '-0.07', ' 0.07'] 
Timestamp: 1656014277.8272827, Acceleration: [' 0.37', '-0.49', '10.38'], Velocity: ['-0.00', '-0.21', ' 0.21'], Position: ['-0.01', '-0.07', ' 0.07'] 
Timestamp: 1656014277.8354037, Acceleration: [' 0.38', '-0.37', '10.47'], Velocity: [' 0.00', '-0.21', ' 0.22'], Position: ['-0.01', '-0.07', ' 0.07'] 
Timestamp: 1656014277.8462098, Acceleration: [' 0.67', '-0.19', '10.49'], Velocity: [' 0.01', '-0.21', ' 0.22'], Position: ['-0.01', '-0.08', ' 0.07'] 
Timestamp: 1656014277.8550909, Acceleration: [' 0.60', '-0.13', '10.76'], Velocity: [' 0.01', '-0.22', ' 0.23'], Position: ['-0.01', '-0.08', ' 0.08'] 
Timestamp: 1656014277.8650594, Acceleration: [' 0.60', '-0.31', ' 9.86'], Velocity: [' 0.02', '-0.22', ' 0.23'], Position: ['-0.01', '-0.08', ' 0.08'] 
Timestamp: 1656014277.8752124, Acceleration: [' 0.06', '-0.92', '10.75'], Velocity: [' 0.02', '-0.23', ' 0.24'], Position: ['-0.01', '-0.08', ' 0.08'] 
Timestamp: 1656014277.8851347, Acceleration: [' 0.51', '-0.40', '10.00'], Velocity: [' 0.03', '-0.23', ' 0.25'], Position: ['-0.01', '-0.08', ' 0.08'] 
Timestamp: 1656014277.8950012, Acceleration: [' 0.15', '-0.59', '11.02'], Velocity: [' 0.03', '-0.24', ' 0.26'], Position: ['-0.01', '-0.09', ' 0.09'] 
Timestamp: 1656014277.9050906, Acceleration: [' 0.58', ' 0.08', '10.27'], Velocity: [' 0.03', '-0.24', ' 0.26'], Position: ['-0.00', '-0.09', ' 0.09'] 
Timestamp: 1656014277.9151511, Acceleration: [' 0.07', '-0.46', '10.81'], Velocity: [' 0.03', '-0.24', ' 0.27'], Position: ['-0.00', '-0.09', ' 0.09'] 
Timestamp: 1656014277.9249635, Acceleration: [' 0.40', '-0.37', '10.31'], Velocity: [' 0.04', '-0.25', ' 0.28'], Position: ['-0.00', '-0.09', ' 0.09'] 
Timestamp: 1656014277.934978, Acceleration: [' 0.38', '-0.58', '10.52'], Velocity: [' 0.04', '-0.25', ' 0.28'], Position: ['-0.00', '-0.10', ' 0.10'] 
Timestamp: 1656014277.9454534, Acceleration: [' 0.67', '-0.20', '10.91'], Velocity: [' 0.05', '-0.25', ' 0.30'], Position: ['-0.00', '-0.10', ' 0.10'] 
Timestamp: 1656014277.9550292, Acceleration: [' 0.75', '-0.30', '10.10'], Velocity: [' 0.06', '-0.26', ' 0.30'], Position: ['-0.00', '-0.10', ' 0.10'] 
Timestamp: 1656014277.9758623, Acceleration: [' 0.12', '-0.50', ' 9.76'], Velocity: [' 0.06', '-0.27', ' 0.30'], Position: ['-0.00', '-0.11', ' 0.11'] 
Timestamp: 1656014277.9834332, Acceleration: [' 0.14', '-0.48', ' 9.81'], Velocity: [' 0.06', '-0.27', ' 0.30'], Position: ['-0.00', '-0.11', ' 0.11'] 
Timestamp: 1656014277.9897702, Acceleration: [' 0.48', '-0.30', '10.35'], Velocity: [' 0.06', '-0.27', ' 0.30'], Position: ['-0.00', '-0.11', ' 0.11'] 
Timestamp: 1656014277.9960887, Acceleration: [' 0.24', '-0.18', '11.12'], Velocity: [' 0.06', '-0.27', ' 0.31'], Position: [' 0.00', '-0.11', ' 0.12'] 
Timestamp: 1656014278.0052168, Acceleration: [' 0.19', '-0.11', '10.28'], Velocity: [' 0.07', '-0.27', ' 0.31'], Position: [' 0.00', '-0.11', ' 0.12'] 
Timestamp: 1656014278.0151913, Acceleration: [' 0.46', '-0.41', '10.42'], Velocity: [' 0.07', '-0.28', ' 0.32'], Position: [' 0.00', '-0.12', ' 0.12'] 
Timestamp: 1656014278.024991, Acceleration: [' 0.31', '-0.48', '10.44'], Velocity: [' 0.07', '-0.28', ' 0.33'], Position: [' 0.00', '-0.12', ' 0.13'] 
Timestamp: 1656014278.0351207, Acceleration: [' 0.62', '-0.29', '10.41'], Velocity: [' 0.08', '-0.29', ' 0.33'], Position: [' 0.00', '-0.12', ' 0.13'] 
Timestamp: 1656014278.0453722, Acceleration: [' 0.78', '-0.23', '10.85'], Velocity: [' 0.09', '-0.29', ' 0.34'], Position: [' 0.00', '-0.13', ' 0.13'] 
Timestamp: 1656014278.055023, Acceleration: [' 0.43', '-0.15', '10.02'], Velocity: [' 0.09', '-0.29', ' 0.34'], Position: [' 0.00', '-0.13', ' 0.14'] 
Timestamp: 1656014278.0652142, Acceleration: [' 0.53', '-0.49', '10.79'], Velocity: [' 0.10', '-0.29', ' 0.35'], Position: [' 0.01', '-0.13', ' 0.14'] 
Timestamp: 1656014278.075114, Acceleration: ['-0.10', '-0.37', ' 9.96'], Velocity: [' 0.10', '-0.30', ' 0.36'], Position: [' 0.01', '-0.14', ' 0.14'] 
Timestamp: 1656014278.084986, Acceleration: [' 0.39', '-0.41', '11.04'], Velocity: [' 0.10', '-0.30', ' 0.37'], Position: [' 0.01', '-0.14', ' 0.15'] 
Timestamp: 1656014278.0972219, Acceleration: [' 0.19', ' 0.00', '10.42'], Velocity: [' 0.10', '-0.30', ' 0.38'], Position: [' 0.01', '-0.14', ' 0.15'] 
Timestamp: 1656014278.105246, Acceleration: [' 0.69', '-0.18', '10.59'], Velocity: [' 0.11', '-0.30', ' 0.38'], Position: [' 0.01', '-0.14', ' 0.15'] 
Timestamp: 1656014278.1150007, Acceleration: [' 0.30', '-0.26', '10.10'], Velocity: [' 0.11', '-0.31', ' 0.38'], Position: [' 0.01', '-0.15', ' 0.16'] 
Timestamp: 1656014278.1250482, Acceleration: [' 0.50', '-0.48', '10.08'], Velocity: [' 0.12', '-0.31', ' 0.39'], Position: [' 0.01', '-0.15', ' 0.16'] 
Timestamp: 1656014278.1352913, Acceleration: [' 0.59', '-0.30', '10.84'], Velocity: [' 0.12', '-0.31', ' 0.40'], Position: [' 0.01', '-0.15', ' 0.17'] 
Timestamp: 1656014278.1450171, Acceleration: [' 0.45', '-0.13', '10.36'], Velocity: [' 0.13', '-0.32', ' 0.40'], Position: [' 0.01', '-0.16', ' 0.17'] 
Timestamp: 1656014278.1550868, Acceleration: [' 0.54', '-0.22', '10.88'], Velocity: [' 0.13', '-0.32', ' 0.41'], Position: [' 0.02', '-0.16', ' 0.17'] 
Timestamp: 1656014278.1653287, Acceleration: ['-0.14', '-0.24', ' 9.81'], Velocity: [' 0.13', '-0.32', ' 0.41'], Position: [' 0.02', '-0.16', ' 0.18'] 
Timestamp: 1656014278.174959, Acceleration: [' 0.28', '-0.57', '10.93'], Velocity: [' 0.13', '-0.33', ' 0.42'], Position: [' 0.02', '-0.17', ' 0.18'] 
Timestamp: 1656014278.1849682, Acceleration: ['-0.12', '-0.12', '10.32'], Velocity: [' 0.13', '-0.33', ' 0.43'], Position: [' 0.02', '-0.17', ' 0.19'] 
Timestamp: 1656014278.1951659, Acceleration: [' 0.66', '-0.13', '10.97'], Velocity: [' 0.14', '-0.33', ' 0.44'], Position: [' 0.02', '-0.17', ' 0.19'] 
Timestamp: 1656014278.205201, Acceleration: [' 0.40', '-0.05', '10.36'], Velocity: [' 0.14', '-0.33', ' 0.45'], Position: [' 0.02', '-0.18', ' 0.20'] 
Timestamp: 1656014278.215109, Acceleration: [' 0.51', '-0.45', '10.17'], Velocity: [' 0.15', '-0.33', ' 0.45'], Position: [' 0.02', '-0.18', ' 0.20'] 
Timestamp: 1656014278.227697, Acceleration: [' 0.42', '-0.34', '11.08'], Velocity: [' 0.15', '-0.34', ' 0.47'], Position: [' 0.03', '-0.18', ' 0.21'] 
Timestamp: 1656014278.235047, Acceleration: [' 0.29', '-0.24', '10.38'], Velocity: [' 0.16', '-0.34', ' 0.47'], Position: [' 0.03', '-0.19', ' 0.21'] 
Timestamp: 1656014278.2449803, Acceleration: [' 0.62', '-0.11', '11.06'], Velocity: [' 0.16', '-0.34', ' 0.48'], Position: [' 0.03', '-0.19', ' 0.21'] 
Timestamp: 1656014278.2556326, Acceleration: [' 0.39', '-0.25', '10.09'], Velocity: [' 0.17', '-0.34', ' 0.49'], Position: [' 0.03', '-0.19', ' 0.22'] 
Timestamp: 1656014278.2651858, Acceleration: [' 0.29', '-0.30', '10.75'], Velocity: [' 0.17', '-0.35', ' 0.50'], Position: [' 0.03', '-0.20', ' 0.22'] 
Timestamp: 1656014278.2750108, Acceleration: ['-0.15', '-0.28', ' 9.97'], Velocity: [' 0.17', '-0.35', ' 0.50'], Position: [' 0.03', '-0.20', ' 0.23'] 
Timestamp: 1656014278.2857974, Acceleration: [' 0.42', '-0.25', '10.43'], Velocity: [' 0.17', '-0.35', ' 0.50'], Position: [' 0.04', '-0.20', ' 0.24'] 
Timestamp: 1656014278.2951849, Acceleration: [' 0.40', '-0.01', '10.52'], Velocity: [' 0.18', '-0.35', ' 0.51'], Position: [' 0.04', '-0.21', ' 0.24'] 
Timestamp: 1656014278.3051202, Acceleration: [' 0.76', '-0.15', '10.57'], Velocity: [' 0.18', '-0.35', ' 0.52'], Position: [' 0.04', '-0.21', ' 0.25'] 
Timestamp: 1656014278.3159773, Acceleration: [' 0.42', '-0.24', '10.27'], Velocity: [' 0.19', '-0.36', ' 0.52'], Position: [' 0.04', '-0.21', ' 0.25'] 
Timestamp: 1656014278.3253064, Acceleration: [' 0.22', '-0.62', '10.27'], Velocity: [' 0.19', '-0.36', ' 0.53'], Position: [' 0.04', '-0.22', ' 0.26'] 
Timestamp: 1656014278.335169, Acceleration: [' 0.14', '-0.23', '10.88'], Velocity: [' 0.19', '-0.36', ' 0.54'], Position: [' 0.05', '-0.22', ' 0.26'] 
Timestamp: 1656014278.3481154, Acceleration: [' 0.48', ' 0.14', '10.29'], Velocity: [' 0.20', '-0.36', ' 0.54'], Position: [' 0.05', '-0.23', ' 0.27'] 
Timestamp: 1656014278.3553843, Acceleration: [' 0.13', '-0.18', '11.11'], Velocity: [' 0.20', '-0.36', ' 0.55'], Position: [' 0.05', '-0.23', ' 0.27'] 
Timestamp: 1656014278.3650732, Acceleration: [' 0.02', '-0.13', ' 9.94'], Velocity: [' 0.20', '-0.36', ' 0.55'], Position: [' 0.05', '-0.23', ' 0.28'] 
Timestamp: 1656014278.3751204, Acceleration: [' 0.11', '-0.50', '10.89'], Velocity: [' 0.20', '-0.37', ' 0.57'], Position: [' 0.05', '-0.24', ' 0.28'] 
Timestamp: 1656014278.3856986, Acceleration: [' 0.74', '-0.19', '10.80'], Velocity: [' 0.21', '-0.37', ' 0.58'], Position: [' 0.06', '-0.24', ' 0.29'] 
Timestamp: 1656014278.3952355, Acceleration: [' 0.49', '-0.02', '10.88'], Velocity: [' 0.21', '-0.37', ' 0.59'], Position: [' 0.06', '-0.24', ' 0.30'] 
Timestamp: 1656014278.405251, Acceleration: [' 0.54', ' 0.14', '10.50'], Velocity: [' 0.22', '-0.37', ' 0.59'], Position: [' 0.06', '-0.25', ' 0.30'] 
Timestamp: 1656014278.4156916, Acceleration: [' 0.12', '-0.29', '10.64'], Velocity: [' 0.22', '-0.37', ' 0.60'], Position: [' 0.06', '-0.25', ' 0.31'] 
Timestamp: 1656014278.4250925, Acceleration: ['-0.05', '-0.47', '10.40'], Velocity: [' 0.22', '-0.38', ' 0.61'], Position: [' 0.06', '-0.25', ' 0.31'] 
Timestamp: 1656014278.4352002, Acceleration: [' 0.31', '-0.02', '10.14'], Velocity: [' 0.22', '-0.38', ' 0.61'], Position: [' 0.07', '-0.26', ' 0.32'] 
Timestamp: 1656014278.4489021, Acceleration: [' 0.13', '-0.33', '10.48'], Velocity: [' 0.22', '-0.38', ' 0.62'], Position: [' 0.07', '-0.26', ' 0.33'] 
Timestamp: 1656014278.4565315, Acceleration: [' 0.06', '-0.10', ' 9.85'], Velocity: [' 0.22', '-0.38', ' 0.62'], Position: [' 0.07', '-0.27', ' 0.33'] 
Timestamp: 1656014278.4678423, Acceleration: [' 0.06', '-0.22', '10.29'], Velocity: [' 0.22', '-0.39', ' 0.63'], Position: [' 0.07', '-0.27', ' 0.34'] 
Timestamp: 1656014278.4751763, Acceleration: [' 0.48', '-0.35', ' 9.76'], Velocity: [' 0.23', '-0.39', ' 0.63'], Position: [' 0.08', '-0.27', ' 0.34'] 
Timestamp: 1656014278.4854326, Acceleration: [' 0.23', '-0.07', '10.36'], Velocity: [' 0.23', '-0.39', ' 0.63'], Position: [' 0.08', '-0.28', ' 0.35'] 
Timestamp: 1656014278.4951026, Acceleration: [' 0.49', '-0.05', '10.48'], Velocity: [' 0.23', '-0.39', ' 0.64'], Position: [' 0.08', '-0.28', ' 0.36'] 
Timestamp: 1656014278.505306, Acceleration: [' 0.17', ' 0.00', '10.49'], Velocity: [' 0.24', '-0.39', ' 0.64'], Position: [' 0.08', '-0.29', ' 0.36'] 
Timestamp: 1656014278.5159044, Acceleration: ['-0.06', '-0.12', '10.20'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.09', '-0.29', ' 0.37'] 
Timestamp: 1656014278.5254817, Acceleration: [' 0.13', '-0.26', '10.92'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.09', '-0.29', ' 0.37'] 
Timestamp: 1656014278.5353932, Acceleration: [' 0.00', ' 0.09', '10.31'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.09', '-0.29', ' 0.37'] 
Timestamp: 1656014278.5458193, Acceleration: [' 0.59', ' 0.00', '11.14'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.09', '-0.29', ' 0.37'] 
Timestamp: 1656014278.5552104, Acceleration: [' 0.18', ' 0.10', ' 9.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.09', '-0.29', ' 0.37'] 
Timestamp: 1656014278.5652173, Acceleration: [' 0.51', '-0.32', '10.49'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.09', '-0.29', ' 0.37'] 
Timestamp: 1656014278.5770314, Acceleration: ['-0.08', '-0.41', '10.69'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.09', '-0.29', ' 0.37'] 
Timestamp: 1656014278.5851495, Acceleration: [' 0.36', '-0.18', '10.79'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.09', '-0.29', ' 0.37'] 
Timestamp: 1656014278.5953813, Acceleration: [' 0.15', ' 0.12', '10.72'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.09', '-0.29', ' 0.37'] 
Timestamp: 1656014278.6056669, Acceleration: [' 0.14', ' 0.02', '10.29'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.09', '-0.29', ' 0.37'] 
Timestamp: 1656014278.615271, Acceleration: [' 0.02', '-0.24', '10.66'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.09', '-0.29', ' 0.37'] 
Timestamp: 1656014278.625135, Acceleration: ['-0.19', '-0.14', ' 9.93'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.09', '-0.29', ' 0.37'] 
