Timestamp: 1648004849.027665, Acceleration: ['-0.30', '-0.37', ' 9.78'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.0377476, Acceleration: ['-0.29', '-0.46', ' 9.93'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.0474272, Acceleration: ['-0.29', '-0.21', '10.00'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.0570862, Acceleration: ['-0.27', '-0.27', ' 9.82'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.0671172, Acceleration: ['-0.31', '-0.32', ' 9.75'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.0768814, Acceleration: ['-0.27', '-0.27', ' 9.80'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.0869746, Acceleration: ['-0.27', '-0.33', ' 9.89'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.0970578, Acceleration: ['-0.26', '-0.20', ' 9.90'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.106893, Acceleration: ['-0.25', '-0.21', ' 9.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.1171, Acceleration: ['-0.24', '-0.33', ' 9.79'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.1270041, Acceleration: ['-0.28', '-0.31', ' 9.75'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.1369958, Acceleration: ['-0.19', '-0.35', ' 9.70'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.1469889, Acceleration: ['-0.27', '-0.23', ' 9.90'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.1570325, Acceleration: ['-0.25', '-0.27', ' 9.88'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.167187, Acceleration: ['-0.24', '-0.29', ' 9.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.1769817, Acceleration: ['-0.27', '-0.39', ' 9.83'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.1870232, Acceleration: ['-0.26', '-0.34', ' 9.95'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.1969757, Acceleration: ['-0.33', '-0.24', ' 9.89'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.2161045, Acceleration: ['-0.24', '-0.26', '10.00'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.2226799, Acceleration: ['-0.22', '-0.19', ' 9.87'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.2292514, Acceleration: ['-0.24', '-0.35', ' 9.87'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.2372859, Acceleration: ['-0.22', '-0.33', ' 9.79'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.2470653, Acceleration: ['-0.25', '-0.20', ' 9.70'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.2572005, Acceleration: ['-0.19', '-0.23', ' 9.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.2670395, Acceleration: ['-0.18', '-0.31', ' 9.94'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.2770631, Acceleration: ['-0.24', '-0.40', ' 9.85'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.2872524, Acceleration: ['-0.25', '-0.30', ' 9.83'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.297076, Acceleration: ['-0.21', '-0.19', ' 9.91'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.3070524, Acceleration: ['-0.23', '-0.21', ' 9.98'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.3171594, Acceleration: ['-0.24', '-0.30', ' 9.75'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.3269553, Acceleration: ['-0.25', '-0.36', ' 9.82'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.3370264, Acceleration: ['-0.18', '-0.25', ' 9.74'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.3470812, Acceleration: ['-0.23', '-0.36', ' 9.98'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.3570187, Acceleration: ['-0.24', '-0.17', ' 9.96'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.3672414, Acceleration: ['-0.24', '-0.34', ' 9.73'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.3775477, Acceleration: ['-0.21', '-0.26', ' 9.72'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.3872325, Acceleration: ['-0.18', '-0.33', ' 9.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.3969493, Acceleration: ['-0.25', '-0.37', ' 9.87'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.407132, Acceleration: ['-0.21', '-0.07', ' 9.91'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.4171658, Acceleration: ['-0.14', '-0.34', ' 9.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.02', ' 0.00'] 
Timestamp: 1648004849.4269516, Acceleration: ['-0.23', '-0.31', ' 9.79'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.4370472, Acceleration: ['-0.24', '-0.35', ' 9.97'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.4473534, Acceleration: ['-0.26', '-0.20', ' 9.89'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.4569914, Acceleration: ['-0.19', '-0.00', ' 9.99'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.4670973, Acceleration: ['-0.19', '-0.29', ' 9.80'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.477223, Acceleration: ['-0.19', '-0.22', ' 9.79'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.4869401, Acceleration: ['-0.21', '-0.27', ' 9.85'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.4971259, Acceleration: ['-0.28', '-0.23', ' 9.97'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.507189, Acceleration: ['-0.15', '-0.32', ' 9.82'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.5169249, Acceleration: ['-0.19', '-0.25', ' 9.75'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.5269816, Acceleration: ['-0.12', '-0.31', ' 9.79'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.5370755, Acceleration: ['-0.24', '-0.25', ' 9.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.5470908, Acceleration: ['-0.17', '-0.32', ' 9.85'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.5571747, Acceleration: ['-0.20', '-0.05', ' 9.90'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.567035, Acceleration: ['-0.25', '-0.29', ' 9.83'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.5772781, Acceleration: ['-0.18', '-0.32', ' 9.75'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.5869668, Acceleration: ['-0.18', '-0.28', ' 9.92'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.5970488, Acceleration: ['-0.17', '-0.17', ' 9.93'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.6071346, Acceleration: ['-0.11', '-0.17', ' 9.86'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.616941, Acceleration: ['-0.09', '-0.23', ' 9.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.6270409, Acceleration: ['-0.15', '-0.34', ' 9.78'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.637072, Acceleration: ['-0.18', '-0.24', ' 9.92'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.6469803, Acceleration: ['-0.11', '-0.20', ' 9.89'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.657448, Acceleration: ['-0.14', '-0.23', ' 9.83'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.6670613, Acceleration: ['-0.10', '-0.21', ' 9.80'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.676898, Acceleration: ['-0.17', '-0.31', ' 9.86'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.686957, Acceleration: ['-0.10', '-0.17', ' 9.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.6970067, Acceleration: ['-0.18', '-0.14', '10.00'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.707064, Acceleration: ['-0.10', '-0.21', ' 9.85'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.7169535, Acceleration: ['-0.18', '-0.20', ' 9.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.7270198, Acceleration: ['-0.16', '-0.25', ' 9.87'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.7370825, Acceleration: ['-0.20', '-0.31', ' 9.88'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.7471063, Acceleration: ['-0.09', '-0.11', ' 9.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.7570584, Acceleration: ['-0.14', '-0.10', ' 9.82'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.767227, Acceleration: ['-0.09', '-0.29', ' 9.76'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.7770095, Acceleration: ['-0.13', '-0.25', ' 9.80'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.7869694, Acceleration: ['-0.10', '-0.19', ' 9.94'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.7970693, Acceleration: ['-0.15', '-0.16', ' 9.85'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.8068945, Acceleration: ['-0.14', '-0.08', ' 9.71'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.8170147, Acceleration: ['-0.17', '-0.20', ' 9.81'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.827083, Acceleration: ['-0.13', '-0.33', ' 9.58'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.8369985, Acceleration: ['-0.14', '-0.22', ' 9.96'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.8470635, Acceleration: ['-0.12', '-0.12', ' 9.95'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.8572688, Acceleration: ['-0.07', '-0.14', ' 9.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.8669627, Acceleration: ['-0.12', '-0.29', ' 9.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.8770146, Acceleration: ['-0.10', '-0.30', ' 9.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.887017, Acceleration: ['-0.09', '-0.17', ' 9.80'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.8969836, Acceleration: ['-0.08', '-0.14', ' 9.85'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.9070194, Acceleration: ['-0.12', '-0.01', ' 9.87'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.917023, Acceleration: ['-0.10', '-0.22', ' 9.80'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.926965, Acceleration: ['-0.15', '-0.17', ' 9.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.9369354, Acceleration: ['-0.11', '-0.19', ' 9.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.947021, Acceleration: ['-0.09', '-0.06', ' 9.82'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.9576018, Acceleration: ['-0.07', '-0.11', ' 9.72'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.967006, Acceleration: ['-0.13', '-0.23', ' 9.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.9770079, Acceleration: ['-0.16', '-0.27', ' 9.70'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.9871154, Acceleration: ['-0.09', '-0.29', '10.00'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004849.9969893, Acceleration: ['-0.10', '-0.21', ' 9.94'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004850.007086, Acceleration: [' 0.08', ' 0.01', ' 9.72'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
