Timestamp: 1656014046.1132567, Acceleration: [' 1.61', '-0.12', ' 8.64'], Velocity: [' 0.13', '-0.06', '-0.14'], Position: [' 0.06', '-0.09', '-0.05'] 
Timestamp: 1656014046.121999, Acceleration: [' 1.62', '-0.17', ' 8.56'], Velocity: [' 0.15', '-0.06', '-0.15'], Position: [' 0.06', '-0.09', '-0.05'] 
Timestamp: 1656014046.133259, Acceleration: [' 0.70', '-0.36', ' 7.39'], Velocity: [' 0.15', '-0.07', '-0.18'], Position: [' 0.06', '-0.09', '-0.06'] 
Timestamp: 1656014046.1420617, Acceleration: [' 0.80', '-0.68', ' 7.38'], Velocity: [' 0.16', '-0.07', '-0.20'], Position: [' 0.06', '-0.09', '-0.06'] 
Timestamp: 1656014046.1521392, Acceleration: ['-0.03', '-0.61', ' 7.85'], Velocity: [' 0.16', '-0.08', '-0.22'], Position: [' 0.07', '-0.09', '-0.06'] 
Timestamp: 1656014046.1619635, Acceleration: [' 0.23', '-0.47', ' 8.89'], Velocity: [' 0.16', '-0.09', '-0.23'], Position: [' 0.07', '-0.09', '-0.06'] 
Timestamp: 1656014046.1724765, Acceleration: [' 0.53', '-0.34', ' 9.78'], Velocity: [' 0.17', '-0.09', '-0.23'], Position: [' 0.07', '-0.09', '-0.07'] 
Timestamp: 1656014046.1818526, Acceleration: [' 1.17', '-0.38', ' 9.37'], Velocity: [' 0.18', '-0.09', '-0.23'], Position: [' 0.07', '-0.09', '-0.07'] 
Timestamp: 1656014046.1921375, Acceleration: [' 1.54', '-0.25', ' 9.35'], Velocity: [' 0.20', '-0.09', '-0.24'], Position: [' 0.07', '-0.09', '-0.07'] 
Timestamp: 1656014046.2019076, Acceleration: [' 1.16', '-0.34', ' 7.84'], Velocity: [' 0.21', '-0.10', '-0.26'], Position: [' 0.08', '-0.09', '-0.07'] 
Timestamp: 1656014046.2129564, Acceleration: [' 0.36', '-0.48', ' 7.12'], Velocity: [' 0.21', '-0.10', '-0.29'], Position: [' 0.08', '-0.09', '-0.08'] 
Timestamp: 1656014046.2218683, Acceleration: [' 0.53', '-0.59', ' 7.21'], Velocity: [' 0.22', '-0.11', '-0.31'], Position: [' 0.08', '-0.09', '-0.08'] 
Timestamp: 1656014046.232736, Acceleration: [' 0.58', '-0.60', ' 8.25'], Velocity: [' 0.22', '-0.12', '-0.33'], Position: [' 0.08', '-0.10', '-0.08'] 
Timestamp: 1656014046.2429912, Acceleration: [' 0.69', '-0.46', ' 9.42'], Velocity: [' 0.23', '-0.12', '-0.33'], Position: [' 0.08', '-0.10', '-0.09'] 
Timestamp: 1656014046.2518983, Acceleration: [' 0.58', '-0.30', ' 9.59'], Velocity: [' 0.23', '-0.12', '-0.33'], Position: [' 0.09', '-0.10', '-0.09'] 
Timestamp: 1656014046.2631261, Acceleration: [' 1.33', '-0.12', '10.15'], Velocity: [' 0.25', '-0.12', '-0.33'], Position: [' 0.09', '-0.10', '-0.09'] 
Timestamp: 1656014046.2718945, Acceleration: [' 1.60', '-0.04', '10.27'], Velocity: [' 0.26', '-0.12', '-0.33'], Position: [' 0.09', '-0.10', '-0.10'] 
Timestamp: 1656014046.282877, Acceleration: [' 1.69', '-0.14', ' 8.41'], Velocity: [' 0.28', '-0.13', '-0.34'], Position: [' 0.10', '-0.10', '-0.10'] 
Timestamp: 1656014046.2919717, Acceleration: [' 1.65', '-0.20', ' 8.33'], Velocity: [' 0.30', '-0.13', '-0.36'], Position: [' 0.10', '-0.10', '-0.10'] 
Timestamp: 1656014046.3019168, Acceleration: [' 0.31', '-0.49', ' 6.89'], Velocity: [' 0.30', '-0.13', '-0.38'], Position: [' 0.10', '-0.10', '-0.11'] 
Timestamp: 1656014046.3119574, Acceleration: [' 0.50', '-0.56', ' 7.88'], Velocity: [' 0.31', '-0.14', '-0.40'], Position: [' 0.10', '-0.11', '-0.11'] 
Timestamp: 1656014046.324144, Acceleration: ['-0.35', '-0.48', ' 8.32'], Velocity: [' 0.30', '-0.14', '-0.42'], Position: [' 0.11', '-0.11', '-0.12'] 
Timestamp: 1656014046.3328383, Acceleration: [' 0.36', '-0.35', ' 9.32'], Velocity: [' 0.30', '-0.15', '-0.43'], Position: [' 0.11', '-0.11', '-0.12'] 
Timestamp: 1656014046.3419228, Acceleration: [' 0.28', '-0.36', ' 8.99'], Velocity: [' 0.31', '-0.15', '-0.43'], Position: [' 0.11', '-0.11', '-0.12'] 
Timestamp: 1656014046.3519895, Acceleration: [' 1.12', '-0.17', ' 9.60'], Velocity: [' 0.32', '-0.15', '-0.44'], Position: [' 0.12', '-0.11', '-0.13'] 
Timestamp: 1656014046.361994, Acceleration: [' 0.89', '-0.11', ' 9.13'], Velocity: [' 0.33', '-0.15', '-0.44'], Position: [' 0.12', '-0.11', '-0.13'] 
Timestamp: 1656014046.3729424, Acceleration: [' 0.65', '-0.42', ' 8.38'], Velocity: [' 0.33', '-0.16', '-0.46'], Position: [' 0.12', '-0.12', '-0.14'] 
Timestamp: 1656014046.3848808, Acceleration: [' 0.95', '-0.28', ' 7.70'], Velocity: [' 0.35', '-0.16', '-0.48'], Position: [' 0.13', '-0.12', '-0.14'] 
Timestamp: 1656014046.3918967, Acceleration: [' 0.46', '-0.65', ' 7.29'], Velocity: [' 0.35', '-0.17', '-0.50'], Position: [' 0.13', '-0.12', '-0.15'] 
Timestamp: 1656014046.4019136, Acceleration: ['-0.17', '-0.56', ' 8.21'], Velocity: [' 0.35', '-0.17', '-0.52'], Position: [' 0.13', '-0.12', '-0.15'] 
Timestamp: 1656014046.4129546, Acceleration: [' 0.24', '-0.33', ' 8.67'], Velocity: [' 0.35', '-0.17', '-0.53'], Position: [' 0.14', '-0.12', '-0.16'] 
Timestamp: 1656014046.4223938, Acceleration: [' 0.60', '-0.15', ' 9.27'], Velocity: [' 0.35', '-0.18', '-0.53'], Position: [' 0.14', '-0.12', '-0.16'] 
Timestamp: 1656014046.4319427, Acceleration: [' 1.28', '-0.19', ' 8.97'], Velocity: [' 0.37', '-0.18', '-0.54'], Position: [' 0.14', '-0.13', '-0.17'] 
Timestamp: 1656014046.4418602, Acceleration: [' 1.01', '-0.37', ' 9.51'], Velocity: [' 0.38', '-0.18', '-0.55'], Position: [' 0.15', '-0.13', '-0.17'] 
Timestamp: 1656014046.4538991, Acceleration: [' 0.02', '-0.35', ' 7.26'], Velocity: [' 0.38', '-0.19', '-0.58'], Position: [' 0.15', '-0.13', '-0.18'] 
Timestamp: 1656014046.4618876, Acceleration: [' 0.19', '-0.39', ' 8.52'], Velocity: [' 0.38', '-0.19', '-0.59'], Position: [' 0.16', '-0.13', '-0.19'] 
Timestamp: 1656014046.4718282, Acceleration: [' 0.45', '-0.36', ' 7.48'], Velocity: [' 0.38', '-0.19', '-0.61'], Position: [' 0.16', '-0.13', '-0.19'] 
Timestamp: 1656014046.4830902, Acceleration: [' 0.41', '-0.45', ' 7.85'], Velocity: [' 0.39', '-0.20', '-0.63'], Position: [' 0.16', '-0.14', '-0.20'] 
Timestamp: 1656014046.4930196, Acceleration: [' 0.06', '-0.29', ' 8.94'], Velocity: [' 0.39', '-0.20', '-0.64'], Position: [' 0.17', '-0.14', '-0.21'] 
Timestamp: 1656014046.5075686, Acceleration: [' 0.95', '-0.04', ' 9.58'], Velocity: [' 0.40', '-0.20', '-0.64'], Position: [' 0.17', '-0.14', '-0.22'] 
Timestamp: 1656014046.5150785, Acceleration: [' 0.92', '-0.32', ' 7.92'], Velocity: [' 0.41', '-0.20', '-0.66'], Position: [' 0.18', '-0.14', '-0.22'] 
Timestamp: 1656014046.522347, Acceleration: [' 0.84', '-0.00', ' 8.86'], Velocity: [' 0.42', '-0.20', '-0.67'], Position: [' 0.18', '-0.14', '-0.22'] 
Timestamp: 1656014046.531903, Acceleration: [' 1.24', '-0.30', ' 8.02'], Velocity: [' 0.43', '-0.21', '-0.68'], Position: [' 0.18', '-0.15', '-0.23'] 
