Timestamp: 1656014653.5234158, Acceleration: ['-2.13', ' 0.62', ' 9.96'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.12', ' 0.13', ' 0.02'] 
Timestamp: 1656014653.533681, Acceleration: ['-2.02', ' 0.28', ' 8.37'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.12', ' 0.13', ' 0.02'] 
Timestamp: 1656014653.5438664, Acceleration: ['-3.58', ' 0.12', ' 9.46'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.12', ' 0.13', ' 0.02'] 
Timestamp: 1656014653.553567, Acceleration: ['-3.28', ' 0.15', ' 8.93'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.12', ' 0.13', ' 0.02'] 
Timestamp: 1656014653.5646055, Acceleration: ['-3.47', ' 0.39', '11.35'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.12', ' 0.13', ' 0.02'] 
Timestamp: 1656014653.573454, Acceleration: ['-2.99', ' 0.80', '10.49'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.12', ' 0.13', ' 0.02'] 
Timestamp: 1656014653.5864692, Acceleration: ['-2.13', ' 0.26', ' 9.10'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.12', ' 0.13', ' 0.02'] 
Timestamp: 1656014653.5933552, Acceleration: ['-1.84', ' 0.55', ' 9.60'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.12', ' 0.13', ' 0.02'] 
Timestamp: 1656014653.6034324, Acceleration: ['-1.63', ' 0.39', ' 9.76'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.12', ' 0.13', ' 0.02'] 
Timestamp: 1656014653.6143398, Acceleration: ['-2.30', ' 0.50', ' 9.72'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.13', ' 0.13', ' 0.02'] 
Timestamp: 1656014653.6237485, Acceleration: ['-2.12', ' 0.33', ' 9.01'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.13', ' 0.13', ' 0.02'] 
Timestamp: 1656014653.633281, Acceleration: ['-2.58', ' 0.31', ' 9.74'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.13', ' 0.13', ' 0.02'] 
Timestamp: 1656014653.6436079, Acceleration: ['-2.91', ' 0.12', ' 8.81'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.13', ' 0.13', ' 0.02'] 
Timestamp: 1656014653.6532605, Acceleration: ['-2.95', ' 0.44', '10.86'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.13', ' 0.13', ' 0.02'] 
Timestamp: 1656014653.6643834, Acceleration: ['-2.97', ' 0.54', '10.46'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.13', ' 0.13', ' 0.02'] 
Timestamp: 1656014653.6733284, Acceleration: ['-2.14', ' 0.82', '11.74'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.13', ' 0.13', ' 0.02'] 
Timestamp: 1656014653.6836638, Acceleration: ['-1.69', ' 0.73', ' 9.65'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.13', ' 0.13', ' 0.02'] 
Timestamp: 1656014653.6932943, Acceleration: ['-1.13', ' 0.36', ' 9.57'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.13', ' 0.13', ' 0.02'] 
Timestamp: 1656014653.7033126, Acceleration: ['-1.98', ' 0.22', ' 8.90'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.13', ' 0.13', ' 0.02'] 
Timestamp: 1656014653.71323, Acceleration: ['-2.30', ' 0.21', ' 9.23'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.13', ' 0.13', ' 0.02'] 
Timestamp: 1656014653.7232945, Acceleration: ['-3.07', ' 0.28', '10.11'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.13', ' 0.13', ' 0.02'] 
Timestamp: 1656014653.7332678, Acceleration: ['-2.59', ' 0.18', ' 9.49'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.13', ' 0.13', ' 0.02'] 
Timestamp: 1656014653.7432473, Acceleration: ['-2.65', ' 0.40', '10.82'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.13', ' 0.13', ' 0.02'] 
Timestamp: 1656014653.7536404, Acceleration: ['-1.72', ' 0.52', ' 9.99'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.13', ' 0.13', ' 0.02'] 
