Timestamp: 1656015150.6469762, Acceleration: ['-0.11', ' 0.62', '27.18'], Velocity: ['-0.02', ' 0.13', ' 3.73'], Position: ['-0.01', ' 0.04', ' 1.20'] 
Timestamp: 1656015150.6543765, Acceleration: ['-0.19', ' 0.75', '27.34'], Velocity: ['-0.02', ' 0.14', ' 3.85'], Position: ['-0.01', ' 0.04', ' 1.23'] 
Timestamp: 1656015150.6608653, Acceleration: [' 0.02', ' 0.74', '27.45'], Velocity: ['-0.02', ' 0.14', ' 3.97'], Position: ['-0.01', ' 0.05', ' 1.25'] 
Timestamp: 1656015150.6725476, Acceleration: ['-0.18', ' 0.61', '27.12'], Velocity: ['-0.03', ' 0.15', ' 4.17'], Position: ['-0.01', ' 0.05', ' 1.30'] 
Timestamp: 1656015150.6808748, Acceleration: ['-0.11', ' 0.72', '27.63'], Velocity: ['-0.03', ' 0.16', ' 4.32'], Position: ['-0.01', ' 0.05', ' 1.34'] 
Timestamp: 1656015150.6916263, Acceleration: ['-0.01', ' 0.94', '28.00'], Velocity: ['-0.03', ' 0.17', ' 4.52'], Position: ['-0.01', ' 0.05', ' 1.39'] 
Timestamp: 1656015150.7010903, Acceleration: ['-0.17', ' 1.03', '27.23'], Velocity: ['-0.03', ' 0.18', ' 4.68'], Position: ['-0.01', ' 0.05', ' 1.43'] 
Timestamp: 1656015150.7105372, Acceleration: ['-0.22', ' 0.75', '27.14'], Velocity: ['-0.03', ' 0.18', ' 4.84'], Position: ['-0.01', ' 0.05', ' 1.48'] 
Timestamp: 1656015150.7211022, Acceleration: ['-0.05', ' 1.02', '26.95'], Velocity: ['-0.03', ' 0.19', ' 5.03'], Position: ['-0.01', ' 0.06', ' 1.54'] 
Timestamp: 1656015150.7306607, Acceleration: ['-0.08', ' 0.37', '26.87'], Velocity: ['-0.03', ' 0.20', ' 5.19'], Position: ['-0.01', ' 0.06', ' 1.59'] 
Timestamp: 1656015150.7412822, Acceleration: ['-0.06', ' 0.22', '27.13'], Velocity: ['-0.03', ' 0.20', ' 5.37'], Position: ['-0.01', ' 0.06', ' 1.64'] 
Timestamp: 1656015150.750751, Acceleration: ['-0.01', ' 1.00', '27.13'], Velocity: ['-0.03', ' 0.21', ' 5.54'], Position: ['-0.01', ' 0.06', ' 1.70'] 
Timestamp: 1656015150.7608879, Acceleration: ['-0.17', ' 1.04', '28.14'], Velocity: ['-0.04', ' 0.22', ' 5.72'], Position: ['-0.01', ' 0.06', ' 1.76'] 
Timestamp: 1656015150.7710743, Acceleration: ['-0.08', ' 0.84', '27.50'], Velocity: ['-0.04', ' 0.23', ' 5.90'], Position: ['-0.01', ' 0.07', ' 1.82'] 
Timestamp: 1656015150.7811675, Acceleration: ['-0.11', ' 0.77', '27.49'], Velocity: ['-0.04', ' 0.24', ' 6.08'], Position: ['-0.01', ' 0.07', ' 1.88'] 
Timestamp: 1656015150.792002, Acceleration: ['-0.22', ' 0.85', '27.19'], Velocity: ['-0.04', ' 0.25', ' 6.27'], Position: ['-0.01', ' 0.07', ' 1.95'] 
Timestamp: 1656015150.8008313, Acceleration: ['-0.05', ' 1.01', '27.39'], Velocity: ['-0.04', ' 0.26', ' 6.42'], Position: ['-0.01', ' 0.07', ' 2.01'] 
Timestamp: 1656015150.8115437, Acceleration: ['-0.08', ' 0.83', '28.12'], Velocity: ['-0.04', ' 0.26', ' 6.62'], Position: ['-0.01', ' 0.08', ' 2.08'] 
Timestamp: 1656015150.8218346, Acceleration: [' 0.11', ' 0.92', '27.95'], Velocity: ['-0.04', ' 0.27', ' 6.81'], Position: ['-0.01', ' 0.08', ' 2.15'] 
Timestamp: 1656015150.8308074, Acceleration: [' 0.00', ' 0.32', '27.09'], Velocity: ['-0.04', ' 0.28', ' 6.96'], Position: ['-0.01', ' 0.08', ' 2.21'] 
Timestamp: 1656015150.8403556, Acceleration: ['-0.02', ' 0.15', '26.97'], Velocity: ['-0.04', ' 0.28', ' 7.13'], Position: ['-0.01', ' 0.08', ' 2.28'] 
Timestamp: 1656015150.8508337, Acceleration: ['-0.16', ' 0.39', '28.14'], Velocity: ['-0.04', ' 0.28', ' 7.32'], Position: ['-0.01', ' 0.09', ' 2.36'] 
Timestamp: 1656015150.8606238, Acceleration: ['-0.20', ' 0.97', '27.82'], Velocity: ['-0.04', ' 0.29', ' 7.49'], Position: ['-0.02', ' 0.09', ' 2.43'] 
Timestamp: 1656015150.8703613, Acceleration: [' 0.01', ' 0.61', '27.79'], Velocity: ['-0.04', ' 0.30', ' 7.67'], Position: ['-0.02', ' 0.09', ' 2.51'] 
Timestamp: 1656015150.8806667, Acceleration: ['-0.09', ' 0.85', '27.66'], Velocity: ['-0.04', ' 0.31', ' 7.85'], Position: ['-0.02', ' 0.10', ' 2.59'] 
Timestamp: 1656015150.8907156, Acceleration: [' 0.04', ' 0.81', '27.89'], Velocity: ['-0.04', ' 0.31', ' 8.04'], Position: ['-0.02', ' 0.10', ' 2.67'] 
Timestamp: 1656015150.9007232, Acceleration: ['-0.04', ' 0.55', '27.89'], Velocity: ['-0.04', ' 0.32', ' 8.22'], Position: ['-0.02', ' 0.10', ' 2.75'] 
Timestamp: 1656015150.9105608, Acceleration: ['-0.01', ' 0.85', '27.15'], Velocity: ['-0.04', ' 0.33', ' 8.39'], Position: ['-0.02', ' 0.11', ' 2.84'] 
Timestamp: 1656015150.9213257, Acceleration: [' 0.02', ' 0.20', '27.06'], Velocity: ['-0.04', ' 0.33', ' 8.57'], Position: ['-0.02', ' 0.11', ' 2.93'] 
Timestamp: 1656015150.9305434, Acceleration: [' 0.01', ' 0.95', '28.06'], Velocity: ['-0.04', ' 0.34', ' 8.74'], Position: ['-0.02', ' 0.11', ' 3.01'] 
Timestamp: 1656015150.9405885, Acceleration: ['-0.03', ' 0.46', '27.38'], Velocity: ['-0.04', ' 0.34', ' 8.92'], Position: ['-0.02', ' 0.12', ' 3.10'] 
Timestamp: 1656015150.950855, Acceleration: ['-0.08', ' 1.01', '27.92'], Velocity: ['-0.05', ' 0.35', ' 9.10'], Position: ['-0.02', ' 0.12', ' 3.20'] 
Timestamp: 1656015150.9603753, Acceleration: ['-0.18', ' 0.66', '27.54'], Velocity: ['-0.05', ' 0.36', ' 9.27'], Position: ['-0.02', ' 0.12', ' 3.29'] 
Timestamp: 1656015150.970768, Acceleration: ['-0.06', ' 0.94', '27.47'], Velocity: ['-0.05', ' 0.37', ' 9.46'], Position: ['-0.02', ' 0.13', ' 3.39'] 
Timestamp: 1656015150.9807374, Acceleration: [' 0.03', ' 0.77', '27.78'], Velocity: ['-0.05', ' 0.38', ' 9.63'], Position: ['-0.02', ' 0.13', ' 3.48'] 
Timestamp: 1656015150.9905071, Acceleration: [' 0.05', ' 0.67', '27.28'], Velocity: ['-0.05', ' 0.38', ' 9.81'], Position: ['-0.02', ' 0.14', ' 3.58'] 
Timestamp: 1656015151.0003574, Acceleration: ['-0.02', ' 0.77', '28.07'], Velocity: ['-0.05', ' 0.39', ' 9.99'], Position: ['-0.02', ' 0.14', ' 3.68'] 
Timestamp: 1656015151.0106578, Acceleration: ['-0.11', ' 0.35', '27.11'], Velocity: ['-0.05', ' 0.40', '10.16'], Position: ['-0.02', ' 0.14', ' 3.78'] 
Timestamp: 1656015151.0214503, Acceleration: ['-0.01', ' 0.97', '28.11'], Velocity: ['-0.05', ' 0.41', '10.36'], Position: ['-0.02', ' 0.15', ' 3.90'] 
Timestamp: 1656015151.030616, Acceleration: ['-0.13', ' 0.44', '27.13'], Velocity: ['-0.05', ' 0.41', '10.52'], Position: ['-0.02', ' 0.15', ' 3.99'] 
Timestamp: 1656015151.0408213, Acceleration: ['-0.00', ' 1.24', '27.99'], Velocity: ['-0.05', ' 0.42', '10.71'], Position: ['-0.02', ' 0.16', ' 4.10'] 
Timestamp: 1656015151.0509741, Acceleration: ['-0.08', ' 0.66', '27.47'], Velocity: ['-0.05', ' 0.43', '10.88'], Position: ['-0.02', ' 0.16', ' 4.22'] 
Timestamp: 1656015151.0605197, Acceleration: ['-0.07', ' 1.07', '27.73'], Velocity: ['-0.05', ' 0.44', '11.06'], Position: ['-0.02', ' 0.16', ' 4.32'] 
Timestamp: 1656015151.0719726, Acceleration: ['-0.22', ' 0.60', '27.64'], Velocity: ['-0.05', ' 0.45', '11.26'], Position: ['-0.03', ' 0.17', ' 4.45'] 
Timestamp: 1656015151.080614, Acceleration: ['-0.03', ' 0.72', '27.27'], Velocity: ['-0.05', ' 0.45', '11.41'], Position: ['-0.03', ' 0.17', ' 4.55'] 
Timestamp: 1656015151.091092, Acceleration: [' 0.01', ' 0.70', '28.17'], Velocity: ['-0.05', ' 0.46', '11.60'], Position: ['-0.03', ' 0.18', ' 4.67'] 
Timestamp: 1656015151.1004088, Acceleration: ['-0.03', ' 0.40', '27.15'], Velocity: ['-0.05', ' 0.46', '11.76'], Position: ['-0.03', ' 0.18', ' 4.78'] 
Timestamp: 1656015151.1110768, Acceleration: ['-0.04', ' 1.03', '28.26'], Velocity: ['-0.05', ' 0.47', '11.96'], Position: ['-0.03', ' 0.19', ' 4.91'] 
Timestamp: 1656015151.122052, Acceleration: ['-0.13', ' 0.44', '27.09'], Velocity: ['-0.06', ' 0.48', '12.15'], Position: ['-0.03', ' 0.19', ' 5.05'] 
Timestamp: 1656015151.1307588, Acceleration: [' 0.05', ' 1.12', '27.94'], Velocity: ['-0.06', ' 0.49', '12.31'], Position: ['-0.03', ' 0.20', ' 5.16'] 
Timestamp: 1656015151.1407416, Acceleration: ['-0.08', ' 0.49', '27.28'], Velocity: ['-0.06', ' 0.49', '12.48'], Position: ['-0.03', ' 0.20', ' 5.28'] 
Timestamp: 1656015151.1506188, Acceleration: ['-0.07', ' 1.07', '27.69'], Velocity: ['-0.06', ' 0.50', '12.66'], Position: ['-0.03', ' 0.21', ' 5.41'] 
Timestamp: 1656015151.160557, Acceleration: ['-0.03', ' 0.64', '27.52'], Velocity: ['-0.06', ' 0.51', '12.84'], Position: ['-0.03', ' 0.21', ' 5.54'] 
Timestamp: 1656015151.1709614, Acceleration: [' 0.03', ' 0.75', '27.27'], Velocity: ['-0.06', ' 0.52', '13.02'], Position: ['-0.03', ' 0.22', ' 5.67'] 
Timestamp: 1656015151.1804972, Acceleration: [' 0.00', ' 0.77', '27.94'], Velocity: ['-0.06', ' 0.53', '13.19'], Position: ['-0.03', ' 0.22', ' 5.80'] 
Timestamp: 1656015151.1904163, Acceleration: ['-0.04', ' 0.40', '27.10'], Velocity: ['-0.06', ' 0.53', '13.36'], Position: ['-0.03', ' 0.23', ' 5.93'] 
Timestamp: 1656015151.2051938, Acceleration: ['-0.06', ' 0.53', '27.57'], Velocity: ['-0.06', ' 0.54', '13.62'], Position: ['-0.03', ' 0.24', ' 6.14'] 
Timestamp: 1656015151.2119513, Acceleration: ['-0.14', ' 0.58', '27.31'], Velocity: ['-0.06', ' 0.54', '13.74'], Position: ['-0.03', ' 0.24', ' 6.23'] 
Timestamp: 1656015151.220551, Acceleration: ['-0.09', ' 0.97', '28.22'], Velocity: ['-0.06', ' 0.55', '13.90'], Position: ['-0.03', ' 0.24', ' 6.35'] 
Timestamp: 1656015151.2332802, Acceleration: [' 0.10', ' 0.85', '27.56'], Velocity: ['-0.06', ' 0.56', '14.13'], Position: ['-0.03', ' 0.25', ' 6.53'] 
Timestamp: 1656015151.2406714, Acceleration: ['-0.06', ' 1.13', '27.98'], Velocity: ['-0.06', ' 0.57', '14.26'], Position: ['-0.03', ' 0.26', ' 6.64'] 
Timestamp: 1656015151.2511551, Acceleration: [' 0.04', ' 0.88', '27.49'], Velocity: ['-0.06', ' 0.58', '14.45'], Position: ['-0.04', ' 0.26', ' 6.79'] 
Timestamp: 1656015151.2605274, Acceleration: ['-0.06', ' 0.92', '27.60'], Velocity: ['-0.06', ' 0.59', '14.61'], Position: ['-0.04', ' 0.27', ' 6.93'] 
Timestamp: 1656015151.2708144, Acceleration: [' 0.06', ' 0.70', '27.93'], Velocity: ['-0.06', ' 0.59', '14.80'], Position: ['-0.04', ' 0.27', ' 7.08'] 
Timestamp: 1656015151.2805896, Acceleration: [' 0.01', ' 0.52', '27.19'], Velocity: ['-0.06', ' 0.60', '14.97'], Position: ['-0.04', ' 0.28', ' 7.23'] 
Timestamp: 1656015151.2906284, Acceleration: [' 0.04', ' 0.69', '28.06'], Velocity: ['-0.06', ' 0.61', '15.15'], Position: ['-0.04', ' 0.29', ' 7.38'] 
Timestamp: 1656015151.300698, Acceleration: ['-0.19', ' 0.50', '27.21'], Velocity: ['-0.06', ' 0.61', '15.33'], Position: ['-0.04', ' 0.29', ' 7.53'] 
Timestamp: 1656015151.3106568, Acceleration: ['-0.21', ' 0.59', '28.19'], Velocity: ['-0.06', ' 0.62', '15.51'], Position: ['-0.04', ' 0.30', ' 7.69'] 
Timestamp: 1656015151.320599, Acceleration: ['-0.18', ' 0.61', '27.22'], Velocity: ['-0.06', ' 0.62', '15.68'], Position: ['-0.04', ' 0.30', ' 7.85'] 
Timestamp: 1656015151.3308566, Acceleration: ['-0.01', ' 1.10', '27.86'], Velocity: ['-0.06', ' 0.63', '15.87'], Position: ['-0.04', ' 0.31', ' 8.01'] 
Timestamp: 1656015151.3408065, Acceleration: [' 0.13', ' 0.90', '27.27'], Velocity: ['-0.06', ' 0.64', '16.04'], Position: ['-0.04', ' 0.32', ' 8.17'] 
Timestamp: 1656015151.3505306, Acceleration: [' 0.02', ' 0.92', '27.59'], Velocity: ['-0.06', ' 0.65', '16.22'], Position: ['-0.04', ' 0.32', ' 8.33'] 
Timestamp: 1656015151.3604033, Acceleration: ['-0.08', ' 0.57', '27.93'], Velocity: ['-0.06', ' 0.66', '16.39'], Position: ['-0.04', ' 0.33', ' 8.49'] 
Timestamp: 1656015151.3708851, Acceleration: ['-0.09', ' 0.81', '27.39'], Velocity: ['-0.06', ' 0.67', '16.58'], Position: ['-0.04', ' 0.34', ' 8.67'] 
Timestamp: 1656015151.3817313, Acceleration: [' 0.04', ' 0.62', '27.23'], Velocity: ['-0.06', ' 0.67', '16.77'], Position: ['-0.04', ' 0.34', ' 8.85'] 
Timestamp: 1656015151.3905184, Acceleration: ['-0.09', ' 1.10', '26.97'], Velocity: ['-0.06', ' 0.68', '16.92'], Position: ['-0.04', ' 0.35', ' 9.00'] 
Timestamp: 1656015151.400841, Acceleration: ['-0.13', ' 0.61', '28.10'], Velocity: ['-0.07', ' 0.69', '17.11'], Position: ['-0.04', ' 0.36', ' 9.18'] 
Timestamp: 1656015151.4110134, Acceleration: ['-0.06', ' 1.10', '28.02'], Velocity: ['-0.07', ' 0.70', '17.29'], Position: ['-0.05', ' 0.37', ' 9.35'] 
Timestamp: 1656015151.4206483, Acceleration: ['-0.09', ' 0.53', '27.99'], Velocity: ['-0.07', ' 0.71', '17.47'], Position: ['-0.05', ' 0.37', ' 9.52'] 
Timestamp: 1656015151.4304898, Acceleration: [' 0.11', ' 0.87', '27.38'], Velocity: ['-0.07', ' 0.71', '17.64'], Position: ['-0.05', ' 0.38', ' 9.70'] 
Timestamp: 1656015151.4409924, Acceleration: [' 0.05', ' 0.53', '27.74'], Velocity: ['-0.07', ' 0.72', '17.83'], Position: ['-0.05', ' 0.39', ' 9.89'] 
Timestamp: 1656015151.4506135, Acceleration: ['-0.14', ' 0.69', '27.87'], Velocity: ['-0.07', ' 0.73', '18.00'], Position: ['-0.05', ' 0.39', '10.06'] 
Timestamp: 1656015151.4627154, Acceleration: ['-0.06', ' 0.74', '28.16'], Velocity: ['-0.07', ' 0.74', '18.23'], Position: ['-0.05', ' 0.40', '10.28'] 
Timestamp: 1656015151.470645, Acceleration: ['-0.15', ' 0.58', '27.14'], Velocity: ['-0.07', ' 0.74', '18.36'], Position: ['-0.05', ' 0.41', '10.43'] 
Timestamp: 1656015151.4838815, Acceleration: [' 0.02', ' 1.20', '27.35'], Velocity: ['-0.07', ' 0.76', '18.59'], Position: ['-0.05', ' 0.42', '10.68'] 
Timestamp: 1656015151.490432, Acceleration: ['-0.11', ' 0.60', '28.17'], Velocity: ['-0.07', ' 0.76', '18.71'], Position: ['-0.05', ' 0.42', '10.80'] 
Timestamp: 1656015151.5006793, Acceleration: ['-0.05', ' 1.13', '27.99'], Velocity: ['-0.07', ' 0.77', '18.90'], Position: ['-0.05', ' 0.43', '10.99'] 
Timestamp: 1656015151.51047, Acceleration: ['-0.13', ' 0.50', '27.26'], Velocity: ['-0.07', ' 0.78', '19.07'], Position: ['-0.05', ' 0.44', '11.18'] 
Timestamp: 1656015151.5205712, Acceleration: [' 0.04', ' 0.95', '27.68'], Velocity: ['-0.07', ' 0.79', '19.25'], Position: ['-0.05', ' 0.45', '11.38'] 
Timestamp: 1656015151.532155, Acceleration: [' 0.01', ' 0.42', '27.70'], Velocity: ['-0.07', ' 0.79', '19.46'], Position: ['-0.05', ' 0.46', '11.60'] 
Timestamp: 1656015151.540424, Acceleration: [' 0.04', ' 0.68', '27.43'], Velocity: ['-0.07', ' 0.80', '19.61'], Position: ['-0.05', ' 0.46', '11.77'] 
Timestamp: 1656015151.5505528, Acceleration: ['-0.11', ' 0.76', '28.15'], Velocity: ['-0.07', ' 0.80', '19.79'], Position: ['-0.05', ' 0.47', '11.97'] 
Timestamp: 1656015151.5621347, Acceleration: ['-0.12', ' 1.04', '28.12'], Velocity: ['-0.07', ' 0.82', '20.00'], Position: ['-0.06', ' 0.48', '12.20'] 
Timestamp: 1656015151.5705805, Acceleration: ['-0.14', ' 1.02', '28.16'], Velocity: ['-0.07', ' 0.82', '20.16'], Position: ['-0.06', ' 0.49', '12.37'] 
Timestamp: 1656015151.5811472, Acceleration: ['-0.09', ' 0.58', '27.01'], Velocity: ['-0.08', ' 0.83', '20.34'], Position: ['-0.06', ' 0.50', '12.59'] 
Timestamp: 1656015151.590432, Acceleration: [' 0.03', ' 1.11', '28.00'], Velocity: ['-0.07', ' 0.84', '20.51'], Position: ['-0.06', ' 0.50', '12.78'] 
Timestamp: 1656015151.600602, Acceleration: ['-0.17', ' 0.49', '27.23'], Velocity: ['-0.08', ' 0.85', '20.69'], Position: ['-0.06', ' 0.51', '12.99'] 
Timestamp: 1656015151.6108665, Acceleration: ['-0.03', ' 0.98', '27.74'], Velocity: ['-0.08', ' 0.86', '20.87'], Position: ['-0.06', ' 0.52', '13.20'] 
Timestamp: 1656015151.6204002, Acceleration: ['-0.02', ' 0.47', '27.64'], Velocity: ['-0.08', ' 0.86', '21.04'], Position: ['-0.06', ' 0.53', '13.41'] 
Timestamp: 1656015151.632376, Acceleration: [' 0.01', ' 0.70', '27.91'], Velocity: ['-0.08', ' 0.87', '21.26'], Position: ['-0.06', ' 0.54', '13.66'] 
Timestamp: 1656015151.6404514, Acceleration: ['-0.11', ' 0.69', '27.99'], Velocity: ['-0.08', ' 0.87', '21.40'], Position: ['-0.06', ' 0.55', '13.83'] 
Timestamp: 1656015151.6506975, Acceleration: ['-0.11', ' 0.69', '27.55'], Velocity: ['-0.08', ' 0.88', '21.59'], Position: ['-0.06', ' 0.56', '14.06'] 
