Timestamp: 1647980695.5219445, Acceleration: ['-0.25', ' 0.01', ' 9.78'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.5319548, Acceleration: ['-0.24', '-0.11', ' 9.72'], Velocity: ['-0.00', '-0.00', '-0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.542252, Acceleration: ['-0.27', '-0.04', ' 9.88'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.5520084, Acceleration: ['-0.33', '-0.05', ' 9.90'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.5619457, Acceleration: ['-0.32', '-0.08', ' 9.96'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.5719566, Acceleration: ['-0.35', ' 0.03', ' 9.88'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.5819535, Acceleration: ['-0.38', ' 0.11', ' 9.96'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.5922513, Acceleration: ['-0.36', ' 0.07', ' 9.85'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.6023545, Acceleration: ['-0.49', ' 0.01', ' 9.78'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.6119535, Acceleration: ['-0.36', '-0.00', ' 9.75'], Velocity: ['-0.00', '-0.00', '-0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.6219683, Acceleration: ['-0.38', ' 0.12', ' 9.85'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.6318133, Acceleration: ['-0.35', ' 0.06', ' 9.89'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.6421456, Acceleration: ['-0.31', ' 0.04', ' 9.90'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.6518567, Acceleration: ['-0.33', '-0.01', ' 9.81'], Velocity: ['-0.00', '-0.00', '-0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.6620502, Acceleration: ['-0.39', '-0.03', ' 9.84'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.6719284, Acceleration: ['-0.37', '-0.04', ' 9.95'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.6820586, Acceleration: ['-0.51', ' 0.05', '10.00'], Velocity: ['-0.01', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.69183, Acceleration: ['-0.39', ' 0.10', ' 9.86'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.701923, Acceleration: ['-0.38', '-0.04', ' 9.80'], Velocity: ['-0.00', '-0.00', '-0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.7119017, Acceleration: ['-0.36', '-0.01', ' 9.73'], Velocity: ['-0.00', '-0.00', '-0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.7219036, Acceleration: ['-0.34', '-0.09', ' 9.95'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.7319171, Acceleration: ['-0.27', '-0.01', ' 9.91'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.741948, Acceleration: ['-0.36', ' 0.11', ' 9.84'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.7518995, Acceleration: ['-0.29', '-0.02', ' 9.75'], Velocity: ['-0.00', '-0.00', '-0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.7618222, Acceleration: ['-0.35', ' 0.02', ' 9.75'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.7718732, Acceleration: ['-0.34', ' 0.03', ' 9.88'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.782015, Acceleration: ['-0.34', ' 0.09', ' 9.96'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.791874, Acceleration: ['-0.30', ' 0.07', ' 9.93'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.8034468, Acceleration: ['-0.31', ' 0.00', ' 9.89'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.812077, Acceleration: ['-0.31', '-0.01', ' 9.82'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.8224232, Acceleration: ['-0.27', ' 0.01', ' 9.93'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.8319488, Acceleration: ['-0.33', ' 0.03', ' 9.95'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.842204, Acceleration: ['-0.33', ' 0.04', ' 9.86'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.851859, Acceleration: ['-0.30', '-0.04', ' 9.80'], Velocity: ['-0.00', '-0.00', '-0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.8619382, Acceleration: ['-0.35', '-0.02', ' 9.80'], Velocity: ['-0.00', '-0.00', '-0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.8720248, Acceleration: ['-0.30', ' 0.01', ' 9.89'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.8819757, Acceleration: ['-0.34', ' 0.07', ' 9.78'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.8919516, Acceleration: ['-0.26', '-0.00', ' 9.90'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.9019387, Acceleration: ['-0.28', ' 0.06', ' 9.72'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.9119647, Acceleration: ['-0.27', '-0.03', ' 9.81'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
