Timestamp: 1656014750.430816, Acceleration: ['-1.19', ' 4.54', '11.15'], Velocity: ['-0.26', ' 0.98', ' 0.29'], Position: ['-0.08', ' 0.32', ' 0.09'] 
Timestamp: 1656014750.4379723, Acceleration: ['-1.00', ' 4.44', '11.50'], Velocity: ['-0.26', ' 1.01', ' 0.30'], Position: ['-0.08', ' 0.32', ' 0.10'] 
Timestamp: 1656014750.444079, Acceleration: ['-3.48', ' 1.17', ' 9.54'], Velocity: ['-0.28', ' 1.02', ' 0.30'], Position: ['-0.09', ' 0.33', ' 0.10'] 
Timestamp: 1656014750.454456, Acceleration: ['-3.20', ' 2.05', '11.61'], Velocity: ['-0.32', ' 1.04', ' 0.32'], Position: ['-0.09', ' 0.34', ' 0.10'] 
Timestamp: 1656014750.4651825, Acceleration: ['-1.85', ' 2.69', '10.91'], Velocity: ['-0.34', ' 1.07', ' 0.33'], Position: ['-0.09', ' 0.35', ' 0.10'] 
Timestamp: 1656014750.4744074, Acceleration: ['-2.17', ' 2.38', '10.90'], Velocity: ['-0.36', ' 1.09', ' 0.34'], Position: ['-0.10', ' 0.36', ' 0.11'] 
Timestamp: 1656014750.4846842, Acceleration: ['-2.21', ' 2.00', '10.31'], Velocity: ['-0.38', ' 1.11', ' 0.35'], Position: ['-0.10', ' 0.37', ' 0.11'] 
Timestamp: 1656014750.494741, Acceleration: ['-2.08', ' 1.74', '10.22'], Velocity: ['-0.40', ' 1.13', ' 0.35'], Position: ['-0.10', ' 0.38', ' 0.11'] 
Timestamp: 1656014750.5049553, Acceleration: ['-2.39', ' 1.29', '10.26'], Velocity: ['-0.42', ' 1.14', ' 0.35'], Position: ['-0.11', ' 0.40', ' 0.12'] 
Timestamp: 1656014750.5145843, Acceleration: ['-2.10', ' 0.97', ' 8.61'], Velocity: ['-0.45', ' 1.15', ' 0.34'], Position: ['-0.11', ' 0.41', ' 0.12'] 
Timestamp: 1656014750.524305, Acceleration: ['-2.74', ' 0.84', ' 9.42'], Velocity: ['-0.47', ' 1.16', ' 0.34'], Position: ['-0.12', ' 0.42', ' 0.12'] 
Timestamp: 1656014750.534569, Acceleration: ['-3.41', ' 0.66', ' 8.94'], Velocity: ['-0.51', ' 1.16', ' 0.33'], Position: ['-0.12', ' 0.43', ' 0.13'] 
Timestamp: 1656014750.544317, Acceleration: ['-3.64', ' 1.30', '11.72'], Velocity: ['-0.54', ' 1.18', ' 0.35'], Position: ['-0.13', ' 0.44', ' 0.13'] 
Timestamp: 1656014750.5541584, Acceleration: ['-3.39', ' 1.28', '10.89'], Velocity: ['-0.58', ' 1.19', ' 0.36'], Position: ['-0.14', ' 0.45', ' 0.14'] 
Timestamp: 1656014750.5660641, Acceleration: ['-1.40', ' 1.20', ' 9.62'], Velocity: ['-0.59', ' 1.20', ' 0.36'], Position: ['-0.14', ' 0.47', ' 0.14'] 
Timestamp: 1656014750.574405, Acceleration: ['-1.98', ' 1.32', '10.00'], Velocity: ['-0.61', ' 1.21', ' 0.36'], Position: ['-0.15', ' 0.48', ' 0.14'] 
Timestamp: 1656014750.5841672, Acceleration: ['-1.78', ' 1.02', ' 9.88'], Velocity: ['-0.63', ' 1.22', ' 0.36'], Position: ['-0.15', ' 0.49', ' 0.15'] 
Timestamp: 1656014750.5968442, Acceleration: ['-2.50', ' 0.88', ' 9.68'], Velocity: ['-0.66', ' 1.24', ' 0.36'], Position: ['-0.16', ' 0.51', ' 0.15'] 
Timestamp: 1656014750.6046019, Acceleration: ['-2.79', ' 0.88', '10.20'], Velocity: ['-0.68', ' 1.24', ' 0.36'], Position: ['-0.17', ' 0.52', ' 0.15'] 
Timestamp: 1656014750.6141648, Acceleration: ['-2.97', ' 0.63', ' 9.96'], Velocity: ['-0.71', ' 1.25', ' 0.36'], Position: ['-0.17', ' 0.53', ' 0.16'] 
