Timestamp: 1656014515.1800797, Acceleration: [' 0.51', '-0.90', '-10.12'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.12', '-0.01', '-1.47'] 
Timestamp: 1656014515.1910753, Acceleration: [' 0.21', '-0.69', '-8.62'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.12', '-0.01', '-1.48'] 
Timestamp: 1656014515.2001746, Acceleration: [' 1.06', '-0.79', '-8.75'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.12', '-0.01', '-1.48'] 
Timestamp: 1656014515.2099185, Acceleration: [' 1.20', '-1.02', '-9.14'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.12', '-0.01', '-1.48'] 
Timestamp: 1656014515.219954, Acceleration: [' 1.21', '-0.85', '-8.78'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.12', '-0.01', '-1.49'] 
Timestamp: 1656014515.2327187, Acceleration: [' 1.44', '-1.41', '-11.31'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.12', '-0.01', '-1.49'] 
Timestamp: 1656014515.2400064, Acceleration: [' 0.59', '-1.15', '-11.42'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.12', '-0.01', '-1.49'] 
Timestamp: 1656014515.2499702, Acceleration: [' 0.52', '-1.32', '-11.29'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.12', '-0.01', '-1.50'] 
Timestamp: 1656014515.2630053, Acceleration: [' 1.08', '-0.76', '-8.42'], Velocity: [' 0.01', '-0.01', '-0.24'], Position: [' 0.12', '-0.01', '-1.50'] 
Timestamp: 1656014515.2698548, Acceleration: [' 0.38', '-0.93', '-9.99'], Velocity: [' 0.02', '-0.02', '-0.37'], Position: [' 0.12', '-0.01', '-1.50'] 
Timestamp: 1656014515.280339, Acceleration: [' 0.26', '-0.55', '-8.77'], Velocity: [' 0.02', '-0.02', '-0.57'], Position: [' 0.12', '-0.01', '-1.51'] 
Timestamp: 1656014515.2898083, Acceleration: [' 1.14', '-0.83', '-8.82'], Velocity: [' 0.03', '-0.03', '-0.74'], Position: [' 0.12', '-0.01', '-1.52'] 
Timestamp: 1656014515.3003569, Acceleration: [' 1.16', '-0.77', '-9.03'], Velocity: [' 0.04', '-0.04', '-0.94'], Position: [' 0.12', '-0.01', '-1.53'] 
Timestamp: 1656014515.3098166, Acceleration: [' 1.02', '-0.96', '-10.09'], Velocity: [' 0.05', '-0.05', '-1.13'], Position: [' 0.12', '-0.01', '-1.54'] 
Timestamp: 1656014515.320239, Acceleration: [' 1.10', '-0.85', '-9.20'], Velocity: [' 0.06', '-0.06', '-1.33'], Position: [' 0.12', '-0.01', '-1.56'] 
Timestamp: 1656014515.3300002, Acceleration: [' 0.57', '-1.09', '-10.92'], Velocity: [' 0.07', '-0.07', '-1.53'], Position: [' 0.12', '-0.01', '-1.57'] 
Timestamp: 1656014515.3401566, Acceleration: [' 0.70', '-1.21', '-9.97'], Velocity: [' 0.08', '-0.08', '-1.73'], Position: [' 0.12', '-0.01', '-1.59'] 
Timestamp: 1656014515.349873, Acceleration: ['-0.36', '-0.92', '-10.52'], Velocity: [' 0.07', '-0.09', '-1.93'], Position: [' 0.12', '-0.01', '-1.61'] 
Timestamp: 1656014515.3602538, Acceleration: [' 0.15', '-0.85', '-8.83'], Velocity: [' 0.07', '-0.10', '-2.12'], Position: [' 0.12', '-0.01', '-1.63'] 
Timestamp: 1656014515.3729086, Acceleration: [' 1.33', '-1.05', '-10.47'], Velocity: [' 0.09', '-0.11', '-2.38'], Position: [' 0.12', '-0.01', '-1.66'] 
Timestamp: 1656014515.3800232, Acceleration: [' 1.11', '-0.72', '-8.91'], Velocity: [' 0.10', '-0.12', '-2.51'], Position: [' 0.13', '-0.02', '-1.68'] 
Timestamp: 1656014515.3902745, Acceleration: [' 1.23', '-0.83', '-9.18'], Velocity: [' 0.11', '-0.12', '-2.71'], Position: [' 0.13', '-0.02', '-1.71'] 
Timestamp: 1656014515.4012673, Acceleration: [' 1.20', '-1.03', '-10.55'], Velocity: [' 0.12', '-0.13', '-2.93'], Position: [' 0.13', '-0.02', '-1.75'] 
Timestamp: 1656014515.4099429, Acceleration: [' 1.05', '-1.00', '-9.66'], Velocity: [' 0.13', '-0.14', '-3.10'], Position: [' 0.13', '-0.02', '-1.77'] 
Timestamp: 1656014515.4201086, Acceleration: [' 0.30', '-0.96', '-10.75'], Velocity: [' 0.14', '-0.15', '-3.31'], Position: [' 0.13', '-0.02', '-1.81'] 
Timestamp: 1656014515.4305325, Acceleration: [' 0.57', '-1.04', '-9.50'], Velocity: [' 0.14', '-0.16', '-3.51'], Position: [' 0.13', '-0.02', '-1.85'] 
