Timestamp: 1656017817.8340957, Acceleration: [' 0.72', '-1.47', ' 8.54'], Velocity: [' 0.15', '-0.32', '-0.27'], Position: [' 0.05', '-0.10', '-0.09'] 
Timestamp: 1656017817.8413339, Acceleration: [' 0.74', '-0.98', ' 9.05'], Velocity: [' 0.16', '-0.32', '-0.28'], Position: [' 0.05', '-0.10', '-0.09'] 
Timestamp: 1656017817.8479893, Acceleration: [' 0.24', '-1.06', ' 9.26'], Velocity: [' 0.16', '-0.33', '-0.28'], Position: [' 0.05', '-0.11', '-0.09'] 
Timestamp: 1656017817.8575537, Acceleration: [' 0.24', '-1.00', ' 9.18'], Velocity: [' 0.16', '-0.34', '-0.29'], Position: [' 0.05', '-0.11', '-0.09'] 
Timestamp: 1656017817.8676395, Acceleration: [' 0.90', '-0.44', ' 9.78'], Velocity: [' 0.17', '-0.34', '-0.29'], Position: [' 0.06', '-0.11', '-0.10'] 
Timestamp: 1656017817.877841, Acceleration: [' 0.85', '-0.35', ' 8.88'], Velocity: [' 0.18', '-0.35', '-0.30'], Position: [' 0.06', '-0.12', '-0.10'] 
Timestamp: 1656017817.88776, Acceleration: [' 0.88', '-0.31', ' 9.45'], Velocity: [' 0.19', '-0.35', '-0.30'], Position: [' 0.06', '-0.12', '-0.10'] 
Timestamp: 1656017817.8978043, Acceleration: [' 0.69', '-0.49', ' 8.33'], Velocity: [' 0.20', '-0.36', '-0.32'], Position: [' 0.06', '-0.12', '-0.11'] 
Timestamp: 1656017817.9077127, Acceleration: [' 0.16', '-0.65', ' 8.38'], Velocity: [' 0.20', '-0.36', '-0.33'], Position: [' 0.06', '-0.13', '-0.11'] 
Timestamp: 1656017817.917678, Acceleration: ['-0.31', '-0.86', ' 8.12'], Velocity: [' 0.20', '-0.37', '-0.35'], Position: [' 0.07', '-0.13', '-0.11'] 
Timestamp: 1656017817.9277008, Acceleration: ['-0.07', '-0.66', ' 9.67'], Velocity: [' 0.20', '-0.38', '-0.35'], Position: [' 0.07', '-0.13', '-0.12'] 
Timestamp: 1656017817.9377708, Acceleration: [' 0.73', '-0.16', '10.09'], Velocity: [' 0.20', '-0.38', '-0.35'], Position: [' 0.07', '-0.14', '-0.12'] 
Timestamp: 1656017817.947835, Acceleration: [' 1.17', '-0.45', ' 9.16'], Velocity: [' 0.21', '-0.38', '-0.35'], Position: [' 0.07', '-0.14', '-0.12'] 
Timestamp: 1656017817.957543, Acceleration: [' 0.93', '-0.51', ' 9.04'], Velocity: [' 0.22', '-0.39', '-0.36'], Position: [' 0.07', '-0.15', '-0.13'] 
Timestamp: 1656017817.9678602, Acceleration: [' 0.30', '-0.68', ' 7.76'], Velocity: [' 0.23', '-0.40', '-0.38'], Position: [' 0.08', '-0.15', '-0.13'] 
Timestamp: 1656017817.9776387, Acceleration: ['-0.25', '-0.61', ' 8.17'], Velocity: [' 0.22', '-0.40', '-0.40'], Position: [' 0.08', '-0.15', '-0.14'] 
Timestamp: 1656017817.9877653, Acceleration: [' 0.18', '-0.55', ' 9.34'], Velocity: [' 0.23', '-0.41', '-0.40'], Position: [' 0.08', '-0.16', '-0.14'] 
Timestamp: 1656017817.9978719, Acceleration: [' 0.22', '-0.42', ' 9.70'], Velocity: [' 0.23', '-0.41', '-0.40'], Position: [' 0.08', '-0.16', '-0.14'] 
Timestamp: 1656017818.0077407, Acceleration: [' 0.58', '-0.57', ' 9.45'], Velocity: [' 0.23', '-0.42', '-0.41'], Position: [' 0.09', '-0.17', '-0.15'] 
Timestamp: 1656017818.0175452, Acceleration: [' 0.30', '-0.42', ' 9.24'], Velocity: [' 0.24', '-0.42', '-0.41'], Position: [' 0.09', '-0.17', '-0.15'] 
Timestamp: 1656017818.0275998, Acceleration: [' 0.83', '-0.30', ' 9.14'], Velocity: [' 0.25', '-0.42', '-0.42'], Position: [' 0.09', '-0.18', '-0.16'] 
Timestamp: 1656017818.03802, Acceleration: [' 0.57', '-0.27', ' 8.84'], Velocity: [' 0.25', '-0.43', '-0.43'], Position: [' 0.09', '-0.18', '-0.16'] 
Timestamp: 1656017818.0475686, Acceleration: [' 1.00', '-0.43', ' 8.65'], Velocity: [' 0.26', '-0.43', '-0.44'], Position: [' 0.10', '-0.18', '-0.16'] 
Timestamp: 1656017818.0580182, Acceleration: ['-0.05', '-0.66', ' 7.72'], Velocity: [' 0.26', '-0.44', '-0.46'], Position: [' 0.10', '-0.19', '-0.17'] 
Timestamp: 1656017818.0676148, Acceleration: [' 0.04', '-0.53', ' 9.00'], Velocity: [' 0.26', '-0.44', '-0.47'], Position: [' 0.10', '-0.19', '-0.17'] 
Timestamp: 1656017818.0786636, Acceleration: ['-0.58', '-0.44', ' 9.48'], Velocity: [' 0.25', '-0.45', '-0.47'], Position: [' 0.10', '-0.20', '-0.18'] 
Timestamp: 1656017818.0880907, Acceleration: [' 0.85', '-0.12', '10.66'], Velocity: [' 0.26', '-0.45', '-0.47'], Position: [' 0.11', '-0.20', '-0.18'] 
Timestamp: 1656017818.0977867, Acceleration: [' 0.62', '-0.38', ' 9.26'], Velocity: [' 0.27', '-0.45', '-0.47'], Position: [' 0.11', '-0.21', '-0.19'] 
Timestamp: 1656017818.107865, Acceleration: [' 1.23', '-0.45', ' 8.84'], Velocity: [' 0.28', '-0.46', '-0.48'], Position: [' 0.11', '-0.21', '-0.19'] 
Timestamp: 1656017818.1188257, Acceleration: [' 0.19', '-0.53', ' 8.30'], Velocity: [' 0.28', '-0.46', '-0.50'], Position: [' 0.11', '-0.22', '-0.20'] 
Timestamp: 1656017818.1280272, Acceleration: [' 0.26', '-0.34', ' 8.82'], Velocity: [' 0.29', '-0.47', '-0.51'], Position: [' 0.12', '-0.22', '-0.20'] 
Timestamp: 1656017818.1378815, Acceleration: ['-0.48', '-0.64', ' 8.59'], Velocity: [' 0.28', '-0.47', '-0.52'], Position: [' 0.12', '-0.22', '-0.21'] 
Timestamp: 1656017818.1478171, Acceleration: [' 0.33', '-0.38', ' 9.82'], Velocity: [' 0.28', '-0.48', '-0.52'], Position: [' 0.12', '-0.23', '-0.21'] 
Timestamp: 1656017818.1575584, Acceleration: ['-0.19', '-0.61', ' 8.95'], Velocity: [' 0.28', '-0.48', '-0.53'], Position: [' 0.13', '-0.23', '-0.22'] 
Timestamp: 1656017818.1678188, Acceleration: [' 0.58', '-0.29', ' 9.94'], Velocity: [' 0.29', '-0.48', '-0.52'], Position: [' 0.13', '-0.24', '-0.22'] 
Timestamp: 1656017818.1782494, Acceleration: [' 0.79', '-0.14', ' 9.84'], Velocity: [' 0.30', '-0.49', '-0.52'], Position: [' 0.13', '-0.24', '-0.23'] 
Timestamp: 1656017818.187546, Acceleration: [' 0.90', '-0.07', ' 9.97'], Velocity: [' 0.30', '-0.49', '-0.52'], Position: [' 0.13', '-0.25', '-0.23'] 
Timestamp: 1656017818.1975992, Acceleration: [' 0.59', '-0.46', ' 8.09'], Velocity: [' 0.31', '-0.49', '-0.54'], Position: [' 0.14', '-0.25', '-0.24'] 
Timestamp: 1656017818.2153187, Acceleration: [' 0.27', '-0.75', ' 7.86'], Velocity: [' 0.32', '-0.50', '-0.57'], Position: [' 0.14', '-0.26', '-0.25'] 
Timestamp: 1656017818.2233033, Acceleration: [' 0.10', '-0.52', ' 9.66'], Velocity: [' 0.32', '-0.51', '-0.58'], Position: [' 0.15', '-0.27', '-0.26'] 
Timestamp: 1656017818.2305596, Acceleration: [' 0.61', '-0.22', '10.91'], Velocity: [' 0.32', '-0.51', '-0.57'], Position: [' 0.15', '-0.27', '-0.26'] 
