Timestamp: 1656015170.6930978, Acceleration: [' 1.01', ' 0.38', '-10.55'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.50'] 
Timestamp: 1656015170.703124, Acceleration: [' 0.45', ' 0.41', '-9.54'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.50'] 
Timestamp: 1656015170.710464, Acceleration: [' 0.82', ' 0.47', '-10.40'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.50'] 
Timestamp: 1656015170.720428, Acceleration: [' 0.47', ' 0.45', '-9.55'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.51'] 
Timestamp: 1656015170.7308388, Acceleration: [' 0.97', ' 0.41', '-10.69'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.51'] 
Timestamp: 1656015170.740628, Acceleration: [' 0.31', ' 0.65', '-9.87'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.51'] 
Timestamp: 1656015170.7505016, Acceleration: [' 1.15', ' 0.57', '-10.82'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.52'] 
Timestamp: 1656015170.7606642, Acceleration: [' 0.52', ' 0.65', '-9.80'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.52'] 
Timestamp: 1656015170.7705917, Acceleration: [' 1.12', ' 0.43', '-10.10'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.52'] 
Timestamp: 1656015170.7806454, Acceleration: [' 0.69', ' 0.56', '-10.24'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.52'] 
Timestamp: 1656015170.7905996, Acceleration: [' 0.96', ' 0.52', '-9.95'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.53'] 
Timestamp: 1656015170.8006687, Acceleration: [' 0.78', ' 0.55', '-10.42'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.53'] 
Timestamp: 1656015170.8116157, Acceleration: [' 0.39', ' 0.53', '-9.74'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.53'] 
Timestamp: 1656015170.8209224, Acceleration: [' 0.92', ' 0.36', '-10.75'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.54'] 
Timestamp: 1656015170.8323073, Acceleration: [' 0.49', ' 0.59', '-9.69'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.54'] 
Timestamp: 1656015170.8404574, Acceleration: [' 1.04', ' 0.48', '-10.87'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.54'] 
Timestamp: 1656015170.8507586, Acceleration: [' 0.37', ' 0.74', '-9.64'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.55'] 
Timestamp: 1656015170.86087, Acceleration: [' 1.05', ' 0.48', '-10.48'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.55'] 
Timestamp: 1656015170.8705213, Acceleration: [' 0.63', ' 0.56', '-9.88'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.55'] 
Timestamp: 1656015170.8809395, Acceleration: [' 1.08', ' 0.26', '-10.12'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.55'] 
Timestamp: 1656015170.8910418, Acceleration: [' 0.59', ' 0.53', '-10.33'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.56'] 
Timestamp: 1656015170.9006054, Acceleration: [' 0.74', ' 0.51', '-9.89'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.56'] 
Timestamp: 1656015170.9106224, Acceleration: [' 0.59', ' 0.41', '-10.39'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.56'] 
Timestamp: 1656015170.9209564, Acceleration: [' 0.88', ' 0.41', '-9.67'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.57'] 
Timestamp: 1656015170.9307566, Acceleration: [' 0.55', ' 0.59', '-10.79'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.01', '-1.57'] 
Timestamp: 1656015170.9406846, Acceleration: [' 0.63', ' 0.53', '-9.72'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.01', '-1.57'] 
Timestamp: 1656015170.9509664, Acceleration: [' 1.30', ' 0.51', '-10.64'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.01', '-1.58'] 
Timestamp: 1656015170.960679, Acceleration: [' 0.49', ' 0.50', '-9.74'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.01', '-1.58'] 
Timestamp: 1656015170.970455, Acceleration: [' 1.08', ' 0.31', '-10.30'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.01', '-1.58'] 
Timestamp: 1656015170.9809933, Acceleration: [' 0.76', ' 0.32', '-9.93'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.01', '-1.58'] 
Timestamp: 1656015170.9914417, Acceleration: [' 0.64', ' 0.53', '-10.61'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.01', '-1.59'] 
Timestamp: 1656015171.0008295, Acceleration: [' 0.56', ' 0.48', '-9.86'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.01', '-1.59'] 
Timestamp: 1656015171.0109534, Acceleration: [' 0.87', ' 0.40', '-10.64'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.01', '-1.59'] 
Timestamp: 1656015171.0207639, Acceleration: [' 0.61', ' 0.39', '-10.53'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.01', '-1.60'] 
Timestamp: 1656015171.0305946, Acceleration: [' 1.07', ' 0.30', '-9.48'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.01', '-1.60'] 
Timestamp: 1656015171.0406368, Acceleration: [' 0.55', ' 0.47', '-10.79'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.01', '-1.60'] 
Timestamp: 1656015171.0505393, Acceleration: [' 0.95', ' 0.32', '-9.69'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.01', '-1.61'] 
Timestamp: 1656015171.0605242, Acceleration: [' 0.32', ' 0.46', '-10.48'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.01', '-1.61'] 
Timestamp: 1656015171.0706005, Acceleration: [' 0.73', ' 0.21', '-9.86'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.01', '-1.61'] 
