Timestamp: 1656014461.2821367, Acceleration: [' 0.55', ' 0.41', '27.16'], Velocity: [' 0.34', '-0.48', ' 9.54'], Position: [' 0.12', '-0.20', ' 3.79'] 
Timestamp: 1656014461.2928586, Acceleration: [' 0.86', ' 0.00', '25.04'], Velocity: [' 0.35', '-0.48', ' 9.70'], Position: [' 0.13', '-0.20', ' 3.90'] 
Timestamp: 1656014461.307546, Acceleration: [' 0.57', '-0.18', '27.94'], Velocity: [' 0.36', '-0.49', ' 9.97'], Position: [' 0.13', '-0.21', ' 4.05'] 
Timestamp: 1656014461.3146105, Acceleration: [' 0.54', '-1.41', '26.99'], Velocity: [' 0.36', '-0.50', '10.09'], Position: [' 0.13', '-0.21', ' 4.12'] 
Timestamp: 1656014461.3223126, Acceleration: [' 0.68', '-1.18', '26.07'], Velocity: [' 0.37', '-0.50', '10.21'], Position: [' 0.14', '-0.22', ' 4.20'] 
Timestamp: 1656014461.3328874, Acceleration: [' 0.58', '-1.30', '27.09'], Velocity: [' 0.37', '-0.52', '10.40'], Position: [' 0.14', '-0.22', ' 4.31'] 
Timestamp: 1656014461.3424592, Acceleration: [' 0.61', '-0.87', '26.26'], Velocity: [' 0.38', '-0.53', '10.55'], Position: [' 0.15', '-0.23', ' 4.41'] 
Timestamp: 1656014461.3523157, Acceleration: [' 0.70', '-0.31', '27.34'], Velocity: [' 0.38', '-0.53', '10.73'], Position: [' 0.15', '-0.23', ' 4.52'] 
Timestamp: 1656014461.3648446, Acceleration: [' 0.44', '-0.62', '26.19'], Velocity: [' 0.39', '-0.54', '10.93'], Position: [' 0.15', '-0.24', ' 4.66'] 
Timestamp: 1656014461.372457, Acceleration: [' 0.51', ' 0.43', '27.14'], Velocity: [' 0.39', '-0.53', '11.06'], Position: [' 0.16', '-0.24', ' 4.74'] 
Timestamp: 1656014461.3821301, Acceleration: [' 0.40', '-0.20', '25.51'], Velocity: [' 0.40', '-0.54', '11.22'], Position: [' 0.16', '-0.25', ' 4.85'] 
Timestamp: 1656014461.392198, Acceleration: [' 0.78', ' 0.23', '25.51'], Velocity: [' 0.41', '-0.53', '11.37'], Position: [' 0.16', '-0.25', ' 4.97'] 
Timestamp: 1656014461.4024081, Acceleration: [' 0.89', '-1.20', '24.93'], Velocity: [' 0.41', '-0.55', '11.53'], Position: [' 0.17', '-0.26', ' 5.08'] 
