Timestamp: 1656017394.2866454, Acceleration: [' 0.19', '-0.27', ' 9.57'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.2939832, Acceleration: ['-0.31', '-0.63', ' 9.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.3006299, Acceleration: [' 0.18', '-0.61', '10.57'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.3132849, Acceleration: ['-0.20', '-0.38', ' 9.79'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.3236141, Acceleration: [' 0.42', '-0.32', ' 9.67'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.3319972, Acceleration: [' 0.46', '-0.24', ' 9.70'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.3430789, Acceleration: [' 0.61', '-0.24', ' 9.79'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.3568795, Acceleration: [' 0.61', '-0.36', ' 9.96'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.365688, Acceleration: ['-0.04', '-0.52', '10.09'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.3728967, Acceleration: [' 0.39', '-0.46', '11.05'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.3845224, Acceleration: [' 0.85', '-0.41', '10.81'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.392827, Acceleration: ['-0.54', '-0.61', ' 9.76'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.4014425, Acceleration: ['-0.50', '-0.52', ' 9.56'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.4166906, Acceleration: [' 0.64', '-0.03', ' 8.58'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.4247649, Acceleration: [' 0.23', '-0.48', '11.26'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.4328582, Acceleration: [' 0.13', '-0.52', ' 9.95'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.4405837, Acceleration: [' 0.49', '-0.31', '10.41'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.465001, Acceleration: [' 0.29', '-0.39', '10.33'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.4715648, Acceleration: [' 0.02', '-0.58', '11.27'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.4796076, Acceleration: [' 0.79', '-0.30', '10.15'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.4866047, Acceleration: [' 0.84', '-0.00', ' 9.33'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.495132, Acceleration: [' 0.77', '-0.02', ' 9.33'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.5023851, Acceleration: [' 0.13', ' 0.01', ' 9.09'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.5135493, Acceleration: [' 0.92', '-0.09', '10.10'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.5205784, Acceleration: [' 0.32', '-0.04', ' 9.39'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.529932, Acceleration: [' 1.23', ' 0.14', ' 9.42'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.5453973, Acceleration: ['-0.19', '-0.21', ' 9.63'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.552727, Acceleration: ['-0.34', '-0.37', '10.61'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.561699, Acceleration: ['-0.13', '-0.45', '10.62'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.5707843, Acceleration: [' 0.02', '-0.31', '10.54'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.5805454, Acceleration: [' 0.12', '-0.29', ' 9.72'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.590423, Acceleration: ['-0.07', '-0.54', '10.61'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.5999851, Acceleration: [' 0.25', '-0.15', ' 9.00'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.6101365, Acceleration: [' 0.18', '-0.08', ' 9.78'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.6201766, Acceleration: [' 1.06', ' 0.02', ' 9.09'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.6298034, Acceleration: [' 0.66', '-0.28', '11.17'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.6400995, Acceleration: [' 0.78', '-0.54', '10.92'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.6500926, Acceleration: ['-0.49', '-0.65', '11.45'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017394.6598003, Acceleration: ['-0.19', '-0.45', ' 9.73'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
