Timestamp: 1652804043.2615438, Acceleration: ['-0.08', ' 0.41', ' 0.71'], Velocity: [' 0.01', ' 0.20', '-5.66'], Position: ['-0.00', ' 0.08', '-2.42'] 
Timestamp: 1652804043.2680738, Acceleration: ['-0.09', ' 0.36', ' 0.78'], Velocity: [' 0.01', ' 0.20', '-5.72'], Position: ['-0.00', ' 0.08', '-2.46'] 
Timestamp: 1652804043.2759268, Acceleration: ['-0.08', ' 0.34', ' 0.74'], Velocity: [' 0.01', ' 0.20', '-5.79'], Position: ['-0.00', ' 0.08', '-2.51'] 
Timestamp: 1652804043.285828, Acceleration: ['-0.03', ' 0.34', ' 0.58'], Velocity: [' 0.01', ' 0.21', '-5.88'], Position: ['-0.00', ' 0.08', '-2.56'] 
Timestamp: 1652804043.2988238, Acceleration: [' 0.03', ' 0.32', ' 0.93'], Velocity: [' 0.01', ' 0.21', '-6.00'], Position: ['-0.00', ' 0.09', '-2.64'] 
Timestamp: 1652804043.3059437, Acceleration: ['-0.01', ' 0.44', ' 0.93'], Velocity: [' 0.01', ' 0.22', '-6.06'], Position: ['-0.00', ' 0.09', '-2.69'] 
Timestamp: 1652804043.3158529, Acceleration: ['-0.06', ' 0.30', ' 0.78'], Velocity: [' 0.01', ' 0.22', '-6.15'], Position: ['-0.00', ' 0.09', '-2.75'] 
Timestamp: 1652804043.329214, Acceleration: [' 0.28', ' 0.31', ' 0.91'], Velocity: [' 0.02', ' 0.22', '-6.27'], Position: ['-0.00', ' 0.09', '-2.83'] 
Timestamp: 1652804043.335638, Acceleration: ['-0.00', ' 0.23', ' 0.85'], Velocity: [' 0.02', ' 0.22', '-6.33'], Position: ['-0.00', ' 0.09', '-2.87'] 
Timestamp: 1652804043.3464665, Acceleration: [' 0.15', ' 0.48', ' 0.95'], Velocity: [' 0.02', ' 0.23', '-6.42'], Position: ['-0.00', ' 0.10', '-2.94'] 
Timestamp: 1652804043.3558335, Acceleration: [' 0.04', ' 0.32', ' 0.84'], Velocity: [' 0.02', ' 0.23', '-6.51'], Position: ['-0.00', ' 0.10', '-3.01'] 
Timestamp: 1652804043.3657587, Acceleration: [' 0.04', ' 0.51', ' 0.85'], Velocity: [' 0.02', ' 0.24', '-6.60'], Position: ['-0.00', ' 0.10', '-3.07'] 
Timestamp: 1652804043.3756948, Acceleration: [' 0.04', ' 0.41', ' 0.99'], Velocity: [' 0.02', ' 0.24', '-6.68'], Position: ['-0.00', ' 0.10', '-3.14'] 
Timestamp: 1652804043.3866036, Acceleration: [' 0.24', ' 0.42', ' 1.05'], Velocity: [' 0.02', ' 0.25', '-6.78'], Position: [' 0.00', ' 0.11', '-3.21'] 
Timestamp: 1652804043.3957744, Acceleration: [' 0.20', ' 0.34', ' 0.90'], Velocity: [' 0.02', ' 0.25', '-6.86'], Position: [' 0.00', ' 0.11', '-3.28'] 
Timestamp: 1652804043.409034, Acceleration: [' 0.13', ' 0.32', ' 0.65'], Velocity: [' 0.03', ' 0.25', '-6.98'], Position: [' 0.00', ' 0.11', '-3.37'] 
Timestamp: 1652804043.4159229, Acceleration: [' 0.19', ' 0.45', ' 0.94'], Velocity: [' 0.03', ' 0.26', '-7.04'], Position: [' 0.00', ' 0.11', '-3.42'] 
Timestamp: 1652804043.4258094, Acceleration: [' 0.29', ' 0.40', ' 0.81'], Velocity: [' 0.03', ' 0.26', '-7.13'], Position: [' 0.00', ' 0.12', '-3.49'] 
Timestamp: 1652804043.435631, Acceleration: [' 0.17', ' 0.49', ' 0.89'], Velocity: [' 0.03', ' 0.26', '-7.22'], Position: [' 0.00', ' 0.12', '-3.56'] 
Timestamp: 1652804043.4463322, Acceleration: [' 0.02', ' 0.34', ' 0.50'], Velocity: [' 0.03', ' 0.27', '-7.32'], Position: [' 0.00', ' 0.12', '-3.64'] 
Timestamp: 1652804043.458349, Acceleration: ['-0.10', ' 0.34', ' 0.70'], Velocity: [' 0.03', ' 0.27', '-7.43'], Position: [' 0.00', ' 0.12', '-3.73'] 
Timestamp: 1652804043.4659576, Acceleration: ['-0.06', ' 0.40', ' 0.70'], Velocity: [' 0.03', ' 0.28', '-7.50'], Position: [' 0.00', ' 0.13', '-3.79'] 
Timestamp: 1652804043.475848, Acceleration: [' 0.01', ' 0.36', ' 0.61'], Velocity: [' 0.03', ' 0.28', '-7.59'], Position: [' 0.00', ' 0.13', '-3.86'] 
Timestamp: 1652804043.4858074, Acceleration: [' 0.04', ' 0.42', ' 0.52'], Velocity: [' 0.03', ' 0.28', '-7.68'], Position: [' 0.00', ' 0.13', '-3.94'] 
Timestamp: 1652804043.4959083, Acceleration: ['-0.04', ' 0.31', ' 0.77'], Velocity: [' 0.03', ' 0.29', '-7.77'], Position: [' 0.00', ' 0.14', '-4.02'] 
Timestamp: 1652804043.5057495, Acceleration: ['-0.10', ' 0.29', ' 0.68'], Velocity: [' 0.03', ' 0.29', '-7.86'], Position: [' 0.00', ' 0.14', '-4.10'] 
Timestamp: 1652804043.516041, Acceleration: ['-0.03', ' 0.35', ' 0.65'], Velocity: [' 0.03', ' 0.29', '-7.96'], Position: [' 0.00', ' 0.14', '-4.18'] 
Timestamp: 1652804043.5257325, Acceleration: ['-0.02', ' 0.35', ' 0.73'], Velocity: [' 0.03', ' 0.30', '-8.05'], Position: [' 0.00', ' 0.14', '-4.26'] 
Timestamp: 1652804043.535745, Acceleration: ['-0.02', ' 0.27', ' 0.62'], Velocity: [' 0.03', ' 0.30', '-8.14'], Position: [' 0.00', ' 0.15', '-4.34'] 
Timestamp: 1652804043.546218, Acceleration: [' 0.01', ' 0.27', ' 0.86'], Velocity: [' 0.03', ' 0.30', '-8.23'], Position: [' 0.00', ' 0.15', '-4.42'] 
Timestamp: 1652804043.55587, Acceleration: ['-0.08', ' 0.25', ' 0.85'], Velocity: [' 0.03', ' 0.30', '-8.32'], Position: [' 0.00', ' 0.15', '-4.51'] 
Timestamp: 1652804043.5659387, Acceleration: [' 0.05', ' 0.26', ' 0.80'], Velocity: [' 0.03', ' 0.31', '-8.41'], Position: [' 0.01', ' 0.16', '-4.59'] 
Timestamp: 1652804043.5816154, Acceleration: [' 0.27', ' 0.35', ' 0.54'], Velocity: [' 0.03', ' 0.31', '-8.55'], Position: [' 0.01', ' 0.16', '-4.73'] 
Timestamp: 1652804043.588218, Acceleration: [' 0.14', ' 0.45', ' 0.80'], Velocity: [' 0.03', ' 0.32', '-8.61'], Position: [' 0.01', ' 0.16', '-4.78'] 
Timestamp: 1652804043.5987487, Acceleration: [' 0.16', ' 0.32', ' 0.73'], Velocity: [' 0.04', ' 0.32', '-8.71'], Position: [' 0.01', ' 0.17', '-4.88'] 
Timestamp: 1652804043.6088734, Acceleration: [' 0.07', ' 0.31', ' 0.66'], Velocity: [' 0.04', ' 0.32', '-8.80'], Position: [' 0.01', ' 0.17', '-4.96'] 
Timestamp: 1652804043.6157339, Acceleration: [' 0.25', ' 0.33', ' 0.87'], Velocity: [' 0.04', ' 0.32', '-8.86'], Position: [' 0.01', ' 0.17', '-5.03'] 
Timestamp: 1652804043.6257622, Acceleration: [' 0.19', ' 0.36', ' 0.91'], Velocity: [' 0.04', ' 0.33', '-8.95'], Position: [' 0.01', ' 0.18', '-5.12'] 
Timestamp: 1652804043.635718, Acceleration: [' 0.18', ' 0.41', ' 0.79'], Velocity: [' 0.04', ' 0.33', '-9.04'], Position: [' 0.01', ' 0.18', '-5.21'] 
Timestamp: 1652804043.6458328, Acceleration: [' 0.20', ' 0.46', ' 0.82'], Velocity: [' 0.04', ' 0.34', '-9.13'], Position: [' 0.01', ' 0.18', '-5.30'] 
Timestamp: 1652804043.6556737, Acceleration: [' 0.20', ' 0.47', ' 0.92'], Velocity: [' 0.05', ' 0.34', '-9.22'], Position: [' 0.01', ' 0.19', '-5.39'] 
Timestamp: 1652804043.6656966, Acceleration: [' 0.16', ' 0.33', ' 0.85'], Velocity: [' 0.05', ' 0.34', '-9.31'], Position: [' 0.01', ' 0.19', '-5.48'] 
