Timestamp: 1656017538.8076606, Acceleration: ['-1.35', ' 3.44', '11.35'], Velocity: ['-0.29', ' 0.73', ' 0.33'], Position: ['-0.09', ' 0.24', ' 0.11'] 
Timestamp: 1656017538.815129, Acceleration: ['-1.37', ' 3.96', '12.11'], Velocity: ['-0.30', ' 0.76', ' 0.35'], Position: ['-0.09', ' 0.24', ' 0.11'] 
Timestamp: 1656017538.8215885, Acceleration: ['-0.99', ' 4.40', '11.24'], Velocity: ['-0.31', ' 0.79', ' 0.35'], Position: ['-0.10', ' 0.25', ' 0.11'] 
Timestamp: 1656017538.8311818, Acceleration: ['-1.25', ' 4.40', '11.85'], Velocity: ['-0.32', ' 0.84', ' 0.37'], Position: ['-0.10', ' 0.25', ' 0.11'] 
Timestamp: 1656017538.8407748, Acceleration: ['-1.65', ' 4.15', '12.75'], Velocity: ['-0.33', ' 0.87', ' 0.40'], Position: ['-0.10', ' 0.26', ' 0.12'] 
Timestamp: 1656017538.8510346, Acceleration: ['-1.60', ' 3.03', '12.27'], Velocity: ['-0.35', ' 0.91', ' 0.43'], Position: ['-0.11', ' 0.27', ' 0.12'] 
Timestamp: 1656017538.8611906, Acceleration: ['-0.97', ' 2.78', '10.92'], Velocity: ['-0.36', ' 0.93', ' 0.44'], Position: ['-0.11', ' 0.28', ' 0.13'] 
Timestamp: 1656017538.871352, Acceleration: ['-0.78', ' 2.51', ' 9.90'], Velocity: ['-0.37', ' 0.96', ' 0.44'], Position: ['-0.11', ' 0.29', ' 0.13'] 
Timestamp: 1656017538.8810809, Acceleration: ['-0.52', ' 2.30', '10.02'], Velocity: ['-0.37', ' 0.98', ' 0.44'], Position: ['-0.12', ' 0.30', ' 0.14'] 
Timestamp: 1656017538.8937743, Acceleration: ['-2.15', ' 1.68', '12.26'], Velocity: ['-0.40', ' 1.00', ' 0.47'], Position: ['-0.12', ' 0.31', ' 0.14'] 
Timestamp: 1656017538.9059367, Acceleration: ['-2.37', ' 1.60', '11.31'], Velocity: ['-0.43', ' 1.02', ' 0.49'], Position: ['-0.13', ' 0.33', ' 0.15'] 
Timestamp: 1656017538.9128232, Acceleration: ['-2.37', ' 1.60', '11.41'], Velocity: ['-0.45', ' 1.03', ' 0.50'], Position: ['-0.13', ' 0.33', ' 0.15'] 
Timestamp: 1656017538.9212687, Acceleration: ['-2.55', ' 1.46', '11.60'], Velocity: ['-0.47', ' 1.05', ' 0.52'], Position: ['-0.14', ' 0.34', ' 0.16'] 
Timestamp: 1656017538.9327662, Acceleration: ['-2.13', ' 1.53', '11.10'], Velocity: ['-0.49', ' 1.06', ' 0.53'], Position: ['-0.14', ' 0.36', ' 0.16'] 
Timestamp: 1656017538.943043, Acceleration: ['-1.03', ' 1.83', '10.51'], Velocity: ['-0.50', ' 1.08', ' 0.54'], Position: ['-0.15', ' 0.37', ' 0.17'] 
Timestamp: 1656017538.9511118, Acceleration: ['-0.81', ' 1.87', ' 9.96'], Velocity: ['-0.51', ' 1.10', ' 0.54'], Position: ['-0.15', ' 0.38', ' 0.17'] 
Timestamp: 1656017538.961326, Acceleration: ['-1.12', ' 1.73', '10.76'], Velocity: ['-0.52', ' 1.12', ' 0.55'], Position: ['-0.16', ' 0.39', ' 0.18'] 
Timestamp: 1656017538.9719176, Acceleration: ['-0.42', ' 2.08', '10.85'], Velocity: ['-0.52', ' 1.14', ' 0.56'], Position: ['-0.16', ' 0.40', ' 0.18'] 
Timestamp: 1656017538.981226, Acceleration: ['-1.87', ' 1.42', '12.79'], Velocity: ['-0.54', ' 1.15', ' 0.59'], Position: ['-0.17', ' 0.41', ' 0.19'] 
