Timestamp: 1652975428.5446112, Acceleration: [' 1.54', '-4.34', ' 4.67'], Velocity: [' 0.38', '-1.06', '-1.26'], Position: [' 0.14', '-0.39', '-0.46'] 
Timestamp: 1652975428.5519657, Acceleration: [' 1.03', '-4.27', ' 4.60'], Velocity: [' 0.39', '-1.09', '-1.30'], Position: [' 0.14', '-0.40', '-0.47'] 
Timestamp: 1652975428.5583642, Acceleration: [' 1.08', '-4.00', ' 4.31'], Velocity: [' 0.39', '-1.12', '-1.33'], Position: [' 0.14', '-0.41', '-0.48'] 
Timestamp: 1652975428.5682812, Acceleration: [' 1.33', '-4.21', ' 4.51'], Velocity: [' 0.41', '-1.16', '-1.39'], Position: [' 0.15', '-0.42', '-0.50'] 
Timestamp: 1652975428.5830863, Acceleration: [' 1.00', '-4.27', ' 4.59'], Velocity: [' 0.42', '-1.23', '-1.46'], Position: [' 0.15', '-0.44', '-0.52'] 
Timestamp: 1652975428.5990157, Acceleration: [' 0.96', '-4.08', ' 4.40'], Velocity: [' 0.44', '-1.29', '-1.55'], Position: [' 0.16', '-0.46', '-0.54'] 
Timestamp: 1652975428.6135263, Acceleration: [' 1.21', '-4.29', ' 4.55'], Velocity: [' 0.45', '-1.35', '-1.63'], Position: [' 0.17', '-0.48', '-0.57'] 
Timestamp: 1652975428.6233811, Acceleration: [' 1.27', '-4.39', ' 4.65'], Velocity: [' 0.47', '-1.40', '-1.68'], Position: [' 0.17', '-0.49', '-0.58'] 
Timestamp: 1652975428.6336322, Acceleration: [' 1.01', '-4.23', ' 4.49'], Velocity: [' 0.48', '-1.44', '-1.73'], Position: [' 0.18', '-0.51', '-0.60'] 
Timestamp: 1652975428.6498857, Acceleration: [' 1.44', '-4.38', ' 4.64'], Velocity: [' 0.50', '-1.51', '-1.82'], Position: [' 0.19', '-0.53', '-0.63'] 
Timestamp: 1652975428.6589565, Acceleration: [' 1.29', '-4.27', ' 4.56'], Velocity: [' 0.51', '-1.55', '-1.86'], Position: [' 0.19', '-0.55', '-0.65'] 
Timestamp: 1652975428.667289, Acceleration: [' 1.05', '-4.22', ' 4.49'], Velocity: [' 0.52', '-1.58', '-1.91'], Position: [' 0.20', '-0.56', '-0.67'] 
Timestamp: 1652975428.6744812, Acceleration: [' 1.43', '-4.27', ' 4.60'], Velocity: [' 0.53', '-1.61', '-1.94'], Position: [' 0.20', '-0.57', '-0.68'] 
Timestamp: 1652975428.6810784, Acceleration: [' 0.60', '-4.14', ' 4.44'], Velocity: [' 0.53', '-1.64', '-1.98'], Position: [' 0.20', '-0.58', '-0.69'] 
Timestamp: 1652975428.6952705, Acceleration: [' 0.92', '-4.19', ' 4.45'], Velocity: [' 0.55', '-1.70', '-2.06'], Position: [' 0.21', '-0.61', '-0.72'] 
Timestamp: 1652975428.7121146, Acceleration: [' 1.41', '-4.31', ' 4.68'], Velocity: [' 0.57', '-1.77', '-2.14'], Position: [' 0.22', '-0.64', '-0.76'] 
Timestamp: 1652975428.7227206, Acceleration: [' 1.36', '-4.24', ' 4.52'], Velocity: [' 0.59', '-1.82', '-2.20'], Position: [' 0.23', '-0.66', '-0.78'] 
