Timestamp: 1656014433.1553953, Acceleration: [' 0.73', '-2.05', ' 7.88'], Velocity: [' 0.16', '-0.44', '-0.42'], Position: [' 0.05', '-0.14', '-0.13'] 
Timestamp: 1656014433.1635036, Acceleration: [' 0.74', '-1.41', ' 8.44'], Velocity: [' 0.16', '-0.45', '-0.43'], Position: [' 0.05', '-0.15', '-0.14'] 
Timestamp: 1656014433.1700406, Acceleration: [' 1.10', '-0.80', ' 8.69'], Velocity: [' 0.17', '-0.46', '-0.43'], Position: [' 0.05', '-0.15', '-0.14'] 
Timestamp: 1656014433.1785433, Acceleration: [' 1.16', '-0.62', ' 8.38'], Velocity: [' 0.18', '-0.46', '-0.45'], Position: [' 0.05', '-0.15', '-0.14'] 
Timestamp: 1656014433.1888018, Acceleration: [' 0.81', '-1.54', ' 8.20'], Velocity: [' 0.19', '-0.48', '-0.46'], Position: [' 0.06', '-0.16', '-0.15'] 
Timestamp: 1656014433.1987476, Acceleration: [' 0.50', '-1.56', ' 6.98'], Velocity: [' 0.19', '-0.49', '-0.49'], Position: [' 0.06', '-0.16', '-0.15'] 
Timestamp: 1656014433.2089374, Acceleration: [' 1.10', '-1.36', ' 9.09'], Velocity: [' 0.21', '-0.51', '-0.50'], Position: [' 0.06', '-0.17', '-0.16'] 
Timestamp: 1656014433.2190604, Acceleration: [' 2.37', '-0.54', '10.03'], Velocity: [' 0.23', '-0.51', '-0.50'], Position: [' 0.06', '-0.17', '-0.16'] 
Timestamp: 1656014433.229284, Acceleration: [' 2.05', '-0.43', ' 9.40'], Velocity: [' 0.25', '-0.52', '-0.50'], Position: [' 0.07', '-0.18', '-0.17'] 
Timestamp: 1656014433.2388859, Acceleration: [' 2.90', '-0.18', ' 9.33'], Velocity: [' 0.28', '-0.52', '-0.50'], Position: [' 0.07', '-0.18', '-0.17'] 
Timestamp: 1656014433.2488217, Acceleration: [' 2.61', '-0.07', ' 9.14'], Velocity: [' 0.30', '-0.52', '-0.51'], Position: [' 0.07', '-0.19', '-0.18'] 
Timestamp: 1656014433.2590978, Acceleration: [' 2.81', '-0.03', ' 8.74'], Velocity: [' 0.33', '-0.52', '-0.52'], Position: [' 0.08', '-0.19', '-0.18'] 
Timestamp: 1656014433.2688286, Acceleration: [' 2.69', '-0.10', ' 8.91'], Velocity: [' 0.36', '-0.52', '-0.53'], Position: [' 0.08', '-0.20', '-0.19'] 
Timestamp: 1656014433.2832518, Acceleration: [' 1.79', '-0.37', ' 9.56'], Velocity: [' 0.39', '-0.53', '-0.53'], Position: [' 0.09', '-0.21', '-0.20'] 
Timestamp: 1656014433.2930999, Acceleration: [' 3.27', ' 0.16', '10.16'], Velocity: [' 0.42', '-0.53', '-0.53'], Position: [' 0.09', '-0.21', '-0.20'] 
Timestamp: 1656014433.2997205, Acceleration: [' 1.53', '-0.37', ' 8.11'], Velocity: [' 0.43', '-0.53', '-0.54'], Position: [' 0.09', '-0.22', '-0.21'] 
