Timestamp: 1656016574.342006, Acceleration: [' 0.81', '-2.21', '11.79'], Velocity: [' 0.17', '-0.48', ' 0.43'], Position: [' 0.06', '-0.15', ' 0.14'] 
Timestamp: 1656016574.3493187, Acceleration: [' 1.93', '-0.08', '-10.40'], Velocity: [' 0.19', '-0.48', ' 0.28'], Position: [' 0.06', '-0.16', ' 0.14'] 
Timestamp: 1656016574.3557508, Acceleration: [' 2.95', '-0.71', '-8.83'], Velocity: [' 0.21', '-0.48', ' 0.16'], Position: [' 0.06', '-0.16', ' 0.14'] 
Timestamp: 1656016574.3664904, Acceleration: [' 3.95', '-1.23', '-10.51'], Velocity: [' 0.25', '-0.50', '-0.06'], Position: [' 0.06', '-0.17', ' 0.14'] 
Timestamp: 1656016574.3756168, Acceleration: [' 3.88', '-1.17', '-10.57'], Velocity: [' 0.29', '-0.51', '-0.25'], Position: [' 0.07', '-0.17', ' 0.13'] 
Timestamp: 1656016574.3861928, Acceleration: [' 3.37', '-0.68', '-11.76'], Velocity: [' 0.32', '-0.51', '-0.47'], Position: [' 0.07', '-0.18', ' 0.13'] 
Timestamp: 1656016574.3961596, Acceleration: [' 3.10', '-0.61', '-10.65'], Velocity: [' 0.35', '-0.52', '-0.68'], Position: [' 0.07', '-0.18', ' 0.12'] 
Timestamp: 1656016574.4062393, Acceleration: [' 2.78', '-0.41', '-11.06'], Velocity: [' 0.38', '-0.52', '-0.89'], Position: [' 0.08', '-0.19', ' 0.11'] 
Timestamp: 1656016574.4158316, Acceleration: [' 2.85', '-0.80', '-9.91'], Velocity: [' 0.41', '-0.53', '-1.08'], Position: [' 0.08', '-0.19', ' 0.10'] 
Timestamp: 1656016574.4262407, Acceleration: [' 2.38', '-0.48', '-10.13'], Velocity: [' 0.43', '-0.54', '-1.29'], Position: [' 0.08', '-0.20', ' 0.09'] 
Timestamp: 1656016574.4356725, Acceleration: [' 2.70', '-0.60', '-9.39'], Velocity: [' 0.46', '-0.54', '-1.47'], Position: [' 0.09', '-0.20', ' 0.07'] 
Timestamp: 1656016574.446314, Acceleration: [' 2.66', '-0.44', '-9.88'], Velocity: [' 0.49', '-0.55', '-1.68'], Position: [' 0.09', '-0.21', ' 0.05'] 
Timestamp: 1656016574.4555385, Acceleration: [' 3.67', '-1.05', '-10.01'], Velocity: [' 0.52', '-0.56', '-1.86'], Position: [' 0.10', '-0.21', ' 0.03'] 
Timestamp: 1656016574.4656556, Acceleration: [' 3.62', '-1.06', '-11.07'], Velocity: [' 0.56', '-0.57', '-2.07'], Position: [' 0.11', '-0.22', ' 0.01'] 
Timestamp: 1656016574.475855, Acceleration: [' 3.62', '-1.26', '-11.58'], Velocity: [' 0.59', '-0.58', '-2.29'], Position: [' 0.11', '-0.23', '-0.01'] 
Timestamp: 1656016574.4860713, Acceleration: [' 2.58', '-0.68', '-11.22'], Velocity: [' 0.62', '-0.59', '-2.50'], Position: [' 0.12', '-0.23', '-0.04'] 
Timestamp: 1656016574.4955487, Acceleration: [' 2.28', '-0.65', '-10.41'], Velocity: [' 0.64', '-0.59', '-2.69'], Position: [' 0.12', '-0.24', '-0.07'] 
Timestamp: 1656016574.506252, Acceleration: [' 2.16', '-0.38', '-9.34'], Velocity: [' 0.66', '-0.60', '-2.90'], Position: [' 0.13', '-0.24', '-0.10'] 
Timestamp: 1656016574.5160358, Acceleration: [' 3.18', '-1.07', '-9.64'], Velocity: [' 0.70', '-0.61', '-3.09'], Position: [' 0.14', '-0.25', '-0.13'] 
Timestamp: 1656016574.5258102, Acceleration: [' 3.00', '-0.73', '-9.58'], Velocity: [' 0.72', '-0.61', '-3.28'], Position: [' 0.15', '-0.26', '-0.16'] 
Timestamp: 1656016574.5356846, Acceleration: [' 3.36', '-0.91', '-10.56'], Velocity: [' 0.76', '-0.62', '-3.48'], Position: [' 0.15', '-0.26', '-0.20'] 
Timestamp: 1656016574.5460472, Acceleration: [' 3.38', '-0.79', '-10.38'], Velocity: [' 0.79', '-0.63', '-3.69'], Position: [' 0.16', '-0.27', '-0.24'] 
Timestamp: 1656016574.555417, Acceleration: [' 3.24', '-1.08', '-11.38'], Velocity: [' 0.82', '-0.64', '-3.89'], Position: [' 0.17', '-0.27', '-0.27'] 
Timestamp: 1656016574.571486, Acceleration: [' 3.03', '-0.85', '-10.10'], Velocity: [' 0.87', '-0.66', '-4.21'], Position: [' 0.18', '-0.29', '-0.34'] 
Timestamp: 1656016574.5783687, Acceleration: [' 2.53', '-0.54', '-9.07'], Velocity: [' 0.89', '-0.66', '-4.34'], Position: [' 0.19', '-0.29', '-0.37'] 
Timestamp: 1656016574.58544, Acceleration: [' 2.22', '-0.62', '-9.75'], Velocity: [' 0.91', '-0.66', '-4.48'], Position: [' 0.20', '-0.29', '-0.41'] 
Timestamp: 1656016574.5963144, Acceleration: [' 2.72', '-0.56', '-8.94'], Velocity: [' 0.93', '-0.67', '-4.68'], Position: [' 0.21', '-0.30', '-0.46'] 
Timestamp: 1656016574.6061616, Acceleration: [' 2.77', '-0.74', '-8.92'], Velocity: [' 0.96', '-0.68', '-4.86'], Position: [' 0.22', '-0.31', '-0.51'] 
Timestamp: 1656016574.615548, Acceleration: [' 3.07', '-0.83', '-10.33'], Velocity: [' 0.99', '-0.68', '-5.05'], Position: [' 0.23', '-0.32', '-0.56'] 
Timestamp: 1656016574.6299393, Acceleration: [' 3.58', '-1.00', '-10.53'], Velocity: [' 1.04', '-0.70', '-5.35'], Position: [' 0.24', '-0.33', '-0.64'] 
Timestamp: 1656016574.6371202, Acceleration: [' 2.90', '-0.94', '-11.11'], Velocity: [' 1.06', '-0.71', '-5.50'], Position: [' 0.25', '-0.33', '-0.68'] 
Timestamp: 1656016574.6456227, Acceleration: [' 2.86', '-0.88', '-11.09'], Velocity: [' 1.09', '-0.71', '-5.67'], Position: [' 0.26', '-0.34', '-0.72'] 
Timestamp: 1656016574.6554966, Acceleration: [' 2.31', '-0.72', '-10.76'], Velocity: [' 1.11', '-0.72', '-5.88'], Position: [' 0.27', '-0.34', '-0.78'] 
Timestamp: 1656016574.6664352, Acceleration: [' 2.42', '-0.98', '-10.22'], Velocity: [' 1.14', '-0.73', '-6.10'], Position: [' 0.28', '-0.35', '-0.85'] 
Timestamp: 1656016574.67556, Acceleration: [' 2.15', '-0.72', '-9.94'], Velocity: [' 1.16', '-0.74', '-6.28'], Position: [' 0.29', '-0.36', '-0.91'] 
Timestamp: 1656016574.6854248, Acceleration: [' 2.38', '-0.77', '-9.81'], Velocity: [' 1.18', '-0.75', '-6.47'], Position: [' 0.30', '-0.37', '-0.97'] 
Timestamp: 1656016574.699705, Acceleration: [' 3.43', '-1.16', '-11.57'], Velocity: [' 1.23', '-0.76', '-6.78'], Position: [' 0.32', '-0.38', '-1.07'] 
Timestamp: 1656016574.7062645, Acceleration: [' 3.41', '-0.91', '-10.38'], Velocity: [' 1.25', '-0.77', '-6.91'], Position: [' 0.33', '-0.38', '-1.12'] 
Timestamp: 1656016574.715681, Acceleration: [' 3.38', '-0.91', '-10.64'], Velocity: [' 1.28', '-0.78', '-7.10'], Position: [' 0.34', '-0.39', '-1.19'] 
Timestamp: 1656016574.7257035, Acceleration: [' 3.26', '-1.09', '-11.91'], Velocity: [' 1.32', '-0.79', '-7.32'], Position: [' 0.36', '-0.40', '-1.26'] 
Timestamp: 1656016574.7357676, Acceleration: [' 1.98', '-0.73', '-11.27'], Velocity: [' 1.34', '-0.79', '-7.53'], Position: [' 0.37', '-0.41', '-1.34'] 
Timestamp: 1656016574.7454348, Acceleration: [' 1.93', '-0.80', '-10.95'], Velocity: [' 1.35', '-0.80', '-7.73'], Position: [' 0.38', '-0.41', '-1.41'] 
Timestamp: 1656016574.7554333, Acceleration: [' 1.98', '-0.52', '-9.26'], Velocity: [' 1.37', '-0.81', '-7.92'], Position: [' 0.40', '-0.42', '-1.49'] 
Timestamp: 1656016574.765727, Acceleration: [' 3.09', '-0.91', '-9.78'], Velocity: [' 1.41', '-0.82', '-8.12'], Position: [' 0.41', '-0.43', '-1.58'] 
Timestamp: 1656016574.7758179, Acceleration: [' 2.92', '-0.78', '-10.64'], Velocity: [' 1.44', '-0.82', '-8.33'], Position: [' 0.43', '-0.44', '-1.66'] 
Timestamp: 1656016574.7854974, Acceleration: [' 3.30', '-0.95', '-10.46'], Velocity: [' 1.47', '-0.83', '-8.53'], Position: [' 0.44', '-0.45', '-1.75'] 
Timestamp: 1656016574.7966323, Acceleration: [' 2.84', '-0.73', '-11.17'], Velocity: [' 1.50', '-0.84', '-8.76'], Position: [' 0.46', '-0.46', '-1.85'] 
Timestamp: 1656016574.8056571, Acceleration: [' 3.17', '-1.09', '-11.29'], Velocity: [' 1.53', '-0.85', '-8.95'], Position: [' 0.47', '-0.46', '-1.93'] 
Timestamp: 1656016574.8154163, Acceleration: [' 2.32', '-0.93', '-11.11'], Velocity: [' 1.55', '-0.86', '-9.15'], Position: [' 0.49', '-0.47', '-2.02'] 
Timestamp: 1656016574.8277903, Acceleration: [' 2.09', '-0.57', '-9.64'], Velocity: [' 1.58', '-0.87', '-9.39'], Position: [' 0.51', '-0.48', '-2.14'] 
