Timestamp: 1656014359.0400968, Acceleration: [' 0.02', '-1.04', '11.24'], Velocity: [' 0.00', '-0.23', ' 0.31'], Position: [' 0.00', '-0.07', ' 0.10'] 
Timestamp: 1656014359.0484126, Acceleration: [' 0.05', '-1.11', '11.14'], Velocity: [' 0.00', '-0.23', ' 0.32'], Position: [' 0.00', '-0.07', ' 0.10'] 
Timestamp: 1656014359.0586863, Acceleration: ['-0.08', '-0.78', '10.75'], Velocity: [' 0.00', '-0.24', ' 0.33'], Position: [' 0.00', '-0.08', ' 0.11'] 
Timestamp: 1656014359.0653005, Acceleration: [' 0.08', '-0.98', '12.48'], Velocity: [' 0.00', '-0.25', ' 0.35'], Position: [' 0.00', '-0.08', ' 0.11'] 
Timestamp: 1656014359.0736418, Acceleration: [' 0.20', '-0.91', '12.43'], Velocity: [' 0.01', '-0.26', ' 0.37'], Position: [' 0.00', '-0.08', ' 0.11'] 
Timestamp: 1656014359.0844235, Acceleration: ['-1.27', ' 0.02', '-10.04'], Velocity: ['-0.01', '-0.26', ' 0.15'], Position: [' 0.00', '-0.08', ' 0.11'] 
Timestamp: 1656014359.0955868, Acceleration: [' 0.97', ' 0.42', '-10.27'], Velocity: [' 0.00', '-0.25', '-0.07'], Position: [' 0.00', '-0.09', ' 0.11'] 
Timestamp: 1656014359.1083045, Acceleration: ['-0.55', ' 1.83', '-12.35'], Velocity: ['-0.00', '-0.23', '-0.35'], Position: [' 0.00', '-0.09', ' 0.10'] 
Timestamp: 1656014359.1152425, Acceleration: ['-0.36', ' 1.57', '-11.34'], Velocity: ['-0.01', '-0.22', '-0.50'], Position: [' 0.00', '-0.09', ' 0.10'] 
Timestamp: 1656014359.1237433, Acceleration: ['-0.34', ' 1.56', '-11.42'], Velocity: ['-0.01', '-0.20', '-0.68'], Position: [' 0.00', '-0.09', ' 0.09'] 
Timestamp: 1656014359.137478, Acceleration: ['-0.53', ' 1.54', '-10.13'], Velocity: ['-0.02', '-0.18', '-0.95'], Position: [' 0.00', '-0.10', ' 0.08'] 
Timestamp: 1656014359.14434, Acceleration: ['-0.29', ' 1.51', '-11.57'], Velocity: ['-0.02', '-0.17', '-1.10'], Position: [' 0.00', '-0.10', ' 0.07'] 
Timestamp: 1656014359.1537726, Acceleration: ['-0.51', ' 1.64', '-10.86'], Velocity: ['-0.02', '-0.16', '-1.29'], Position: [' 0.00', '-0.10', ' 0.06'] 
Timestamp: 1656014359.1636708, Acceleration: [' 0.50', ' 1.42', '-12.39'], Velocity: ['-0.02', '-0.14', '-1.51'], Position: [' 0.00', '-0.10', ' 0.04'] 
Timestamp: 1656014359.173866, Acceleration: [' 0.34', ' 1.54', '-11.64'], Velocity: ['-0.02', '-0.13', '-1.73'], Position: [' 0.00', '-0.10', ' 0.02'] 
Timestamp: 1656014359.18476, Acceleration: [' 0.60', ' 1.02', '-10.31'], Velocity: ['-0.01', '-0.12', '-1.95'], Position: [' 0.00', '-0.10', '-0.00'] 
Timestamp: 1656014359.193608, Acceleration: [' 0.71', ' 0.89', '-10.02'], Velocity: ['-0.00', '-0.11', '-2.13'], Position: [' 0.00', '-0.10', '-0.02'] 
Timestamp: 1656014359.2038336, Acceleration: [' 0.24', ' 0.87', '-9.14'], Velocity: [' 0.00', '-0.10', '-2.32'], Position: [' 0.00', '-0.10', '-0.04'] 
Timestamp: 1656014359.2138653, Acceleration: ['-0.10', ' 1.32', '-10.93'], Velocity: ['-0.00', '-0.09', '-2.53'], Position: [' 0.00', '-0.10', '-0.07'] 
Timestamp: 1656014359.2238088, Acceleration: ['-0.45', ' 1.58', '-10.90'], Velocity: ['-0.01', '-0.07', '-2.74'], Position: [' 0.00', '-0.10', '-0.10'] 
Timestamp: 1656014359.2389965, Acceleration: [' 0.37', ' 1.41', '-10.90'], Velocity: [' 0.00', '-0.05', '-3.05'], Position: [' 0.00', '-0.11', '-0.15'] 
Timestamp: 1656014359.247957, Acceleration: [' 0.44', ' 1.22', '-10.68'], Velocity: [' 0.00', '-0.04', '-3.23'], Position: [' 0.00', '-0.11', '-0.18'] 
Timestamp: 1656014359.254466, Acceleration: [' 0.43', ' 1.35', '-10.80'], Velocity: [' 0.01', '-0.03', '-3.37'], Position: [' 0.00', '-0.11', '-0.20'] 
Timestamp: 1656014359.2636063, Acceleration: [' 0.50', ' 1.38', '-11.12'], Velocity: [' 0.01', '-0.02', '-3.56'], Position: [' 0.00', '-0.11', '-0.23'] 
Timestamp: 1656014359.2740512, Acceleration: [' 1.23', ' 1.21', '-11.41'], Velocity: [' 0.02', '-0.00', '-3.78'], Position: [' 0.00', '-0.11', '-0.27'] 
Timestamp: 1656014359.2845025, Acceleration: [' 0.60', ' 1.19', '-10.29'], Velocity: [' 0.03', ' 0.01', '-3.99'], Position: [' 0.00', '-0.11', '-0.32'] 
Timestamp: 1656014359.2935927, Acceleration: [' 0.67', ' 0.80', '-9.28'], Velocity: [' 0.04', ' 0.02', '-4.16'], Position: [' 0.00', '-0.11', '-0.36'] 
Timestamp: 1656014359.3040414, Acceleration: ['-0.03', ' 1.03', '-10.33'], Velocity: [' 0.04', ' 0.03', '-4.37'], Position: [' 0.00', '-0.11', '-0.40'] 
Timestamp: 1656014359.3144789, Acceleration: ['-0.59', ' 1.46', '-10.66'], Velocity: [' 0.03', ' 0.04', '-4.59'], Position: [' 0.00', '-0.10', '-0.45'] 
Timestamp: 1656014359.323624, Acceleration: [' 0.09', ' 1.90', '-12.75'], Velocity: [' 0.03', ' 0.06', '-4.79'], Position: [' 0.00', '-0.10', '-0.50'] 
Timestamp: 1656014359.3392732, Acceleration: [' 1.36', ' 1.02', '-11.08'], Velocity: [' 0.05', ' 0.07', '-5.12'], Position: [' 0.00', '-0.10', '-0.58'] 
Timestamp: 1656014359.345515, Acceleration: [' 1.45', ' 0.80', '-10.52'], Velocity: [' 0.06', ' 0.08', '-5.25'], Position: [' 0.00', '-0.10', '-0.61'] 
Timestamp: 1656014359.3536978, Acceleration: [' 0.89', ' 1.07', '-10.19'], Velocity: [' 0.07', ' 0.09', '-5.41'], Position: [' 0.00', '-0.10', '-0.66'] 
Timestamp: 1656014359.3636324, Acceleration: [' 0.38', ' 1.30', '-11.39'], Velocity: [' 0.07', ' 0.10', '-5.62'], Position: [' 0.01', '-0.10', '-0.71'] 
Timestamp: 1656014359.37378, Acceleration: [' 0.72', ' 1.17', '-10.51'], Velocity: [' 0.08', ' 0.11', '-5.83'], Position: [' 0.01', '-0.10', '-0.77'] 
Timestamp: 1656014359.3835425, Acceleration: [' 0.03', ' 1.32', '-10.29'], Velocity: [' 0.08', ' 0.13', '-6.03'], Position: [' 0.01', '-0.10', '-0.83'] 
Timestamp: 1656014359.4006178, Acceleration: ['-0.06', ' 1.21', '-10.09'], Velocity: [' 0.08', ' 0.15', '-6.37'], Position: [' 0.01', '-0.10', '-0.95'] 
Timestamp: 1656014359.4077168, Acceleration: [' 0.71', ' 1.58', '-10.96'], Velocity: [' 0.08', ' 0.16', '-6.51'], Position: [' 0.01', '-0.09', '-0.99'] 
Timestamp: 1656014359.4146798, Acceleration: [' 1.15', ' 1.44', '-11.56'], Velocity: [' 0.09', ' 0.17', '-6.66'], Position: [' 0.01', '-0.09', '-1.04'] 
Timestamp: 1656014359.4234588, Acceleration: [' 1.19', ' 1.45', '-11.95'], Velocity: [' 0.10', ' 0.18', '-6.85'], Position: [' 0.01', '-0.09', '-1.10'] 
Timestamp: 1656014359.4337478, Acceleration: [' 1.27', ' 1.43', '-12.57'], Velocity: [' 0.12', ' 0.20', '-7.08'], Position: [' 0.01', '-0.09', '-1.17'] 
Timestamp: 1656014359.4435878, Acceleration: [' 1.60', ' 0.76', '-9.93'], Velocity: [' 0.13', ' 0.20', '-7.28'], Position: [' 0.01', '-0.09', '-1.25'] 
Timestamp: 1656014359.4538682, Acceleration: [' 0.23', ' 1.03', '-9.43'], Velocity: [' 0.13', ' 0.21', '-7.47'], Position: [' 0.01', '-0.08', '-1.32'] 
Timestamp: 1656014359.4638124, Acceleration: [' 0.45', ' 1.11', '-10.78'], Velocity: [' 0.14', ' 0.22', '-7.68'], Position: [' 0.02', '-0.08', '-1.40'] 
Timestamp: 1656014359.4737945, Acceleration: ['-0.28', ' 1.49', '-10.94'], Velocity: [' 0.14', ' 0.24', '-7.89'], Position: [' 0.02', '-0.08', '-1.48'] 
Timestamp: 1656014359.4835947, Acceleration: [' 0.21', ' 1.15', '-10.75'], Velocity: [' 0.14', ' 0.25', '-8.09'], Position: [' 0.02', '-0.08', '-1.56'] 
Timestamp: 1656014359.4938927, Acceleration: [' 0.21', ' 1.35', '-11.45'], Velocity: [' 0.14', ' 0.26', '-8.31'], Position: [' 0.02', '-0.07', '-1.65'] 
Timestamp: 1656014359.5037682, Acceleration: [' 0.36', ' 1.32', '-11.19'], Velocity: [' 0.14', ' 0.28', '-8.51'], Position: [' 0.02', '-0.07', '-1.73'] 
Timestamp: 1656014359.5135887, Acceleration: [' 1.04', ' 1.60', '-12.69'], Velocity: [' 0.15', ' 0.29', '-8.74'], Position: [' 0.02', '-0.07', '-1.82'] 
Timestamp: 1656014359.5236444, Acceleration: [' 0.95', ' 1.46', '-10.91'], Velocity: [' 0.16', ' 0.31', '-8.94'], Position: [' 0.02', '-0.07', '-1.91'] 
Timestamp: 1656014359.5337126, Acceleration: [' 1.68', ' 0.97', '-10.85'], Velocity: [' 0.18', ' 0.32', '-9.15'], Position: [' 0.03', '-0.06', '-2.01'] 
Timestamp: 1656014359.5436249, Acceleration: [' 0.51', ' 0.77', '-8.95'], Velocity: [' 0.18', ' 0.33', '-9.34'], Position: [' 0.03', '-0.06', '-2.10'] 
Timestamp: 1656014359.55357, Acceleration: [' 0.45', ' 0.81', '-10.13'], Velocity: [' 0.19', ' 0.33', '-9.54'], Position: [' 0.03', '-0.06', '-2.19'] 
Timestamp: 1656014359.5639215, Acceleration: ['-0.67', ' 1.46', '-10.77'], Velocity: [' 0.18', ' 0.35', '-9.75'], Position: [' 0.03', '-0.05', '-2.30'] 
Timestamp: 1656014359.5736055, Acceleration: [' 0.17', ' 1.45', '-11.78'], Velocity: [' 0.18', ' 0.36', '-9.96'], Position: [' 0.03', '-0.05', '-2.39'] 
Timestamp: 1656014359.583564, Acceleration: [' 0.28', ' 1.52', '-11.84'], Velocity: [' 0.19', ' 0.38', '-10.17'], Position: [' 0.04', '-0.04', '-2.50'] 
