Timestamp: 1656017642.9779413, Acceleration: ['-0.35', '-1.15', '11.50'], Velocity: ['-0.07', '-0.25', ' 0.36'], Position: ['-0.02', '-0.08', ' 0.12'] 
Timestamp: 1656017642.9854674, Acceleration: ['-0.27', '-1.56', '11.59'], Velocity: ['-0.08', '-0.26', ' 0.37'], Position: ['-0.02', '-0.08', ' 0.12'] 
Timestamp: 1656017642.9949415, Acceleration: ['-0.56', '-1.90', '11.24'], Velocity: ['-0.08', '-0.28', ' 0.39'], Position: ['-0.03', '-0.08', ' 0.12'] 
Timestamp: 1656017643.0014253, Acceleration: ['-0.45', '-1.86', '11.35'], Velocity: ['-0.08', '-0.29', ' 0.40'], Position: ['-0.03', '-0.09', ' 0.12'] 
Timestamp: 1656017643.013062, Acceleration: ['-0.45', '-1.08', '11.17'], Velocity: ['-0.09', '-0.30', ' 0.41'], Position: ['-0.03', '-0.09', ' 0.13'] 
Timestamp: 1656017643.0214722, Acceleration: ['-0.39', '-1.03', '11.01'], Velocity: ['-0.09', '-0.31', ' 0.42'], Position: ['-0.03', '-0.09', ' 0.13'] 
Timestamp: 1656017643.0314312, Acceleration: ['-0.19', '-0.94', '10.32'], Velocity: ['-0.09', '-0.32', ' 0.43'], Position: ['-0.03', '-0.09', ' 0.14'] 
Timestamp: 1656017643.041703, Acceleration: ['-0.08', '-0.88', '10.48'], Velocity: ['-0.10', '-0.33', ' 0.44'], Position: ['-0.03', '-0.10', ' 0.14'] 
Timestamp: 1656017643.0524352, Acceleration: ['-0.44', '-0.99', '10.49'], Velocity: ['-0.10', '-0.34', ' 0.44'], Position: ['-0.03', '-0.10', ' 0.15'] 
Timestamp: 1656017643.0623355, Acceleration: ['-0.11', '-0.71', '10.79'], Velocity: ['-0.10', '-0.34', ' 0.45'], Position: ['-0.03', '-0.11', ' 0.15'] 
Timestamp: 1656017643.0736241, Acceleration: ['-0.31', '-0.79', '10.93'], Velocity: ['-0.10', '-0.35', ' 0.47'], Position: ['-0.03', '-0.11', ' 0.16'] 
Timestamp: 1656017643.0835195, Acceleration: [' 0.11', '-0.64', '11.25'], Velocity: ['-0.10', '-0.36', ' 0.48'], Position: ['-0.03', '-0.11', ' 0.16'] 
Timestamp: 1656017643.0928814, Acceleration: [' 0.02', '-0.73', '11.45'], Velocity: ['-0.10', '-0.37', ' 0.50'], Position: ['-0.03', '-0.12', ' 0.17'] 
Timestamp: 1656017643.107284, Acceleration: [' 0.29', '-0.33', '10.25'], Velocity: ['-0.10', '-0.37', ' 0.50'], Position: ['-0.04', '-0.12', ' 0.17'] 
Timestamp: 1656017643.1153302, Acceleration: ['-0.62', '-0.82', '10.50'], Velocity: ['-0.10', '-0.38', ' 0.51'], Position: ['-0.04', '-0.12', ' 0.18'] 
Timestamp: 1656017643.1227798, Acceleration: ['-0.25', '-0.63', ' 9.84'], Velocity: ['-0.11', '-0.38', ' 0.51'], Position: ['-0.04', '-0.13', ' 0.18'] 
Timestamp: 1656017643.1361375, Acceleration: ['-0.13', '-0.78', '11.45'], Velocity: ['-0.11', '-0.39', ' 0.53'], Position: ['-0.04', '-0.13', ' 0.19'] 
Timestamp: 1656017643.143401, Acceleration: ['-0.01', '-0.46', '11.69'], Velocity: ['-0.11', '-0.40', ' 0.54'], Position: ['-0.04', '-0.14', ' 0.19'] 
Timestamp: 1656017643.1523573, Acceleration: ['-0.04', '-0.56', '11.59'], Velocity: ['-0.11', '-0.40', ' 0.56'], Position: ['-0.04', '-0.14', ' 0.20'] 
Timestamp: 1656017643.1640477, Acceleration: [' 0.36', '-0.46', '10.75'], Velocity: ['-0.10', '-0.41', ' 0.57'], Position: ['-0.04', '-0.14', ' 0.20'] 
Timestamp: 1656017643.172271, Acceleration: [' 0.30', '-0.37', '11.28'], Velocity: ['-0.10', '-0.41', ' 0.58'], Position: ['-0.04', '-0.15', ' 0.21'] 
Timestamp: 1656017643.1816347, Acceleration: [' 0.15', '-0.49', '10.41'], Velocity: ['-0.10', '-0.41', ' 0.59'], Position: ['-0.04', '-0.15', ' 0.21'] 
Timestamp: 1656017643.1932063, Acceleration: ['-0.36', '-0.64', '10.61'], Velocity: ['-0.10', '-0.42', ' 0.60'], Position: ['-0.05', '-0.16', ' 0.22'] 
Timestamp: 1656017643.2013502, Acceleration: ['-0.17', '-0.53', '10.64'], Velocity: ['-0.11', '-0.43', ' 0.60'], Position: ['-0.05', '-0.16', ' 0.23'] 
Timestamp: 1656017643.2134001, Acceleration: ['-0.16', '-0.53', '10.81'], Velocity: ['-0.11', '-0.43', ' 0.62'], Position: ['-0.05', '-0.17', ' 0.23'] 
Timestamp: 1656017643.2217627, Acceleration: ['-0.19', '-0.45', '10.49'], Velocity: ['-0.11', '-0.44', ' 0.62'], Position: ['-0.05', '-0.17', ' 0.24'] 
Timestamp: 1656017643.2317636, Acceleration: ['-0.29', '-0.48', '11.03'], Velocity: ['-0.11', '-0.44', ' 0.63'], Position: ['-0.05', '-0.17', ' 0.25'] 
Timestamp: 1656017643.2436116, Acceleration: ['-0.03', '-0.41', '11.16'], Velocity: ['-0.11', '-0.45', ' 0.65'], Position: ['-0.05', '-0.18', ' 0.25'] 
Timestamp: 1656017643.2520144, Acceleration: [' 0.15', '-0.47', '11.59'], Velocity: ['-0.11', '-0.45', ' 0.66'], Position: ['-0.05', '-0.18', ' 0.26'] 
Timestamp: 1656017643.2630007, Acceleration: ['-0.20', '-0.55', '10.00'], Velocity: ['-0.11', '-0.46', ' 0.67'], Position: ['-0.05', '-0.19', ' 0.27'] 
Timestamp: 1656017643.271499, Acceleration: [' 0.21', '-0.57', '10.34'], Velocity: ['-0.11', '-0.46', ' 0.67'], Position: ['-0.05', '-0.19', ' 0.27'] 
Timestamp: 1656017643.281356, Acceleration: ['-0.27', '-0.69', ' 9.75'], Velocity: ['-0.11', '-0.47', ' 0.67'], Position: ['-0.06', '-0.20', ' 0.28'] 
Timestamp: 1656017643.2915397, Acceleration: ['-0.66', '-0.67', '10.44'], Velocity: ['-0.12', '-0.47', ' 0.68'], Position: ['-0.06', '-0.20', ' 0.29'] 
Timestamp: 1656017643.3031414, Acceleration: ['-0.01', '-0.20', '11.45'], Velocity: ['-0.12', '-0.48', ' 0.70'], Position: ['-0.06', '-0.21', ' 0.29'] 
Timestamp: 1656017643.3133543, Acceleration: [' 0.39', '-0.36', '11.01'], Velocity: ['-0.12', '-0.48', ' 0.71'], Position: ['-0.06', '-0.21', ' 0.30'] 
Timestamp: 1656017643.329511, Acceleration: [' 0.28', '-0.33', '10.70'], Velocity: ['-0.11', '-0.49', ' 0.72'], Position: ['-0.06', '-0.22', ' 0.31'] 
Timestamp: 1656017643.3373764, Acceleration: [' 0.06', '-0.34', '11.33'], Velocity: ['-0.11', '-0.49', ' 0.73'], Position: ['-0.06', '-0.22', ' 0.32'] 
Timestamp: 1656017643.344564, Acceleration: ['-0.39', '-0.51', '10.98'], Velocity: ['-0.12', '-0.49', ' 0.74'], Position: ['-0.06', '-0.23', ' 0.32'] 
Timestamp: 1656017643.3521447, Acceleration: ['-0.30', '-0.44', '10.60'], Velocity: ['-0.12', '-0.50', ' 0.75'], Position: ['-0.06', '-0.23', ' 0.33'] 
Timestamp: 1656017643.3721619, Acceleration: ['-0.13', '-0.47', '10.71'], Velocity: ['-0.12', '-0.51', ' 0.77'], Position: ['-0.07', '-0.24', ' 0.35'] 
Timestamp: 1656017643.3794737, Acceleration: ['-0.44', '-0.58', '10.44'], Velocity: ['-0.12', '-0.51', ' 0.77'], Position: ['-0.07', '-0.24', ' 0.35'] 
Timestamp: 1656017643.3868456, Acceleration: ['-0.23', '-0.46', '10.27'], Velocity: ['-0.13', '-0.51', ' 0.77'], Position: ['-0.07', '-0.25', ' 0.36'] 
Timestamp: 1656017643.3944502, Acceleration: [' 0.02', '-0.31', '10.82'], Velocity: ['-0.13', '-0.52', ' 0.78'], Position: ['-0.07', '-0.25', ' 0.36'] 
Timestamp: 1656017643.406174, Acceleration: [' 0.05', '-0.23', '11.02'], Velocity: ['-0.12', '-0.52', ' 0.80'], Position: ['-0.07', '-0.26', ' 0.37'] 
Timestamp: 1656017643.4143357, Acceleration: ['-0.38', '-0.62', '10.07'], Velocity: ['-0.13', '-0.52', ' 0.80'], Position: ['-0.07', '-0.26', ' 0.38'] 
Timestamp: 1656017643.4234824, Acceleration: ['-0.52', '-0.46', '10.00'], Velocity: ['-0.13', '-0.53', ' 0.80'], Position: ['-0.07', '-0.27', ' 0.39'] 
Timestamp: 1656017643.4317946, Acceleration: ['-0.40', '-0.55', '10.16'], Velocity: ['-0.14', '-0.53', ' 0.80'], Position: ['-0.07', '-0.27', ' 0.39'] 
Timestamp: 1656017643.441631, Acceleration: ['-0.71', '-0.48', '10.80'], Velocity: ['-0.14', '-0.54', ' 0.81'], Position: ['-0.07', '-0.28', ' 0.40'] 
Timestamp: 1656017643.453085, Acceleration: [' 0.30', '-0.02', '11.44'], Velocity: ['-0.14', '-0.54', ' 0.83'], Position: ['-0.08', '-0.28', ' 0.41'] 
Timestamp: 1656017643.4615912, Acceleration: ['-0.08', '-0.15', '11.33'], Velocity: ['-0.14', '-0.54', ' 0.84'], Position: ['-0.08', '-0.29', ' 0.42'] 
Timestamp: 1656017643.4803815, Acceleration: [' 0.25', '-0.22', '10.77'], Velocity: ['-0.14', '-0.54', ' 0.86'], Position: ['-0.08', '-0.30', ' 0.43'] 
Timestamp: 1656017643.4880772, Acceleration: ['-0.11', '-0.25', '11.12'], Velocity: ['-0.14', '-0.54', ' 0.87'], Position: ['-0.08', '-0.30', ' 0.44'] 
Timestamp: 1656017643.4952254, Acceleration: ['-0.49', '-0.19', '10.78'], Velocity: ['-0.14', '-0.55', ' 0.88'], Position: ['-0.08', '-0.31', ' 0.45'] 
Timestamp: 1656017643.5030804, Acceleration: ['-0.34', '-0.28', '10.85'], Velocity: ['-0.14', '-0.55', ' 0.89'], Position: ['-0.08', '-0.31', ' 0.45'] 
Timestamp: 1656017643.516393, Acceleration: ['-0.52', '-0.43', '11.05'], Velocity: ['-0.15', '-0.55', ' 0.90'], Position: ['-0.09', '-0.32', ' 0.47'] 
Timestamp: 1656017643.5242949, Acceleration: ['-0.42', '-0.35', '10.81'], Velocity: ['-0.15', '-0.56', ' 0.91'], Position: ['-0.09', '-0.32', ' 0.47'] 
Timestamp: 1656017643.532254, Acceleration: ['-0.33', '-0.33', '11.09'], Velocity: ['-0.16', '-0.56', ' 0.92'], Position: ['-0.09', '-0.33', ' 0.48'] 
Timestamp: 1656017643.543635, Acceleration: ['-0.12', '-0.27', '10.85'], Velocity: ['-0.16', '-0.56', ' 0.93'], Position: ['-0.09', '-0.33', ' 0.49'] 
Timestamp: 1656017643.5513992, Acceleration: [' 0.14', '-0.10', '11.39'], Velocity: ['-0.16', '-0.56', ' 0.95'], Position: ['-0.09', '-0.34', ' 0.50'] 
Timestamp: 1656017643.5638256, Acceleration: ['-0.34', '-0.49', ' 9.91'], Velocity: ['-0.16', '-0.57', ' 0.95'], Position: ['-0.09', '-0.34', ' 0.51'] 
Timestamp: 1656017643.5722883, Acceleration: ['-0.48', '-0.50', ' 9.91'], Velocity: ['-0.16', '-0.57', ' 0.95'], Position: ['-0.09', '-0.35', ' 0.52'] 
Timestamp: 1656017643.5812376, Acceleration: ['-0.54', '-0.42', '10.10'], Velocity: ['-0.17', '-0.58', ' 0.95'], Position: ['-0.10', '-0.35', ' 0.53'] 
Timestamp: 1656017643.5918334, Acceleration: ['-0.72', '-0.23', '10.56'], Velocity: ['-0.18', '-0.58', ' 0.96'], Position: ['-0.10', '-0.36', ' 0.54'] 
