Timestamp: 1656017293.7266822, Acceleration: ['-0.29', ' 1.35', '27.15'], Velocity: ['-0.06', ' 0.29', ' 3.73'], Position: ['-0.02', ' 0.09', ' 1.20'] 
Timestamp: 1656017293.7337692, Acceleration: ['-0.24', ' 1.73', '26.69'], Velocity: ['-0.06', ' 0.30', ' 3.85'], Position: ['-0.02', ' 0.10', ' 1.23'] 
Timestamp: 1656017293.7402272, Acceleration: ['-0.34', ' 0.42', '27.29'], Velocity: ['-0.07', ' 0.30', ' 3.96'], Position: ['-0.02', ' 0.10', ' 1.26'] 
Timestamp: 1656017293.752843, Acceleration: ['-0.16', ' 1.39', '26.26'], Velocity: ['-0.07', ' 0.32', ' 4.17'], Position: ['-0.02', ' 0.10', ' 1.31'] 
Timestamp: 1656017293.7676005, Acceleration: ['-0.12', ' 1.81', '25.99'], Velocity: ['-0.07', ' 0.35', ' 4.41'], Position: ['-0.02', ' 0.11', ' 1.38'] 
Timestamp: 1656017293.7750459, Acceleration: ['-0.66', ' 0.45', '28.30'], Velocity: ['-0.07', ' 0.35', ' 4.55'], Position: ['-0.02', ' 0.11', ' 1.41'] 
Timestamp: 1656017293.7821999, Acceleration: ['-0.46', ' 0.75', '28.26'], Velocity: ['-0.08', ' 0.36', ' 4.68'], Position: ['-0.02', ' 0.11', ' 1.45'] 
Timestamp: 1656017293.7906146, Acceleration: ['-0.66', ' 1.51', '27.98'], Velocity: ['-0.08', ' 0.37', ' 4.83'], Position: ['-0.02', ' 0.12', ' 1.49'] 
Timestamp: 1656017293.8033774, Acceleration: ['-0.11', ' 0.80', '26.16'], Velocity: ['-0.08', ' 0.38', ' 5.04'], Position: ['-0.03', ' 0.12', ' 1.55'] 
Timestamp: 1656017293.8134599, Acceleration: [' 0.11', ' 1.28', '25.67'], Velocity: ['-0.08', ' 0.39', ' 5.20'], Position: ['-0.03', ' 0.12', ' 1.61'] 
Timestamp: 1656017293.8209941, Acceleration: [' 0.01', ' 0.28', '26.34'], Velocity: ['-0.08', ' 0.40', ' 5.33'], Position: ['-0.03', ' 0.13', ' 1.65'] 
Timestamp: 1656017293.8312173, Acceleration: ['-0.30', ' 1.15', '26.50'], Velocity: ['-0.09', ' 0.41', ' 5.50'], Position: ['-0.03', ' 0.13', ' 1.71'] 
Timestamp: 1656017293.8426366, Acceleration: ['-0.08', ' 1.19', '27.13'], Velocity: ['-0.09', ' 0.42', ' 5.69'], Position: ['-0.03', ' 0.14', ' 1.77'] 
Timestamp: 1656017293.850653, Acceleration: ['-0.23', ' 1.49', '26.96'], Velocity: ['-0.09', ' 0.43', ' 5.83'], Position: ['-0.03', ' 0.14', ' 1.82'] 
Timestamp: 1656017293.8633978, Acceleration: ['-0.25', ' 0.72', '27.96'], Velocity: ['-0.09', ' 0.44', ' 6.06'], Position: ['-0.03', ' 0.15', ' 1.90'] 
Timestamp: 1656017293.876501, Acceleration: ['-0.13', ' 0.70', '26.11'], Velocity: ['-0.09', ' 0.45', ' 6.28'], Position: ['-0.03', ' 0.15', ' 1.98'] 
Timestamp: 1656017293.8840926, Acceleration: ['-0.23', ' 1.00', '27.29'], Velocity: ['-0.10', ' 0.46', ' 6.41'], Position: ['-0.03', ' 0.16', ' 2.03'] 
Timestamp: 1656017293.8914623, Acceleration: ['-0.39', ' 0.66', '27.05'], Velocity: ['-0.10', ' 0.46', ' 6.54'], Position: ['-0.03', ' 0.16', ' 2.08'] 
Timestamp: 1656017293.9004872, Acceleration: ['-0.41', ' 0.65', '26.85'], Velocity: ['-0.10', ' 0.47', ' 6.69'], Position: ['-0.03', ' 0.16', ' 2.14'] 
Timestamp: 1656017293.913072, Acceleration: ['-0.09', ' 0.20', '26.68'], Velocity: ['-0.10', ' 0.47', ' 6.90'], Position: ['-0.04', ' 0.17', ' 2.23'] 
Timestamp: 1656017293.9227822, Acceleration: ['-0.23', ' 1.18', '26.60'], Velocity: ['-0.11', ' 0.48', ' 7.07'], Position: ['-0.04', ' 0.17', ' 2.30'] 
Timestamp: 1656017293.9303286, Acceleration: ['-0.18', ' 1.35', '26.63'], Velocity: ['-0.11', ' 0.49', ' 7.19'], Position: ['-0.04', ' 0.18', ' 2.35'] 
Timestamp: 1656017293.9404716, Acceleration: ['-0.50', ' 1.41', '26.78'], Velocity: ['-0.11', ' 0.51', ' 7.36'], Position: ['-0.04', ' 0.18', ' 2.43'] 
Timestamp: 1656017293.9504652, Acceleration: ['-0.36', ' 1.21', '27.79'], Velocity: ['-0.12', ' 0.52', ' 7.54'], Position: ['-0.04', ' 0.19', ' 2.50'] 
Timestamp: 1656017293.960659, Acceleration: ['-0.45', ' 1.40', '27.61'], Velocity: ['-0.12', ' 0.53', ' 7.73'], Position: ['-0.04', ' 0.19', ' 2.58'] 
Timestamp: 1656017293.9701715, Acceleration: ['-0.29', ' 0.66', '27.54'], Velocity: ['-0.12', ' 0.54', ' 7.89'], Position: ['-0.04', ' 0.20', ' 2.66'] 
Timestamp: 1656017293.98031, Acceleration: ['-0.45', ' 0.97', '27.44'], Velocity: ['-0.13', ' 0.55', ' 8.07'], Position: ['-0.04', ' 0.20', ' 2.74'] 
Timestamp: 1656017293.9954689, Acceleration: ['-0.34', ' 1.67', '27.53'], Velocity: ['-0.13', ' 0.58', ' 8.34'], Position: ['-0.05', ' 0.21', ' 2.87'] 
Timestamp: 1656017294.0025232, Acceleration: ['-0.26', ' 1.11', '26.56'], Velocity: ['-0.14', ' 0.58', ' 8.46'], Position: ['-0.05', ' 0.22', ' 2.93'] 
Timestamp: 1656017294.0103102, Acceleration: [' 0.08', ' 1.10', '25.45'], Velocity: ['-0.13', ' 0.59', ' 8.58'], Position: ['-0.05', ' 0.22', ' 3.00'] 
Timestamp: 1656017294.0202887, Acceleration: ['-0.14', ' 1.39', '26.37'], Velocity: ['-0.14', ' 0.61', ' 8.75'], Position: ['-0.05', ' 0.23', ' 3.09'] 
Timestamp: 1656017294.030321, Acceleration: ['-0.32', ' 1.96', '26.60'], Velocity: ['-0.14', ' 0.63', ' 8.92'], Position: ['-0.05', ' 0.23', ' 3.18'] 
Timestamp: 1656017294.0403605, Acceleration: ['-0.46', ' 1.48', '28.43'], Velocity: ['-0.14', ' 0.64', ' 9.10'], Position: ['-0.05', ' 0.24', ' 3.27'] 
Timestamp: 1656017294.0512924, Acceleration: ['-0.22', ' 0.33', '28.03'], Velocity: ['-0.15', ' 0.64', ' 9.30'], Position: ['-0.05', ' 0.25', ' 3.37'] 
Timestamp: 1656017294.0620618, Acceleration: ['-0.33', ' 0.69', '28.15'], Velocity: ['-0.15', ' 0.65', ' 9.50'], Position: ['-0.06', ' 0.26', ' 3.48'] 
Timestamp: 1656017294.07074, Acceleration: ['-0.06', ' 0.40', '26.47'], Velocity: ['-0.15', ' 0.66', ' 9.64'], Position: ['-0.06', ' 0.26', ' 3.56'] 
Timestamp: 1656017294.081655, Acceleration: ['-0.19', ' 1.22', '26.44'], Velocity: ['-0.15', ' 0.67', ' 9.82'], Position: ['-0.06', ' 0.27', ' 3.67'] 
Timestamp: 1656017294.090857, Acceleration: ['-0.13', ' 1.08', '26.71'], Velocity: ['-0.15', ' 0.68', ' 9.98'], Position: ['-0.06', ' 0.27', ' 3.76'] 
Timestamp: 1656017294.1009579, Acceleration: ['-0.32', ' 1.63', '26.80'], Velocity: ['-0.16', ' 0.70', '10.15'], Position: ['-0.06', ' 0.28', ' 3.86'] 
Timestamp: 1656017294.1118293, Acceleration: ['-0.19', ' 1.45', '26.55'], Velocity: ['-0.16', ' 0.71', '10.33'], Position: ['-0.06', ' 0.29', ' 3.98'] 
Timestamp: 1656017294.1257718, Acceleration: ['-0.43', ' 1.58', '27.68'], Velocity: ['-0.16', ' 0.73', '10.58'], Position: ['-0.07', ' 0.30', ' 4.13'] 
Timestamp: 1656017294.133412, Acceleration: ['-0.46', ' 0.56', '26.95'], Velocity: ['-0.17', ' 0.74', '10.71'], Position: ['-0.07', ' 0.31', ' 4.21'] 
Timestamp: 1656017294.1446276, Acceleration: ['-0.37', ' 0.58', '26.21'], Velocity: ['-0.17', ' 0.74', '10.90'], Position: ['-0.07', ' 0.31', ' 4.33'] 
Timestamp: 1656017294.1528254, Acceleration: ['-0.01', ' 0.21', '25.32'], Velocity: ['-0.17', ' 0.75', '11.03'], Position: ['-0.07', ' 0.32', ' 4.42'] 
Timestamp: 1656017294.160466, Acceleration: ['-0.14', ' 0.38', '26.73'], Velocity: ['-0.17', ' 0.75', '11.15'], Position: ['-0.07', ' 0.33', ' 4.51'] 
Timestamp: 1656017294.171396, Acceleration: ['-0.02', ' 1.31', '25.38'], Velocity: ['-0.17', ' 0.76', '11.32'], Position: ['-0.07', ' 0.33', ' 4.63'] 
Timestamp: 1656017294.183087, Acceleration: ['-0.22', ' 1.36', '27.93'], Velocity: ['-0.18', ' 0.78', '11.54'], Position: ['-0.08', ' 0.34', ' 4.77'] 
Timestamp: 1656017294.1904352, Acceleration: ['-0.39', ' 1.98', '26.93'], Velocity: ['-0.18', ' 0.79', '11.66'], Position: ['-0.08', ' 0.35', ' 4.86'] 
Timestamp: 1656017294.2052362, Acceleration: ['-0.24', ' 0.82', '26.60'], Velocity: ['-0.18', ' 0.81', '11.91'], Position: ['-0.08', ' 0.36', ' 5.03'] 
Timestamp: 1656017294.214449, Acceleration: ['-0.37', ' 0.94', '26.67'], Velocity: ['-0.19', ' 0.81', '12.07'], Position: ['-0.08', ' 0.37', ' 5.15'] 
Timestamp: 1656017294.2224827, Acceleration: ['-0.45', ' 0.97', '27.48'], Velocity: ['-0.19', ' 0.82', '12.21'], Position: ['-0.08', ' 0.38', ' 5.24'] 
Timestamp: 1656017294.2303438, Acceleration: ['-0.46', ' 0.96', '27.67'], Velocity: ['-0.19', ' 0.83', '12.35'], Position: ['-0.08', ' 0.38', ' 5.34'] 
Timestamp: 1656017294.2420862, Acceleration: ['-0.47', ' 0.41', '26.86'], Velocity: ['-0.20', ' 0.83', '12.55'], Position: ['-0.09', ' 0.39', ' 5.49'] 
Timestamp: 1656017294.2506864, Acceleration: ['-0.32', ' 0.74', '26.75'], Velocity: ['-0.20', ' 0.84', '12.69'], Position: ['-0.09', ' 0.40', ' 5.60'] 
Timestamp: 1656017294.2604065, Acceleration: [' 0.00', ' 0.96', '25.64'], Velocity: ['-0.20', ' 0.85', '12.85'], Position: ['-0.09', ' 0.41', ' 5.73'] 
Timestamp: 1656017294.2742903, Acceleration: ['-0.05', ' 1.61', '26.57'], Velocity: ['-0.20', ' 0.87', '13.08'], Position: ['-0.09', ' 0.42', ' 5.91'] 
Timestamp: 1656017294.281635, Acceleration: ['-0.39', ' 1.55', '28.24'], Velocity: ['-0.21', ' 0.88', '13.22'], Position: ['-0.09', ' 0.43', ' 6.01'] 
Timestamp: 1656017294.293166, Acceleration: ['-0.42', ' 0.71', '26.85'], Velocity: ['-0.21', ' 0.89', '13.41'], Position: ['-0.10', ' 0.44', ' 6.16'] 
Timestamp: 1656017294.3018913, Acceleration: ['-0.55', ' 1.24', '27.63'], Velocity: ['-0.21', ' 0.90', '13.57'], Position: ['-0.10', ' 0.44', ' 6.28'] 
Timestamp: 1656017294.3104904, Acceleration: ['-0.41', ' 0.36', '27.92'], Velocity: ['-0.22', ' 0.91', '13.72'], Position: ['-0.10', ' 0.45', ' 6.40'] 
Timestamp: 1656017294.3280506, Acceleration: ['-0.36', ' 0.53', '27.74'], Velocity: ['-0.22', ' 0.91', '14.04'], Position: ['-0.11', ' 0.47', ' 6.65'] 
Timestamp: 1656017294.3387482, Acceleration: ['-0.51', ' 1.28', '27.70'], Velocity: ['-0.23', ' 0.93', '14.23'], Position: ['-0.11', ' 0.48', ' 6.80'] 
Timestamp: 1656017294.345936, Acceleration: ['-0.28', ' 1.31', '27.21'], Velocity: ['-0.23', ' 0.94', '14.36'], Position: ['-0.11', ' 0.49', ' 6.91'] 
Timestamp: 1656017294.3534176, Acceleration: ['-0.32', ' 1.50', '27.51'], Velocity: ['-0.23', ' 0.95', '14.49'], Position: ['-0.11', ' 0.49', ' 7.02'] 
Timestamp: 1656017294.367896, Acceleration: ['-0.54', ' 1.24', '28.44'], Velocity: ['-0.24', ' 0.97', '14.76'], Position: ['-0.11', ' 0.51', ' 7.23'] 
Timestamp: 1656017294.378477, Acceleration: ['-0.27', ' 1.13', '26.08'], Velocity: ['-0.25', ' 0.98', '14.93'], Position: ['-0.12', ' 0.52', ' 7.39'] 
Timestamp: 1656017294.3863516, Acceleration: ['-0.19', ' 1.00', '25.47'], Velocity: ['-0.25', ' 0.99', '15.05'], Position: ['-0.12', ' 0.52', ' 7.51'] 
Timestamp: 1656017294.3932455, Acceleration: ['-0.28', ' 0.30', '26.82'], Velocity: ['-0.25', ' 0.99', '15.17'], Position: ['-0.12', ' 0.53', ' 7.61'] 
Timestamp: 1656017294.4036703, Acceleration: ['-0.29', ' 0.53', '25.54'], Velocity: ['-0.25', ' 0.99', '15.33'], Position: ['-0.12', ' 0.54', ' 7.77'] 
Timestamp: 1656017294.4108317, Acceleration: ['-0.30', ' 0.43', '26.63'], Velocity: ['-0.25', ' 1.00', '15.45'], Position: ['-0.13', ' 0.55', ' 7.89'] 
Timestamp: 1656017294.4213414, Acceleration: ['-0.15', ' 0.39', '25.68'], Velocity: ['-0.26', ' 1.00', '15.62'], Position: ['-0.13', ' 0.56', ' 8.05'] 
Timestamp: 1656017294.4340174, Acceleration: ['-0.47', ' 1.42', '27.93'], Velocity: ['-0.26', ' 1.02', '15.85'], Position: ['-0.13', ' 0.57', ' 8.25'] 
Timestamp: 1656017294.4417312, Acceleration: ['-0.36', ' 1.85', '26.75'], Velocity: ['-0.26', ' 1.03', '15.98'], Position: ['-0.13', ' 0.58', ' 8.38'] 
Timestamp: 1656017294.4504154, Acceleration: ['-0.50', ' 1.77', '26.65'], Velocity: ['-0.27', ' 1.05', '16.13'], Position: ['-0.14', ' 0.59', ' 8.52'] 
Timestamp: 1656017294.4677472, Acceleration: ['-0.32', ' 0.74', '26.85'], Velocity: ['-0.27', ' 1.06', '16.42'], Position: ['-0.14', ' 0.61', ' 8.80'] 
Timestamp: 1656017294.4750679, Acceleration: ['-0.16', ' 1.06', '26.00'], Velocity: ['-0.28', ' 1.07', '16.54'], Position: ['-0.14', ' 0.62', ' 8.93'] 
Timestamp: 1656017294.4839034, Acceleration: ['-0.16', ' 0.70', '25.71'], Velocity: ['-0.28', ' 1.08', '16.68'], Position: ['-0.15', ' 0.63', ' 9.07'] 
