Timestamp: 1656014575.6281347, Acceleration: ['-3.46', ' 0.06', '-9.06'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.01', '-1.49'] 
Timestamp: 1656014575.638031, Acceleration: ['-2.60', '-0.11', '-10.44'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.01', '-1.49'] 
Timestamp: 1656014575.6479695, Acceleration: ['-2.71', '-0.09', '-9.49'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.01', '-1.49'] 
Timestamp: 1656014575.6580675, Acceleration: ['-1.95', '-0.25', '-10.02'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', '-0.01', '-1.50'] 
Timestamp: 1656014575.6680126, Acceleration: ['-2.23', ' 0.02', '-10.07'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', '-0.01', '-1.50'] 
Timestamp: 1656014575.6779861, Acceleration: ['-1.72', '-0.11', '-9.41'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', '-0.01', '-1.50'] 
Timestamp: 1656014575.6881185, Acceleration: ['-1.81', '-0.14', '-9.31'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', '-0.01', '-1.50'] 
Timestamp: 1656014575.6979697, Acceleration: ['-1.96', '-0.36', '-7.59'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', '-0.01', '-1.51'] 
Timestamp: 1656014575.708022, Acceleration: ['-2.44', '-0.44', '-8.98'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', '-0.01', '-1.51'] 
Timestamp: 1656014575.718056, Acceleration: ['-3.35', '-0.02', '-8.91'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', '-0.01', '-1.51'] 
Timestamp: 1656014575.7281725, Acceleration: ['-2.78', '-0.15', '-10.75'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', '-0.01', '-1.52'] 
Timestamp: 1656014575.7378802, Acceleration: ['-2.81', ' 0.16', '-10.16'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', '-0.01', '-1.52'] 
Timestamp: 1656014575.751239, Acceleration: ['-1.62', '-0.33', '-9.35'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', '-0.01', '-1.52'] 
Timestamp: 1656014575.7584138, Acceleration: ['-1.68', '-0.29', '-9.63'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', '-0.01', '-1.52'] 
Timestamp: 1656014575.7679734, Acceleration: ['-1.65', '-0.26', '-9.16'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', '-0.01', '-1.53'] 
Timestamp: 1656014575.7781746, Acceleration: ['-1.81', '-0.27', '-9.85'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', '-0.01', '-1.53'] 
Timestamp: 1656014575.7880795, Acceleration: ['-2.09', '-0.14', '-8.12'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', '-0.01', '-1.53'] 
Timestamp: 1656014575.7979918, Acceleration: ['-2.15', '-0.48', '-9.13'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', '-0.01', '-1.54'] 
Timestamp: 1656014575.808007, Acceleration: ['-3.08', '-0.22', '-8.24'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', '-0.01', '-1.54'] 
Timestamp: 1656014575.8180454, Acceleration: ['-2.78', '-0.22', '-10.40'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', '-0.01', '-1.54'] 
Timestamp: 1656014575.827957, Acceleration: ['-2.81', ' 0.19', '-10.49'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', '-0.01', '-1.54'] 
Timestamp: 1656014575.8381217, Acceleration: ['-1.46', '-0.03', '-10.36'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', '-0.01', '-1.55'] 
Timestamp: 1656014575.8537364, Acceleration: ['-1.64', '-0.13', '-10.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', '-0.01', '-1.56'] 
Timestamp: 1656014575.8600996, Acceleration: ['-2.15', '-0.29', '-8.19'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', '-0.01', '-1.56'] 
Timestamp: 1656014575.8680706, Acceleration: ['-1.83', '-0.22', '-9.45'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', '-0.01', '-1.56'] 
Timestamp: 1656014575.8794086, Acceleration: ['-2.22', '-0.14', '-8.29'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', '-0.01', '-1.56'] 
Timestamp: 1656014575.8901124, Acceleration: ['-2.88', '-0.20', '-9.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', '-0.01', '-1.57'] 
Timestamp: 1656014575.8980043, Acceleration: ['-2.76', '-0.18', '-8.42'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', '-0.01', '-1.57'] 
Timestamp: 1656014575.9086735, Acceleration: ['-2.23', '-0.26', '-9.82'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', '-0.01', '-1.57'] 
Timestamp: 1656014575.9184606, Acceleration: ['-2.90', ' 0.18', '-10.36'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', '-0.01', '-1.57'] 
Timestamp: 1656014575.928042, Acceleration: ['-1.74', ' 0.12', '-10.73'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', '-0.01', '-1.58'] 
Timestamp: 1656014575.9379714, Acceleration: ['-1.42', ' 0.10', '-10.39'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', '-0.01', '-1.58'] 
Timestamp: 1656014575.9495592, Acceleration: ['-1.12', '-0.37', '-8.55'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', '-0.01', '-1.58'] 
Timestamp: 1656014575.958066, Acceleration: ['-2.30', '-0.17', '-8.95'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', '-0.01', '-1.58'] 
Timestamp: 1656014575.9681325, Acceleration: ['-2.06', '-0.16', '-7.94'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.59'] 
Timestamp: 1656014575.978161, Acceleration: ['-2.99', ' 0.05', '-9.75'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.59'] 
Timestamp: 1656014575.9879885, Acceleration: ['-1.85', '-0.14', '-9.07'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.59'] 
Timestamp: 1656014575.997966, Acceleration: ['-2.29', '-0.13', '-9.90'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.60'] 
Timestamp: 1656014576.0082102, Acceleration: ['-1.52', '-0.14', '-9.65'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.60'] 
Timestamp: 1656014576.0179718, Acceleration: ['-1.61', ' 0.11', '-10.20'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.60'] 
Timestamp: 1656014576.0279775, Acceleration: ['-1.30', '-0.04', '-10.68'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.60'] 
Timestamp: 1656014576.0380998, Acceleration: ['-0.86', '-0.21', '-9.13'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.61'] 
Timestamp: 1656014576.0480533, Acceleration: ['-1.73', '-0.34', '-7.45'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.61'] 
Timestamp: 1656014576.0581086, Acceleration: ['-1.91', '-0.35', '-9.12'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.61'] 
