Timestamp: 1656014489.5056732, Acceleration: [' 0.40', '-0.61', ' 7.66'], Velocity: [' 0.09', '-0.13', '-0.46'], Position: [' 0.03', '-0.04', '-0.15'] 
Timestamp: 1656014489.5130315, Acceleration: [' 0.59', '-1.60', ' 6.78'], Velocity: [' 0.09', '-0.14', '-0.48'], Position: [' 0.03', '-0.04', '-0.15'] 
Timestamp: 1656014489.5193884, Acceleration: [' 0.79', '-1.24', ' 5.81'], Velocity: [' 0.09', '-0.15', '-0.51'], Position: [' 0.03', '-0.04', '-0.15'] 
Timestamp: 1656014489.529225, Acceleration: [' 0.76', '-1.36', ' 5.28'], Velocity: [' 0.10', '-0.16', '-0.55'], Position: [' 0.03', '-0.05', '-0.16'] 
Timestamp: 1656014489.543058, Acceleration: [' 0.53', ' 0.56', ' 6.59'], Velocity: [' 0.11', '-0.16', '-0.60'], Position: [' 0.03', '-0.05', '-0.17'] 
Timestamp: 1656014489.5519557, Acceleration: [' 0.56', ' 0.49', ' 6.49'], Velocity: [' 0.11', '-0.15', '-0.63'], Position: [' 0.03', '-0.05', '-0.17'] 
Timestamp: 1656014489.562533, Acceleration: [' 0.60', '-0.24', ' 5.63'], Velocity: [' 0.12', '-0.15', '-0.67'], Position: [' 0.03', '-0.05', '-0.18'] 
Timestamp: 1656014489.5721529, Acceleration: [' 0.61', '-0.24', ' 5.73'], Velocity: [' 0.13', '-0.16', '-0.71'], Position: [' 0.03', '-0.05', '-0.19'] 
Timestamp: 1656014489.5816815, Acceleration: [' 0.58', '-0.54', ' 6.67'], Velocity: [' 0.13', '-0.16', '-0.74'], Position: [' 0.04', '-0.05', '-0.20'] 
Timestamp: 1656014489.5898423, Acceleration: [' 0.68', '-0.09', ' 5.87'], Velocity: [' 0.14', '-0.16', '-0.77'], Position: [' 0.04', '-0.05', '-0.20'] 
Timestamp: 1656014489.6015203, Acceleration: [' 0.57', '-0.38', ' 6.33'], Velocity: [' 0.14', '-0.17', '-0.81'], Position: [' 0.04', '-0.06', '-0.21'] 
Timestamp: 1656014489.6102302, Acceleration: [' 0.72', '-0.87', ' 5.11'], Velocity: [' 0.15', '-0.17', '-0.85'], Position: [' 0.04', '-0.06', '-0.22'] 
Timestamp: 1656014489.6192422, Acceleration: [' 0.57', '-0.93', ' 4.96'], Velocity: [' 0.16', '-0.18', '-0.90'], Position: [' 0.04', '-0.06', '-0.23'] 
Timestamp: 1656014489.6292603, Acceleration: [' 0.58', '-1.53', ' 7.19'], Velocity: [' 0.16', '-0.20', '-0.92'], Position: [' 0.04', '-0.06', '-0.24'] 
Timestamp: 1656014489.6409943, Acceleration: [' 0.34', '-0.50', ' 7.43'], Velocity: [' 0.17', '-0.20', '-0.95'], Position: [' 0.05', '-0.06', '-0.25'] 
Timestamp: 1656014489.6518598, Acceleration: [' 0.42', ' 0.24', ' 5.99'], Velocity: [' 0.17', '-0.20', '-0.99'], Position: [' 0.05', '-0.07', '-0.26'] 
Timestamp: 1656014489.6601129, Acceleration: [' 0.48', ' 0.62', ' 6.74'], Velocity: [' 0.17', '-0.20', '-1.02'], Position: [' 0.05', '-0.07', '-0.27'] 
Timestamp: 1656014489.6711226, Acceleration: [' 0.72', '-0.05', ' 5.60'], Velocity: [' 0.18', '-0.20', '-1.06'], Position: [' 0.05', '-0.07', '-0.28'] 
Timestamp: 1656014489.6793613, Acceleration: [' 0.64', '-0.15', ' 5.72'], Velocity: [' 0.19', '-0.20', '-1.10'], Position: [' 0.05', '-0.07', '-0.29'] 
Timestamp: 1656014489.6890008, Acceleration: [' 0.65', '-0.64', ' 5.94'], Velocity: [' 0.19', '-0.20', '-1.14'], Position: [' 0.05', '-0.07', '-0.30'] 
Timestamp: 1656014489.7029054, Acceleration: [' 0.65', '-0.34', ' 7.59'], Velocity: [' 0.20', '-0.21', '-1.17'], Position: [' 0.06', '-0.08', '-0.32'] 
Timestamp: 1656014489.7095628, Acceleration: [' 0.71', '-0.78', ' 6.94'], Velocity: [' 0.21', '-0.21', '-1.19'], Position: [' 0.06', '-0.08', '-0.33'] 
Timestamp: 1656014489.719291, Acceleration: [' 0.54', '-1.22', ' 6.40'], Velocity: [' 0.21', '-0.23', '-1.22'], Position: [' 0.06', '-0.08', '-0.34'] 
Timestamp: 1656014489.7293413, Acceleration: [' 0.59', '-0.40', ' 8.21'], Velocity: [' 0.22', '-0.23', '-1.23'], Position: [' 0.06', '-0.08', '-0.35'] 
Timestamp: 1656014489.7393136, Acceleration: [' 0.25', '-0.49', ' 7.33'], Velocity: [' 0.22', '-0.23', '-1.26'], Position: [' 0.06', '-0.09', '-0.36'] 
Timestamp: 1656014489.750292, Acceleration: [' 0.42', ' 0.72', ' 7.34'], Velocity: [' 0.23', '-0.23', '-1.29'], Position: [' 0.07', '-0.09', '-0.38'] 
Timestamp: 1656014489.759301, Acceleration: [' 0.44', ' 0.10', ' 5.81'], Velocity: [' 0.23', '-0.23', '-1.32'], Position: [' 0.07', '-0.09', '-0.39'] 
Timestamp: 1656014489.7691302, Acceleration: [' 0.66', ' 0.02', ' 5.27'], Velocity: [' 0.24', '-0.23', '-1.37'], Position: [' 0.07', '-0.09', '-0.40'] 
Timestamp: 1656014489.7793882, Acceleration: [' 0.63', '-0.94', ' 6.11'], Velocity: [' 0.24', '-0.23', '-1.41'], Position: [' 0.07', '-0.09', '-0.42'] 
Timestamp: 1656014489.7891808, Acceleration: [' 0.57', '-1.14', ' 5.95'], Velocity: [' 0.25', '-0.25', '-1.44'], Position: [' 0.08', '-0.10', '-0.43'] 
Timestamp: 1656014489.8076527, Acceleration: [' 0.52', '-0.89', ' 6.02'], Velocity: [' 0.26', '-0.26', '-1.51'], Position: [' 0.08', '-0.10', '-0.46'] 
Timestamp: 1656014489.8143225, Acceleration: [' 0.55', '-0.01', ' 6.16'], Velocity: [' 0.26', '-0.26', '-1.54'], Position: [' 0.08', '-0.10', '-0.47'] 
Timestamp: 1656014489.8209755, Acceleration: [' 0.46', '-0.45', ' 6.86'], Velocity: [' 0.26', '-0.27', '-1.56'], Position: [' 0.09', '-0.11', '-0.48'] 
Timestamp: 1656014489.8293939, Acceleration: [' 0.37', '-0.54', ' 6.88'], Velocity: [' 0.27', '-0.27', '-1.58'], Position: [' 0.09', '-0.11', '-0.49'] 
Timestamp: 1656014489.8397527, Acceleration: [' 0.44', ' 0.49', ' 7.50'], Velocity: [' 0.27', '-0.26', '-1.61'], Position: [' 0.09', '-0.11', '-0.51'] 
Timestamp: 1656014489.8494487, Acceleration: [' 0.32', ' 0.01', ' 6.19'], Velocity: [' 0.27', '-0.26', '-1.64'], Position: [' 0.09', '-0.11', '-0.53'] 
Timestamp: 1656014489.8596299, Acceleration: [' 0.59', ' 0.26', ' 5.45'], Velocity: [' 0.28', '-0.26', '-1.68'], Position: [' 0.10', '-0.12', '-0.54'] 
Timestamp: 1656014489.8698175, Acceleration: [' 0.70', '-0.61', ' 5.83'], Velocity: [' 0.29', '-0.27', '-1.73'], Position: [' 0.10', '-0.12', '-0.56'] 
Timestamp: 1656014489.879142, Acceleration: [' 0.67', '-1.23', ' 5.67'], Velocity: [' 0.29', '-0.28', '-1.76'], Position: [' 0.10', '-0.12', '-0.58'] 
