Timestamp: 1656013860.1143684, Acceleration: ['-0.77', ' 0.15', '10.50'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.1245644, Acceleration: ['-0.23', ' 0.16', ' 9.36'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.1343255, Acceleration: ['-0.93', ' 0.21', '10.43'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.144311, Acceleration: ['-0.58', '-0.02', ' 9.13'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.1544414, Acceleration: ['-1.08', '-0.06', ' 9.22'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.164411, Acceleration: ['-1.02', '-0.18', ' 9.43'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.1743908, Acceleration: ['-0.93', '-0.13', '10.40'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.1872885, Acceleration: ['-0.99', '-0.05', ' 9.53'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.2011743, Acceleration: ['-0.69', ' 0.13', '10.69'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.2075424, Acceleration: ['-0.66', '-0.08', ' 9.41'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.2143383, Acceleration: ['-0.30', ' 0.10', ' 9.96'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.2245123, Acceleration: ['-0.79', ' 0.16', ' 9.46'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.234381, Acceleration: ['-0.56', ' 0.02', ' 9.40'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.2444408, Acceleration: ['-0.91', '-0.06', ' 9.67'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.2543678, Acceleration: ['-1.08', '-0.15', ' 8.97'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.2643003, Acceleration: ['-0.94', '-0.22', '10.19'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.274293, Acceleration: ['-1.08', '-0.04', ' 9.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.2844782, Acceleration: ['-0.47', ' 0.03', '10.71'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.2942455, Acceleration: ['-0.63', ' 0.23', ' 9.99'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.3042662, Acceleration: ['-0.29', ' 0.08', ' 9.91'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.3146882, Acceleration: ['-0.69', ' 0.16', ' 9.64'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.3244293, Acceleration: ['-0.76', ' 0.02', ' 9.11'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.334532, Acceleration: ['-0.79', '-0.08', ' 9.92'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.3443916, Acceleration: ['-1.08', '-0.10', ' 9.03'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.3563554, Acceleration: ['-0.69', '-0.08', '10.42'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.3643522, Acceleration: ['-1.12', '-0.05', ' 9.68'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.3744256, Acceleration: ['-0.52', '-0.00', '10.32'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.3844132, Acceleration: ['-0.60', ' 0.22', '10.28'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.3942082, Acceleration: ['-0.32', ' 0.13', ' 9.75'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.404338, Acceleration: ['-0.44', ' 0.18', ' 9.76'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.4144404, Acceleration: ['-0.75', ' 0.13', ' 8.88'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.4243531, Acceleration: ['-0.74', '-0.22', ' 9.90'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.4345727, Acceleration: ['-1.08', '-0.01', ' 9.20'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.4444616, Acceleration: ['-0.73', '-0.18', ' 9.98'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.4544356, Acceleration: ['-1.16', '-0.06', ' 9.83'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.4643211, Acceleration: ['-0.65', ' 0.02', '10.08'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.474483, Acceleration: ['-0.68', '-0.00', '10.43'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.4844463, Acceleration: ['-0.51', ' 0.16', ' 9.76'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.494439, Acceleration: ['-0.36', ' 0.19', '10.15'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.505176, Acceleration: ['-0.63', '-0.03', ' 9.63'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.5143144, Acceleration: ['-0.56', ' 0.03', ' 9.57'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.5248427, Acceleration: ['-0.66', '-0.04', ' 9.05'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.534667, Acceleration: ['-0.75', '-0.07', '10.00'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.5443966, Acceleration: ['-0.72', '-0.19', '10.13'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.555291, Acceleration: ['-0.51', '-0.04', ' 9.89'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.5645518, Acceleration: ['-0.60', ' 0.16', '10.55'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.574325, Acceleration: ['-0.11', ' 0.27', ' 9.54'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.5843036, Acceleration: ['-0.74', ' 0.02', '10.31'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.5942483, Acceleration: ['-0.72', ' 0.14', ' 9.25'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.605783, Acceleration: ['-0.96', ' 0.02', ' 9.28'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.614336, Acceleration: ['-0.85', ' 0.04', ' 9.34'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.6247084, Acceleration: ['-0.84', '-0.09', '10.45'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.6343374, Acceleration: ['-0.74', ' 0.02', '10.54'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.6443734, Acceleration: ['-0.31', ' 0.10', ' 9.79'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.655175, Acceleration: ['-0.60', ' 0.08', '10.55'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.6644475, Acceleration: ['-0.15', ' 0.18', '10.15'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.674875, Acceleration: ['-0.57', ' 0.18', ' 9.48'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.6845102, Acceleration: ['-0.45', ' 0.00', ' 9.29'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.6947188, Acceleration: ['-0.75', '-0.02', ' 9.61'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.7043898, Acceleration: ['-0.94', '-0.10', ' 9.13'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.7144115, Acceleration: ['-0.77', '-0.13', '10.39'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.7246234, Acceleration: ['-0.92', ' 0.01', ' 9.71'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.7344065, Acceleration: ['-0.24', ' 0.03', '10.79'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.7442298, Acceleration: ['-0.56', ' 0.23', '10.57'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.7547264, Acceleration: ['-0.04', ' 0.09', ' 9.81'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.7702134, Acceleration: ['-0.70', '-0.01', ' 9.68'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.7764912, Acceleration: ['-0.89', '-0.01', ' 9.16'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.7842414, Acceleration: ['-0.56', '-0.05', ' 9.90'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.7945814, Acceleration: ['-0.93', '-0.02', ' 9.00'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.804185, Acceleration: ['-0.60', '-0.16', '10.20'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.8144562, Acceleration: ['-1.00', ' 0.01', ' 9.72'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.8243973, Acceleration: ['-0.41', '-0.01', '10.52'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.8346517, Acceleration: ['-0.50', ' 0.22', '10.12'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.8442929, Acceleration: ['-0.21', ' 0.28', ' 9.59'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.8546028, Acceleration: ['-0.30', ' 0.23', ' 9.94'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.864273, Acceleration: ['-0.57', ' 0.09', ' 8.83'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.8743646, Acceleration: ['-0.45', ' 0.01', ' 9.94'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.884528, Acceleration: ['-0.99', ' 0.00', ' 9.19'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.8942945, Acceleration: ['-0.59', '-0.15', ' 9.97'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.904171, Acceleration: ['-0.94', ' 0.03', ' 9.69'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.9144316, Acceleration: ['-0.54', ' 0.03', '10.03'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.9243197, Acceleration: ['-0.35', ' 0.20', '10.54'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.936086, Acceleration: ['-0.62', ' 0.17', ' 8.83'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.9477882, Acceleration: ['-0.04', ' 0.30', '10.13'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.9543185, Acceleration: ['-0.51', ' 0.17', ' 8.82'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.9643364, Acceleration: ['-0.43', ' 0.13', ' 9.68'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.9744604, Acceleration: ['-0.92', '-0.02', ' 9.22'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.9844465, Acceleration: ['-0.71', '-0.13', '10.10'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013860.9942026, Acceleration: ['-0.62', ' 0.01', '10.15'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013861.0043612, Acceleration: ['-0.54', ' 0.11', ' 9.71'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013861.015915, Acceleration: ['-0.48', ' 0.16', ' 9.48'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013861.0245807, Acceleration: [' 0.06', ' 0.23', ' 9.53'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013861.03576, Acceleration: [' 0.19', ' 0.27', '10.42'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013861.0455313, Acceleration: ['-0.27', ' 0.12', ' 9.59'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013861.054419, Acceleration: ['-0.91', '-0.00', ' 9.45'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013861.0677032, Acceleration: ['-0.67', ' 0.08', ' 9.93'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013861.075023, Acceleration: ['-0.72', '-0.09', '10.48'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013861.0845926, Acceleration: ['-0.64', ' 0.10', '10.37'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013861.0950668, Acceleration: ['-0.68', ' 0.13', '10.54'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013861.1045928, Acceleration: ['-0.51', ' 0.16', '10.49'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013861.1175284, Acceleration: [' 0.01', ' 0.21', ' 9.44'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013861.1243517, Acceleration: ['-0.49', ' 0.09', '10.13'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013861.1353824, Acceleration: ['-0.29', ' 0.05', ' 9.31'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013861.1443577, Acceleration: ['-0.61', ' 0.02', ' 9.20'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013861.1543405, Acceleration: ['-0.84', ' 0.01', ' 9.48'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013861.1644802, Acceleration: ['-0.51', '-0.10', ' 9.07'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013861.174438, Acceleration: ['-0.79', ' 0.14', '10.26'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013861.1844125, Acceleration: ['-0.03', ' 0.09', ' 9.70'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013861.194405, Acceleration: ['-0.35', ' 0.32', '10.41'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013861.2045903, Acceleration: ['-0.02', ' 0.21', ' 9.64'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
Timestamp: 1656013861.214352, Acceleration: ['-0.34', ' 0.20', ' 9.89'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.03', ' 0.00'] 
