Timestamp: 1647980865.5341249, Acceleration: ['-0.32', ' 0.42', ' 9.85'], Velocity: ['-0.07', ' 0.09', ' 0.01'], Position: ['-0.02', ' 0.03', ' 0.00'] 
Timestamp: 1647980865.541371, Acceleration: ['-0.33', ' 0.64', ' 9.66'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: ['-0.02', ' 0.03', ' 0.00'] 
Timestamp: 1647980865.5476353, Acceleration: ['-0.33', ' 0.61', ' 9.75'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: ['-0.02', ' 0.03', ' 0.00'] 
Timestamp: 1647980865.5571818, Acceleration: ['-0.30', ' 0.63', ' 9.73'], Velocity: ['-0.00', ' 0.01', '-0.00'], Position: ['-0.02', ' 0.03', ' 0.00'] 
Timestamp: 1647980865.5669837, Acceleration: ['-0.31', ' 0.55', ' 9.80'], Velocity: ['-0.00', ' 0.01', '-0.00'], Position: ['-0.02', ' 0.03', ' 0.00'] 
Timestamp: 1647980865.5774345, Acceleration: ['-0.23', ' 0.29', ' 9.85'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.03', ' 0.00'] 
Timestamp: 1647980865.5866463, Acceleration: ['-0.18', ' 0.36', ' 9.77'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: ['-0.02', ' 0.03', ' 0.00'] 
Timestamp: 1647980865.5968118, Acceleration: ['-0.28', ' 0.50', ' 9.69'], Velocity: ['-0.00', ' 0.01', '-0.00'], Position: ['-0.02', ' 0.03', ' 0.00'] 
Timestamp: 1647980865.6067643, Acceleration: ['-0.37', ' 0.64', ' 9.76'], Velocity: ['-0.00', ' 0.01', '-0.00'], Position: ['-0.02', ' 0.03', ' 0.00'] 
Timestamp: 1647980865.6166458, Acceleration: ['-0.27', ' 0.50', ' 9.83'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.03', ' 0.00'] 
Timestamp: 1647980865.6266468, Acceleration: ['-0.18', ' 0.32', ' 9.86'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.03', ' 0.00'] 
Timestamp: 1647980865.636922, Acceleration: ['-0.29', ' 0.31', ' 9.71'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: ['-0.02', ' 0.03', ' 0.00'] 
Timestamp: 1647980865.6466603, Acceleration: ['-0.24', ' 0.51', ' 9.56'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: ['-0.02', ' 0.03', ' 0.00'] 
Timestamp: 1647980865.6567092, Acceleration: ['-0.32', ' 0.67', ' 9.72'], Velocity: ['-0.00', ' 0.01', '-0.00'], Position: ['-0.02', ' 0.03', ' 0.00'] 
Timestamp: 1647980865.6666286, Acceleration: ['-0.28', ' 0.52', ' 9.81'], Velocity: ['-0.00', ' 0.01', ' 0.00'], Position: ['-0.02', ' 0.03', ' 0.00'] 
