Timestamp: 1652973983.4234552, Acceleration: [' 0.17', '-0.28', ' 9.74'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.01', '-0.02', '-0.01'] 
Timestamp: 1652973983.4344964, Acceleration: [' 0.26', '-0.25', ' 9.91'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.01', '-0.02', '-0.01'] 
Timestamp: 1652973983.4448946, Acceleration: [' 0.33', '-0.14', ' 9.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.01', '-0.02', '-0.01'] 
Timestamp: 1652973983.4522605, Acceleration: [' 0.44', '-0.06', '10.10'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.01', '-0.02', '-0.01'] 
Timestamp: 1652973983.4591317, Acceleration: [' 0.35', '-0.13', ' 9.74'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.01', '-0.02', '-0.01'] 
Timestamp: 1652973983.4704385, Acceleration: [' 0.33', '-0.09', ' 9.89'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.01', '-0.02', '-0.01'] 
Timestamp: 1652973983.4777205, Acceleration: [' 0.25', '-0.20', ' 9.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.01', '-0.02', '-0.01'] 
Timestamp: 1652973983.4905996, Acceleration: [' 0.38', '-0.07', '10.00'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.01', '-0.02', '-0.01'] 
Timestamp: 1652973983.4984262, Acceleration: [' 0.35', '-0.04', ' 9.86'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.01', '-0.02', '-0.01'] 
Timestamp: 1652973983.5113842, Acceleration: [' 0.35', '-0.23', ' 9.96'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.01', '-0.02', '-0.01'] 
Timestamp: 1652973983.5213134, Acceleration: [' 0.38', '-0.09', ' 9.92'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.01', '-0.02', '-0.01'] 
Timestamp: 1652973983.5285003, Acceleration: [' 0.36', '-0.08', ' 9.73'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.01', '-0.02', '-0.01'] 
Timestamp: 1652973983.5504131, Acceleration: [' 0.36', '-0.03', ' 9.96'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.02', '-0.02', '-0.01'] 
