Timestamp: 1656016617.9454072, Acceleration: [' 0.15', '-0.54', ' 7.31'], Velocity: [' 0.03', '-0.12', '-0.54'], Position: [' 0.01', '-0.04', '-0.17'] 
Timestamp: 1656016617.9524405, Acceleration: [' 0.08', '-0.70', ' 8.36'], Velocity: [' 0.03', '-0.12', '-0.55'], Position: [' 0.01', '-0.04', '-0.18'] 
Timestamp: 1656016617.9586608, Acceleration: [' 0.16', ' 0.28', ' 7.91'], Velocity: [' 0.03', '-0.12', '-0.56'], Position: [' 0.01', '-0.04', '-0.18'] 
Timestamp: 1656016617.9689062, Acceleration: [' 0.28', '-0.09', ' 8.56'], Velocity: [' 0.04', '-0.12', '-0.57'], Position: [' 0.01', '-0.04', '-0.18'] 
Timestamp: 1656016617.980959, Acceleration: ['-0.00', '-0.77', ' 8.50'], Velocity: [' 0.04', '-0.13', '-0.59'], Position: [' 0.01', '-0.04', '-0.19'] 
Timestamp: 1656016617.9889123, Acceleration: ['-0.11', '-0.67', ' 9.00'], Velocity: [' 0.04', '-0.13', '-0.59'], Position: [' 0.01', '-0.04', '-0.20'] 
Timestamp: 1656016618.0017617, Acceleration: ['-0.37', '-0.63', ' 6.45'], Velocity: [' 0.03', '-0.14', '-0.64'], Position: [' 0.01', '-0.04', '-0.21'] 
Timestamp: 1656016618.0115778, Acceleration: [' 0.15', '-0.33', ' 7.08'], Velocity: [' 0.03', '-0.15', '-0.66'], Position: [' 0.01', '-0.05', '-0.21'] 
Timestamp: 1656016618.0191903, Acceleration: [' 0.41', '-0.12', ' 6.88'], Velocity: [' 0.04', '-0.15', '-0.68'], Position: [' 0.01', '-0.05', '-0.22'] 
Timestamp: 1656016618.0288577, Acceleration: [' 0.75', '-0.01', ' 7.04'], Velocity: [' 0.04', '-0.15', '-0.71'], Position: [' 0.01', '-0.05', '-0.22'] 
Timestamp: 1656016618.0417342, Acceleration: [' 1.06', ' 0.18', ' 8.34'], Velocity: [' 0.06', '-0.14', '-0.73'], Position: [' 0.01', '-0.05', '-0.23'] 
Timestamp: 1656016618.048983, Acceleration: [' 0.37', '-0.39', ' 8.30'], Velocity: [' 0.06', '-0.15', '-0.74'], Position: [' 0.01', '-0.05', '-0.24'] 
Timestamp: 1656016618.0590122, Acceleration: [' 0.44', '-0.32', ' 8.40'], Velocity: [' 0.06', '-0.15', '-0.76'], Position: [' 0.02', '-0.05', '-0.25'] 
Timestamp: 1656016618.0698423, Acceleration: ['-0.04', '-0.62', ' 8.50'], Velocity: [' 0.06', '-0.16', '-0.77'], Position: [' 0.02', '-0.05', '-0.26'] 
Timestamp: 1656016618.078867, Acceleration: [' 0.11', '-0.55', ' 8.75'], Velocity: [' 0.06', '-0.16', '-0.78'], Position: [' 0.02', '-0.06', '-0.26'] 
Timestamp: 1656016618.088902, Acceleration: ['-0.25', '-0.68', ' 7.79'], Velocity: [' 0.06', '-0.17', '-0.80'], Position: [' 0.02', '-0.06', '-0.27'] 
Timestamp: 1656016618.0989199, Acceleration: [' 0.57', ' 0.04', ' 6.68'], Velocity: [' 0.07', '-0.17', '-0.83'], Position: [' 0.02', '-0.06', '-0.28'] 
Timestamp: 1656016618.1090293, Acceleration: [' 0.58', '-0.06', ' 7.48'], Velocity: [' 0.07', '-0.17', '-0.85'], Position: [' 0.02', '-0.06', '-0.29'] 
Timestamp: 1656016618.118876, Acceleration: [' 1.25', ' 0.29', ' 7.82'], Velocity: [' 0.09', '-0.17', '-0.87'], Position: [' 0.02', '-0.06', '-0.30'] 
Timestamp: 1656016618.1288188, Acceleration: [' 0.74', '-0.25', ' 9.35'], Velocity: [' 0.09', '-0.17', '-0.88'], Position: [' 0.02', '-0.06', '-0.31'] 
Timestamp: 1656016618.1392775, Acceleration: [' 0.61', '-0.28', ' 9.00'], Velocity: [' 0.10', '-0.17', '-0.89'], Position: [' 0.02', '-0.07', '-0.31'] 
Timestamp: 1656016618.1488554, Acceleration: ['-0.25', '-0.52', ' 8.60'], Velocity: [' 0.10', '-0.18', '-0.90'], Position: [' 0.02', '-0.07', '-0.32'] 
Timestamp: 1656016618.1592977, Acceleration: ['-0.07', '-0.48', ' 7.60'], Velocity: [' 0.10', '-0.18', '-0.92'], Position: [' 0.02', '-0.07', '-0.33'] 
Timestamp: 1656016618.1687608, Acceleration: ['-0.09', '-0.27', ' 7.04'], Velocity: [' 0.10', '-0.18', '-0.95'], Position: [' 0.02', '-0.07', '-0.34'] 
Timestamp: 1656016618.179379, Acceleration: [' 0.44', '-0.23', ' 7.31'], Velocity: [' 0.10', '-0.19', '-0.97'], Position: [' 0.03', '-0.07', '-0.35'] 
Timestamp: 1656016618.1907701, Acceleration: [' 1.00', ' 0.14', ' 8.35'], Velocity: [' 0.11', '-0.19', '-0.99'], Position: [' 0.03', '-0.08', '-0.36'] 
Timestamp: 1656016618.199568, Acceleration: [' 0.99', ' 0.13', ' 8.07'], Velocity: [' 0.12', '-0.18', '-1.01'], Position: [' 0.03', '-0.08', '-0.37'] 
Timestamp: 1656016618.2088397, Acceleration: [' 1.00', ' 0.08', ' 8.17'], Velocity: [' 0.13', '-0.18', '-1.02'], Position: [' 0.03', '-0.08', '-0.38'] 
Timestamp: 1656016618.2188666, Acceleration: [' 0.72', '-0.40', ' 9.18'], Velocity: [' 0.14', '-0.19', '-1.03'], Position: [' 0.03', '-0.08', '-0.39'] 
Timestamp: 1656016618.2335575, Acceleration: [' 0.43', '-0.27', ' 8.79'], Velocity: [' 0.14', '-0.19', '-1.04'], Position: [' 0.03', '-0.08', '-0.41'] 
